secFrom	langTo	prob	count	rank
0-9	A	0.38201841711997986	7	1.0
0-9	C	0.16731874644756317	7	2.0
0-9	S	0.10956224799156189	7	3.0
0-9	E	0.109162837266922	7	4.0
0-9	B	0.10477949678897858	7	5.0
2003	See also	0.09859248995780945	6	1.0
2005	2005	0.99573814868927	6	1.0
2006	See also	0.13922813534736633	6	1.0
A	A	0.9278225898742676	18	1.0
A	B	0.7230467200279236	17	2.0
A	C	0.09195565432310104	17	3.0
A	D	0.0715431347489357	16	4.0
A	M	0.05036013200879097	16	5.0
B	B	0.9894294142723083	19	1.0
B	Q	0.16709209978580475	12	2.0
B	C	0.16669437289237976	19	3.0
B	E	0.07815079391002655	19	4.0
B	M	0.05040169879794121	18	5.0
Bibliography	Bibliography	0.9901037812232971	9	1.0
Bibliography	See also	0.03580545261502266	8	2.0
C	C	0.9918600916862488	18	1.0
C	B	0.10497883707284927	18	2.0
C	E	0.07815079391002655	18	3.0
C	See also	0.06600530445575714	13	4.0
C	D	0.05238836258649826	17	5.0
D	D	0.9909533262252808	16	1.0
D	F	0.2013954371213913	16	2.0
D	E	0.19082137942314148	17	3.0
D	C	0.08688903599977493	17	4.0
D	N	0.07680747658014297	16	5.0
E	E	0.9919509887695312	19	1.0
E	F	0.17113037407398224	18	2.0
E	G	0.08745332062244415	18	3.0
E	Q	0.06639164686203003	12	4.0
E	I	0.0654543861746788	15	5.0
F	F	0.9893049001693726	15	1.0
F	Q	0.21896669268608093	9	2.0
F	C	0.10468871891498566	15	3.0
F	H	0.06205663084983826	15	4.0
F	K	0.048860982060432434	14	5.0
Filmography	Filmography	0.6399291753768921	6	1.0
Filmography	References	0.04610065370798111	6	2.0
Filmography	Personal life	0.014594697393476963	6	3.0
Further reading	Further reading	0.9954355359077454	12	1.0
Further reading	References	0.9242408871650696	11	2.0
Further reading	See also	0.11207158118486404	10	3.0
G	G	0.9826415181159973	18	1.0
G	I	0.1037602424621582	14	2.0
G	E	0.09989368170499802	18	3.0
G	F	0.09247981011867523	17	4.0
G	J	0.08037068694829941	14	5.0
H	H	0.9918984174728394	15	1.0
H	C	0.11107531934976578	15	2.0
H	J	0.10352926701307297	12	3.0
H	I	0.0830654501914978	13	4.0
H	F	0.07349757850170135	15	5.0
I	I	0.9929326772689819	14	1.0
I	K	0.13695941865444183	13	2.0
I	G	0.07777272909879684	14	3.0
I	Z	0.07204161584377289	13	4.0
I	Q	0.06639164686203003	11	5.0
I	Y	0.06639164686203003	9	5.0
J	J	0.992298424243927	13	1.0
J	K	0.892242968082428	12	2.0
J	I	0.12467989325523376	12	3.0
J	G	0.12394935637712479	13	4.0
J	H	0.1088547483086586	12	5.0
K	K	0.9952580332756042	14	1.0
K	J	0.21574333310127258	11	2.0
K	I	0.10201016813516617	12	3.0
K	H	0.10131996124982834	13	4.0
K	G	0.08651787042617798	14	5.0
L	L	0.9821909666061401	16	1.0
L	J	0.07152719050645828	13	2.0
L	Q	0.06627744436264038	10	3.0
L	K	0.06254066526889801	15	4.0
L	V	0.055798403918743134	16	5.0
M	M	0.9784483909606934	15	1.0
M	N	0.09785883128643036	14	2.0
M	B	0.09716606140136719	15	3.0
M	J	0.09538912028074265	11	4.0
M	K	0.08725306391716003	13	5.0
N	N	0.9956023693084717	14	1.0
N	K	0.19995741546154022	13	2.0
N	R	0.15191160142421722	14	3.0
N	F	0.14326199889183044	14	4.0
N	Q	0.14293153584003448	10	5.0
Notes	Notes	0.9870700836181641	19	1.0
Notes	References	0.3599371612071991	15	2.0
Notes	See also	0.043013542890548706	14	3.0
