secFrom	langTo	prob	isTranslation
مراجع	References	0.9964019060134888	True
مراجع	Further reading	0.9802411794662476	False
مراجع	Notes	0.9776826500892639	False
مراجع	Sources	0.9718292951583862	False
مراجع	Bibliography	0.9625420570373535	False
مراجع	External links	0.9452853798866272	False
مراجع	Notes and references	0.9392871260643005	False
مراجع	Footnotes	0.9250269532203674	False
مراجع	References and notes	0.8206677436828613	False
مراجع	Literature	0.7956502437591553	False
وصلات خارجية	References	0.9968511462211609	False
وصلات خارجية	External links	0.9935412406921387	True
وصلات خارجية	External links	0.9935412406921387	True
وصلات خارجية	Sources	0.9784841537475586	False
وصلات خارجية	Notes and references	0.9649593830108643	False
وصلات خارجية	Footnotes	0.9640486836433411	False
وصلات خارجية	Notes	0.949266791343689	False
وصلات خارجية	Bibliography	0.9343753457069397	False
وصلات خارجية	Citations	0.9136437177658081	False
وصلات خارجية	Further reading	0.9000424742698669	False
المراجع	References	0.9976639747619629	True
المراجع	References	0.9976639747619629	True
المراجع	Notes	0.9908924102783203	False
المراجع	Sources	0.987136721611023	False
المراجع	Notes and references	0.9809672236442566	False
المراجع	External links	0.9798164963722229	False
المراجع	Footnotes	0.9737594723701477	False
المراجع	Further reading	0.9680606126785278	False
المراجع	Bibliography	0.9486973881721497	False
المراجع	Citations	0.9293262362480164	False
انظر أيضاً	See also	0.9870004653930664	True
انظر أيضاً	See also	0.9870004653930664	True
انظر أيضاً	See also	0.9870004653930664	True
انظر أيضاً	References	0.4619452655315399	False
انظر أيضاً	External links	0.2696664035320282	False
انظر أيضاً	Etymology	0.17511460185050964	False
انظر أيضاً	History	0.1621500849723816	False
انظر أيضاً	Description	0.1581634134054184	False
انظر أيضاً	Gallery	0.1462009847164154	False
انظر أيضاً	References and notes	0.1356525421142578	False
روابط خارجية	References	0.9943732023239136	False
روابط خارجية	External links	0.9925617575645447	True
روابط خارجية	Footnotes	0.9738101363182068	False
روابط خارجية	Sources	0.9691809415817261	False
روابط خارجية	Notes	0.9365150928497314	False
روابط خارجية	Notes and references	0.8445219397544861	False
روابط خارجية	Further reading	0.7746788263320923	False
روابط خارجية	References and notes	0.6342113614082336	False
روابط خارجية	Bibliography	0.48186391592025757	False
روابط خارجية	Literature	0.44994667172431946	False
مصادر	References	0.9977224469184875	True
مصادر	Sources	0.9939302206039429	False
مصادر	External links	0.9858209490776062	False
مصادر	Footnotes	0.9823905229568481	False
مصادر	Notes and references	0.9777519106864929	False
مصادر	Notes	0.9727795720100403	False
مصادر	Bibliography	0.9519261121749878	False
مصادر	Further reading	0.9366275668144226	False
مصادر	Citations	0.9365501999855042	False
مصادر	Resources	0.9284386038780212	False
المصادر	Sources	0.996820330619812	False
المصادر	References	0.995785653591156	True
المصادر	Footnotes	0.9852485060691833	False
المصادر	External links	0.9852432012557983	False
المصادر	Notes	0.9742041826248169	False
المصادر	Notes and references	0.968579888343811	False
المصادر	Further reading	0.9579506516456604	False
المصادر	Bibliography	0.9497173428535461	False
المصادر	References and notes	0.9229852557182312	False
المصادر	Resources	0.8845462799072266	False
الموقع الجغرافي	Geography	0.6104655265808105	False
الموقع الجغرافي	Location	0.4417121410369873	True
الموقع الجغرافي	Demographics	0.26678720116615295	False
الموقع الجغرافي	History	0.24409767985343933	False
الموقع الجغرافي	Geography and climate	0.2394556999206543	False
الموقع الجغرافي	Surrounding communities	0.12383855879306793	False
الموقع الجغرافي	Education	0.0985572338104248	False
الموقع الجغرافي	References	0.07148479670286179	False
الموقع الجغرافي	Schools	0.062142837792634964	False
الموقع الجغرافي	Geographical location	0.05583734065294266	False
طالع أيضا	See also	0.9848955869674683	False
طالع أيضا	References	0.8963107466697693	False
طالع أيضا	Notes	0.7381618022918701	False
طالع أيضا	External links	0.7097909450531006	False
طالع أيضا	References and notes	0.32697543501853943	False
طالع أيضا	Sources	0.2813570201396942	False
طالع أيضا	Content	0.13495086133480072	False
طالع أيضا	Assassination	0.10509973019361496	False
طالع أيضا	History	0.09671033173799515	False
طالع أيضا	Bibliography	0.06504736095666885	False
التاريخ	History	0.996878981590271	True
التاريخ	History and profile	0.7984650135040283	False
التاريخ	Geography	0.47648894786834717	False
التاريخ	Context	0.41642630100250244	False
التاريخ	Modern history	0.38476136326789856	False
التاريخ	Etymology	0.29995423555374146	False
التاريخ	Origin	0.29380354285240173	False
التاريخ	Early history	0.2912523150444031	False
التاريخ	Origins	0.26294583082199097	False
التاريخ	Timeline	0.25301966071128845	False
التركيبة السكانية	Demographics	0.9632772207260132	False
التركيبة السكانية	Geography	0.837924599647522	False
التركيبة السكانية	Demography	0.7154204249382019	True
التركيبة السكانية	Geography and climate	0.4489971399307251	False
التركيبة السكانية	Population	0.33391451835632324	False
التركيبة السكانية	Municipalities	0.20465266704559326	False
التركيبة السكانية	Economy	0.09902481734752655	False
التركيبة السكانية	Geography and natural history	0.0830082818865776	False
التركيبة السكانية	Overview	0.07401525974273682	False
التركيبة السكانية	History	0.0643206536769867	False
أنظر أيضاً	See also	0.9859866499900818	True
أنظر أيضاً	See also	0.9859866499900818	True
أنظر أيضاً	See also	0.9859866499900818	True
أنظر أيضاً	References	0.6280394792556763	False
أنظر أيضاً	External links	0.5407969951629639	False
أنظر أيضاً	Description	0.5300782322883606	False
أنظر أيضاً	Notes	0.3347787857055664	False
أنظر أيضاً	Footnotes	0.28437340259552	False
أنظر أيضاً	References and notes	0.2520364820957184	False
أنظر أيضاً	Taxonomy	0.24294912815093994	False
وفيات	Deaths	0.9943459630012512	True
وفيات	References	0.972512423992157	False
وفيات	External links	0.9277905225753784	False
وفيات	Sources	0.8625128269195557	False
وفيات	Further reading	0.8575437664985657	False
وفيات	Births	0.7856804728507996	False
وفيات	See also	0.7469930052757263	False
وفيات	Notes	0.22410938143730164	False
وفيات	Holidays and observances	0.20434711873531342	False
وفيات	Significant people	0.1608961522579193	False
مواليد	Births	0.9606797099113464	True
مواليد	Deaths	0.33431217074394226	False
مواليد	Events	0.15089498460292816	False
مواليد	References	0.138523131608963	False
مواليد	People	0.07413194328546524	False
مواليد	Holidays and observances	0.05957915633916855	False
مواليد	Sources	0.05480735003948212	False
مواليد	In fiction	0.054068755358457565	False
مواليد	See also	0.05211438238620758	False
مواليد	In Fiction	0.04539847373962402	False
التعليم	Education	0.9966533780097961	True
التعليم	Early life and education	0.9879025816917419	False
التعليم	Early life	0.973820686340332	False
التعليم	Education and career	0.9336432218551636	False
التعليم	Early life and career	0.8804471492767334	False
التعليم	Biography	0.8200751543045044	False
التعليم	Early years	0.7086739540100098	False
التعليم	Early life and family	0.6760595440864563	False
التعليم	Life and work	0.6463348269462585	False
التعليم	Life and career	0.6399860382080078	False
وفاته	Death	0.9948948621749878	True
وفاته	Death and legacy	0.9578037261962891	False
وفاته	Later life and death	0.5468892455101013	False
وفاته	Death and commemoration	0.4167776107788086	False
وفاته	Death and funeral	0.3645794987678528	False
وفاته	Personal life and death	0.3184671700000763	False
وفاته	References	0.2950575053691864	False
وفاته	Later life	0.29191821813583374	False
وفاته	Legacy and death	0.2504049241542816	False
وفاته	Death and burial	0.22501756250858307	False
أحداث	Events	0.9876537919044495	True
أحداث	Incidents	0.7489758729934692	False
