secFrom	langTo	prob	count	rank
Notes	Referencias	0.1223907321691513	7	1.0
Notes	Véase también	0.10240839421749115	7	2.0
آثار	Véase también	0.0703393891453743	8	1.0
آثاره	Testimonios de su época	0.7667868137359619	10	1.0
آثاره	Obra	0.508607029914856	14	2.0
آثاره	Titulatura	0.2079334259033203	12	3.0
آثاره	Obras	0.09182463586330414	10	4.0
آثاره	Véase también	0.055857326835393906	15	5.0
آراء النقاد	Recepción	0.9829146265983582	15	1.0
آراء النقاد	Lista de canciones	0.3962065875530243	8	2.0
آراء النقاد	Promoción	0.2721196711063385	9	3.0
آراء النقاد	Referencias	0.14512790739536285	17	4.0
آراء النقاد	Premios y nominaciones	0.121153324842453	8	5.0
آسيا	Véase también	0.02513524517416954	16	1.0
آسيا	Referencias	0.022571679204702377	7	2.0
آلية التأثير	Farmacodinámica	0.7104659676551819	6	1.0
آلية التأثير	Véase también	0.05991346389055252	8	2.0
آلية التأثير	Historia	0.05257289111614227	6	3.0
آلية التأثير	Referencias	0.04135063290596008	13	4.0
آلية التفاعل	Mecanismo de reacción	0.903127908706665	7	1.0
آلية التفاعل	Referencias	0.040239784866571426	6	2.0
آلية العمل	Mecanismo de acción	0.7897776365280151	29	1.0
آلية العمل	Mecanismo	0.7863384485244751	7	2.0
آلية العمل	Farmacodinámica	0.3623336851596832	6	3.0
آلية العمل	Farmacocinética	0.2736174166202545	23	4.0
آلية العمل	Uso clínico	0.26840612292289734	7	5.0
آلية المرض	Tratamiento	0.7375370264053345	6	1.0
آلية عمل الدواء	Véase también	0.07599513232707977	8	1.0
أبحاث	Véase también	0.08886592090129852	6	1.0
أبحاثه	Eponimia	0.04755249619483948	7	1.0
أبحاثه	Referencias	0.023023327812552452	16	2.0
أبرز أعماله	Filmografía	0.9000294208526611	7	1.0
أبرز أعماله	Referencias	0.013434560969471931	6	2.0
أبرز أعمالها	Filmografía	0.8645069003105164	11	1.0
أبرز أعمالها	Referencias	0.01691138558089733	7	2.0
أبرز الخريجين	Historia	0.01728055253624916	8	1.0
أبرز الفرق	Historial	0.245514914393425	10	1.0
أبرز الفرق	Equipos	0.11193015426397324	12	2.0
أبرز الفرق	Palmarés	0.09703909605741501	22	3.0
أبرز الفرق	Formato	0.05733422935009003	8	4.0
أبرز الفرق	Historia	0.047504641115665436	13	5.0
أبرز اللاعبين	Jugadores destacados	0.9689469933509827	68	1.0
أبرز اللاعبين	Jugadores históricos	0.9502373337745667	8	2.0
أبرز اللاعبين	Jugadores	0.9057623744010925	28	3.0
أبرز اللاعبين	Posiciones en liga	0.1507621854543686	19	4.0
أبرز اللاعبين	Posiciones en Liga	0.1323799341917038	26	5.0
أبرز المدربين	Jugadores destacados	0.5029444694519043	8	1.0
أبرز المدربين	Palmarés	0.044467754662036896	12	2.0
أبرز المدربين	Historia	0.023874685168266296	11	3.0
أبطال الفيلم	Reparto	0.9727920889854431	10	1.0
أبطال الفيلم	Argumento	0.7969749569892883	8	2.0
أبطال الفيلم	Producción	0.6533316373825073	6	3.0
أبطال الفيلم	Referencias	0.019877880811691284	8	4.0
أبطال المسلسل	Reparto	0.8243517279624939	7	1.0
أبطال المسلسل	Trama	0.567878007888794	6	2.0
أبناؤه	Referencias	0.05397868528962135	7	1.0
أبناؤها	Referencias	0.01930159516632557	6	1.0
أجزاء اللعبة	Recepción	0.12057995796203613	6	1.0
أجناس	Géneros	0.9910777807235718	110	1.0
أجناس	Taxonomía	0.957064151763916	64	2.0
أجناس	Ecología	0.9495761394500732	30	3.0
أجناس	Filogenia	0.933648943901062	31	4.0
أجناس	Importancia económica	0.8255662322044373	18	5.0
أحداث	Acontecimientos	0.9930148124694824	2974	1.0
أحداث	Fallecimientos	0.5076821446418762	1193	2.0
أحداث	Acontecimientos relevantes	0.33185523748397827	10	3.0
أحداث	Historia	0.30389562249183655	11	4.0
أحداث	Nacimientos	0.27263057231903076	1981	5.0
أحداث الفيلم	Argumento	0.9876577854156494	16	1.0
أحداث الفيلم	Reparto	0.40242111682891846	14	2.0
