secFrom	langTo	prob	count	rank
Filmography	Filmographie	0.40636709332466125	6	1.0
Filmography	Biographie	0.29837602376937866	6	2.0
Notes	Notes et références	0.16879726946353912	7	1.0
آثاره	Règne	0.6559323668479919	11	1.0
آثاره	Ouvrages	0.5836747884750366	7	2.0
آثاره	Œuvres	0.5715793371200562	25	3.0
آثاره	Généalogie	0.29278263449668884	7	4.0
آثاره	Références	0.14098991453647614	17	5.0
آراء النقاد	Classement hebdomadaire	0.02922605723142624	6	1.0
آسيا	Notes et références	0.025228098034858704	12	1.0
آلية التأثير	Effets secondaires	0.08806499093770981	9	1.0
آلية التأثير	Mode d'action	0.08062685281038284	9	2.0
آلية التأثير	Divers	0.04285970702767372	12	3.0
آلية التأثير	Notes et références	0.026084179058670998	18	4.0
آلية التأثير	Liens externes	0.015347092412412167	6	5.0
آلية العمل	Mécanisme d'action	0.7526355981826782	19	1.0
آلية العمل	Efficacité	0.5315392017364502	17	2.0
آلية العمل	Utilisation	0.4451983869075775	8	3.0
آلية العمل	Effets indésirables	0.29023241996765137	11	4.0
آلية العمل	Indications	0.2208998054265976	11	5.0
آلية عمل الدواء	Notes et références	0.020896047353744507	6	1.0
أ	A	0.7881619930267334	14	1.0
أ	B	0.08123433589935303	13	2.0
أ	Z	0.053241949528455734	11	3.0
أ	E	0.04513046517968178	8	4.0
أ	C	0.03795558959245682	10	5.0
أبحاث	Notes et références	0.09118543565273285	6	1.0
أبحاثه	Biographie	0.1362575888633728	29	1.0
أبحاثه	Notes et références	0.034276083111763	16	2.0
أبرز أعماله	Filmographie	0.8749883770942688	11	1.0
أبرز أعماله	Biographie	0.3614782392978668	11	2.0
أبرز أعمالها	Filmographie	0.8848085403442383	15	1.0
أبرز أعمالها	Biographie	0.1739167422056198	12	2.0
أبرز أعمالها	Notes et références	0.019577227532863617	7	3.0
أبرز الخريجين	Histoire	0.059690210968256	6	1.0
أبرز الفرق	Principe	0.6305946707725525	6	1.0
أبرز الفرق	Palmarès	0.1651381552219391	43	2.0
أبرز الفرق	Historique	0.09554856270551682	40	3.0
أبرز الفرق	Bilan par club	0.09178335219621658	36	4.0
أبرز الفرق	Articles connexes	0.009492000564932823	19	5.0
أبرز اللاعبين	Joueurs célèbres ou marquants	0.9836929440498352	79	1.0
أبرز اللاعبين	Joueurs célèbres	0.939175009727478	12	2.0
أبرز اللاعبين	Entraîneurs successifs	0.3429242670536041	69	3.0
أبرز اللاعبين	Historique	0.23216526210308075	104	4.0
أبرز اللاعبين	Histoire	0.18444369733333588	20	5.0
أبرز المدربين	Histoire	0.0863531231880188	9	1.0
أبرز المدربين	Palmarès	0.057074710726737976	14	2.0
أبرز المدربين	Historique	0.031148910522460938	8	3.0
أبطال الفيلم	Synopsis	0.9231756329536438	13	1.0
أبطال الفيلم	Distribution	0.9071260094642639	14	2.0
أبطال الفيلم	Production	0.10800068080425262	8	3.0
أبطال الفيلم	Distinctions	0.09590739756822586	9	4.0
أبطال الفيلم	Fiche technique	0.027451619505882263	14	5.0
أبطال المسلسل	Distribution	0.5006812810897827	8	1.0
أبناؤه	Biographie	0.053540170192718506	13	1.0
أبناؤه	Notes et références	0.03875058889389038	12	2.0
أتفاقيات التوأمة والصداقة	Histoire	0.05555557832121849	6	1.0
أتفاقيات التوأمة والصداقة	Géographie	0.034971486777067184	6	2.0
أجزاء أخرى	Distribution	0.059043038636446	7	1.0
أجزاء أخرى	Synopsis	0.04522475600242615	6	2.0
أجزاء أخرى	Fiche technique	0.030892537906765938	7	3.0
أجزاء اللعبة	Système de jeu	0.6391720771789551	11	1.0
أجزاء اللعبة	Notes et références	0.007543080952018499	10	2.0
أجناس	Liste des genres	0.9930428266525269	131	1.0
أجناس	Liste des espèces	0.9835965633392334	49	2.0
أجناس	Liste alphabétique des genres	0.9820377826690674	8	3.0
أجناس	Liste des genres et espèces	0.9595001935958862	7	4.0
أجناس	Classification	0.9313443303108215	12	5.0
أحداث	Événements	0.9649507999420166	2963	1.0
أحداث	Évènements	0.9207783937454224	105	2.0
أحداث	En bref	0.47576016187667847	85	3.0
أحداث	Décès	0.367207407951355	627	4.0
أحداث	Personnages significatifs	0.2561245560646057	180	5.0
أحداث الفيلم	Synopsis	0.955269992351532	21	1.0
أحداث الفيلم	Autour du film	0.6577219367027283	10	2.0
أحداث الفيلم	Distribution	0.07793501764535904	21	3.0
أحداث الفيلم	Production	0.02075910195708275	7	4.0
أحداث الفيلم	Distinctions	0.013421851210296154	10	5.0
أحداث المسلسل	Synopsis	0.6478490233421326	6	1.0
أحداث المعركة	La bataille	0.7836174368858337	7	1.0
أحداث المعركة	Conséquences	0.11062071472406387	9	2.0
أحداث المعركة	Notes et références	0.0054204328916966915	7	3.0
أحداث متوقعة	Autres calendriers	0.025074724107980728	6	1.0
أحداث وحوادث	Historique	0.36466139554977417	6	1.0
أحداث وحوادث	Histoire	0.3260297179222107	26	2.0
أحداث وحوادث	Notes et références	0.06340041011571884	24	3.0
أحداث وحوادث	Galerie	0.060436733067035675	9	4.0
أحداث وحوادث	Flotte	0.05419006198644638	26	5.0
أحداث يتوقع حدوثها في هذه السنة	Évènements	0.8141458630561829	8	1.0
أحداث يتوقع حدوثها في هذه السنة	Autres calendriers	0.30641016364097595	34	2.0
أحياء المدينة	Démographie	0.08384836465120316	6	1.0
أحياء المدينة	Économie	0.08152426779270172	7	2.0
أحياء المدينة	Histoire	0.050662003457546234	10	3.0
أحياء المدينة	Géographie	0.043040670454502106	8	4.0
أخرى	Notes et références	0.19866156578063965	13	1.0
أخرى	Références	0.15765327215194702	7	2.0
أداء الأصوات	Distribution	0.3105306029319763	10	1.0
أداء الأصوات	Distinctions	0.038008347153663635	6	2.0
أداء الأصوات	Synopsis	0.029554398730397224	10	3.0
أداء الأصوات	Fiche technique	0.016206741333007812	9	4.0
أداء الأصوات	Notes et références	0.006360888015478849	7	5.0
أدبه	Œuvres	0.3344421982765198	8	1.0
