secFrom	langTo	prob	isTranslation
مراجع	Références	0.9944361448287964	True
مراجع	Notes et références	0.9933822154998779	False
مراجع	Liens externes	0.9915487170219421	False
مراجع	Articles connexes	0.9861555695533752	False
مراجع	Lien externe	0.979560136795044	False
مراجع	Sources	0.9749211072921753	False
مراجع	Voir aussi	0.973211944103241	False
مراجع	Source	0.9720116257667542	False
مراجع	Annexes	0.9414029121398926	False
مراجع	Lieux et monuments	0.9334865808486938	False
وصلات خارجية	Liens externes	0.9964879751205444	True
وصلات خارجية	Références	0.9961723685264587	False
وصلات خارجية	Lien externe	0.9915574789047241	False
وصلات خارجية	Sources	0.9913251399993896	False
وصلات خارجية	Notes	0.9905006885528564	False
وصلات خارجية	Notes et références	0.9882889986038208	False
وصلات خارجية	Voir aussi	0.9874165058135986	False
وصلات خارجية	Annexes	0.9754816889762878	False
وصلات خارجية	Source	0.9711208343505859	False
وصلات خارجية	Articles connexes	0.9681146740913391	False
المراجع	Sources	0.9972342848777771	False
المراجع	Références	0.9965542554855347	True
المراجع	Voir aussi	0.9939234852790833	False
المراجع	Notes et références	0.9916952252388	False
المراجع	Liens externes	0.9897562861442566	False
المراجع	Bibliographie	0.9797987937927246	False
المراجع	Notes	0.9716658592224121	False
المراجع	Annexes	0.965630829334259	False
المراجع	Articles connexes	0.9629479050636292	False
المراجع	Lien externe	0.938215970993042	False
انظر أيضاً	Voir aussi	0.8788091540336609	True
انظر أيضاً	Voir aussi	0.8788091540336609	True
انظر أيضاً	Voir aussi	0.8788091540336609	True
انظر أيضاً	Article connexe	0.7743963599205017	False
انظر أيضاً	Articles connexes	0.7607403993606567	False
انظر أيضاً	Description	0.5437602996826172	False
انظر أيضاً	Taxinomie	0.34848228096961975	False
انظر أيضاً	Annexes	0.32309699058532715	False
انظر أيضاً	Citation	0.29840347170829773	False
انظر أيضاً	Références	0.2604900598526001	False
روابط خارجية	Références	0.9937547445297241	False
روابط خارجية	Lien externe	0.9894489049911499	False
روابط خارجية	Liens externes	0.98659747838974	True
روابط خارجية	Notes et références	0.9832955002784729	False
روابط خارجية	Annexes	0.9831668734550476	False
روابط خارجية	Source	0.9640151262283325	False
روابط خارجية	Sources	0.961571455001831	False
روابط خارجية	Voir aussi	0.9558224081993103	False
روابط خارجية	Article connexe	0.9450355172157288	False
روابط خارجية	Notes	0.9297527074813843	False
مصادر	Sources	0.9951539039611816	True
مصادر	Notes et références	0.9945387244224548	False
مصادر	Références	0.994195282459259	False
مصادر	Liens externes	0.9855865240097046	False
مصادر	Voir aussi	0.9770278930664062	False
مصادر	Source	0.9630705118179321	False
مصادر	Notes	0.9627047777175903	False
مصادر	Lien externe	0.9571191072463989	False
مصادر	Annexes	0.956504225730896	False
مصادر	Bibliographie	0.9540178179740906	False
المصادر	Sources	0.9950060248374939	True
المصادر	Notes et références	0.9934722185134888	False
المصادر	Références	0.9934514760971069	False
المصادر	Liens externes	0.9924561977386475	False
المصادر	Source	0.9918558597564697	False
المصادر	Articles connexes	0.9771604537963867	False
المصادر	Bibliographie	0.9744092226028442	False
المصادر	Voir aussi	0.9735730290412903	False
المصادر	Article connexe	0.969296932220459	False
المصادر	Notes	0.9571506381034851	False
الموقع الجغرافي	Géographie	0.893846869468689	False
الموقع الجغرافي	Situation	0.8806750774383545	False
الموقع الجغرافي	Situation géographique	0.7733960151672363	True
الموقع الجغرافي	Situation - climat	0.7431628108024597	False
الموقع الجغرافي	Histoire	0.29162856936454773	False
الموقع الجغرافي	Infrastructure	0.2636813223361969	False
الموقع الجغرافي	Municipalités limitrophes	0.22949627041816711	False
الموقع الجغرافي	Archéologie	0.17199023067951202	False
الموقع الجغرافي	Patrimoine	0.10283280909061432	False
الموقع الجغرافي	Transport	0.10166995972394943	False
طالع أيضا	Articles connexes	0.9366558194160461	False
طالع أيضا	Voir aussi	0.9035248756408691	True
طالع أيضا	Synopsis	0.8132455348968506	False
طالع أيضا	Références	0.7754232883453369	False
طالع أيضا	Liens externes	0.7496405243873596	False
طالع أيضا	Article connexe	0.628017783164978	False
طالع أيضا	Annexes	0.5027267932891846	False
طالع أيضا	Source	0.4235375225543976	False
طالع أيضا	Notes et références	0.41378310322761536	False
طالع أيضا	Lien externe	0.22309653460979462	False
التاريخ	Histoire	0.9969294667243958	False
التاريخ	Historique	0.9965811371803284	True
التاريخ	Géographie	0.8956273794174194	False
التاريخ	Présentation	0.7100424766540527	False
التاريخ	Localisation	0.6142368316650391	False
التاريخ	Origines	0.6091671586036682	False
التاريخ	Origine du nom	0.5346941947937012	False
التاريخ	Archéologie	0.4369802176952362	False
التاريخ	Origine	0.4151383638381958	False
التاريخ	Contexte	0.40632399916648865	False
أنظر أيضاً	Voir aussi	0.9217231869697571	True
أنظر أيضاً	Voir aussi	0.9217231869697571	True
أنظر أيضاً	Voir aussi	0.9217231869697571	True
أنظر أيضاً	Articles connexes	0.9105855226516724	False
أنظر أيضاً	Article connexe	0.8185895085334778	False
أنظر أيضاً	Annexes	0.7345523238182068	False
أنظر أيضاً	Description	0.5060727596282959	False
أنظر أيضاً	Taxonomie	0.3739960193634033	False
أنظر أيضاً	Personnalités liées à la ville	0.35605067014694214	False
أنظر أيضاً	Références	0.33636704087257385	False
وفيات	Décès	0.9971453547477722	True
وفيات	Notes et références	0.9760682582855225	False
وفيات	Références	0.852150022983551	False
وفيات	Voir aussi	0.7852892875671387	False
وفيات	Naissances	0.6163714528083801	False
وفيات	Articles connexes	0.44282108545303345	False
وفيات	Bibliographie	0.4243236184120178	False
وفيات	Économie et société	0.16523413360118866	False
وفيات	Sciences et techniques	0.12158074229955673	False
وفيات	Arts, culture et religion	0.11249815672636032	False
مواليد	Naissances	0.9812564253807068	True
مواليد	Décès	0.42661991715431213	False
مواليد	Références	0.22704103589057922	False
مواليد	Événements	0.19271646440029144	False
مواليد	Sciences et techniques	0.1457979679107666	False
مواليد	Liens externes	0.10270137339830399	False
مواليد	Arts, culture et religion	0.10225589573383331	False
مواليد	Évènements	0.08752159774303436	False
مواليد	Notes et références	0.08750467002391815	False
مواليد	Économie et société	0.06511321663856506	False
التعليم	Éducation	0.9870927333831787	False
التعليم	Formation	0.9799309968948364	False
التعليم	Enseignement	0.9766696691513062	False
التعليم	Études	0.9230273962020874	True
التعليم	Enfance et éducation	0.6860382556915283	False
التعليم	Éducation et enseignement	0.6850594878196716	False
التعليم	Jeunesse et éducation	0.662278413772583	False
التعليم	Économie	0.6517055034637451	False
التعليم	Biographie	0.6143044829368591	False
التعليم	Universités	0.6063347458839417	False
وفاته	Mort	0.9725331664085388	False
وفاته	Décès	0.9711354970932007	True
وفاته	Postérité	0.8820882439613342	False
وفاته	Hommage	0.4340980052947998	False
وفاته	Sépulture	0.4200492203235626	False
وفاته	Fin de vie	0.3906683921813965	False
وفاته	Famille et descendance	0.29853925108909607	False
وفاته	Assassinat	0.2632526159286499	False
وفاته	Mariages et descendance	0.2382829487323761	False
وفاته	Articles connexes	0.23476068675518036	False
المسيرة الاحترافية	Club	0.9916834831237793	False
المسيرة الاحترافية	Carrière	0.9915522933006287	False
المسيرة الاحترافية	Carrière de joueur	0.9910026788711548	False
المسيرة الاحترافية	Clubs	0.9852504730224609	False
المسيرة الاحترافية	Carrière joueur	0.9817460775375366	False
المسيرة الاحترافية	Statistiques	0.9650089740753174	False
المسيرة الاحترافية	Carrière en club	0.9468778967857361	False
المسيرة الاحترافية	Équipes	0.9460538029670715	False
المسيرة الاحترافية	Parcours	0.9431811571121216	False
المسيرة الاحترافية	Carrière professionnelle	0.9284119009971619	True
حياته	Biographie	0.9799925684928894	False
حياته	Carrière	0.879289448261261	False
حياته	Enfance	0.8334733247756958	False
حياته	Sa vie	0.8110927939414978	False
حياته	Jeunesse	0.7238526344299316	False
حياته	Histoire	0.62812739610672	False
حياته	Vie	0.5841450095176697	True
حياته	Son œuvre	0.5310608744621277	False
حياته	Carrière politique	0.4875098764896393	False
حياته	Jeunesse et études	0.4473493993282318	False
السكان	Population	0.9962616562843323	True
السكان	Démographie	0.9876686930656433	False
السكان	Population et société	0.8047181963920593	False
السكان	Évolution de la population	0.5696966052055359	False
السكان	Histoire	0.5419368147850037	False
السكان	Districts	0.5219061374664307	False
السكان	Villes	0.4973091781139374	False
السكان	Géographie	0.3956815302371979	False
السكان	Économie et tourisme	0.3643293082714081	False
السكان	Population et démographie	0.3530374765396118	False
القصة	Synopsis	0.9907039999961853	False
القصة	Scénario	0.9902908205986023	False
القصة	Résumé	0.9844115376472473	False
القصة	Trame	0.9834263324737549	False
القصة	Histoire	0.9795372486114502	False
القصة	Personnages	0.9695931673049927	False
القصة	Résumé détaillé	0.959045946598053	False
القصة	Système de jeu	0.9075866341590881	False
القصة	Intrigue	0.8983376622200012	False
القصة	Autour du film	0.8070723414421082	False
الميداليات	Palmarès	0.9937269687652588	False
الميداليات	Médaillés	0.9678636789321899	False
الميداليات	Palmarès sur piste	0.9660055637359619	False
الميداليات	Carrière	0.9634758830070496	False
الميداليات	Tableau des médailles	0.9528124928474426	False
الميداليات	Équipe nationale	0.9459946155548096	False
الميداليات	Palmarès en cyclisme	0.8526644110679626	False
الميداليات	Palmarès sur route	0.8386071920394897	False
الميداليات	Bilan	0.8160957098007202	False
الميداليات	Distinction personnelle	0.767002284526825	False
تاريخ	Histoire	0.9961751699447632	True
تاريخ	Historique	0.9837273359298706	False
تاريخ	Géographie	0.7460638880729675	False
تاريخ	Chronologie	0.6564291715621948	False
تاريخ	Biographie	0.3942217230796814	False
تاريخ	Description	0.3338521718978882	False
تاريخ	Découverte	0.32706138491630554	False
تاريخ	Contexte	0.3150259852409363	False
تاريخ	Présentation	0.3132045567035675	False
تاريخ	Description générale	0.30637210607528687	False
أعماله	Filmographie	0.988373875617981	False
أعماله	Œuvres	0.9818108677864075	True
أعماله	Œuvre	0.9788925647735596	False
أعماله	Voix françaises	0.9548467993736267	False
أعماله	Ouvrages	0.9446861743927002	False
أعماله	Œuvres principales	0.9281656742095947	False
أعماله	Travaux	0.9252562522888184	False
أعماله	Box-office	0.9183309674263	False
أعماله	Carrière	0.8849953413009644	False
أعماله	Réalisations	0.8294728398323059	False
مؤلفاته	Publications	0.9862812161445618	False
مؤلفاته	Œuvres	0.9829732179641724	False
مؤلفاته	Bibliographie	0.8850981593132019	False
مؤلفاته	Livres	0.818295955657959	False
مؤلفاته	Traductions	0.7258155941963196	False
مؤلفاته	Ouvrages	0.6367454528808594	True
مؤلفاته	Principaux ouvrages	0.6265509128570557	False
مؤلفاته	Œuvres majeures	0.5911743640899658	False
مؤلفاته	Œuvre	0.5900174975395203	False
مؤلفاته	Son œuvre	0.4802156090736389	False
الموقع	Localisation	0.9795602560043335	True
الموقع	Géographie	0.9185146689414978	False
الموقع	Situation	0.870657742023468	False
الموقع	Le site	0.6916722655296326	False
الموقع	Situation géographique	0.6863550543785095	False
الموقع	Présentation	0.4723234474658966	False
الموقع	Administration	0.3936876356601715	False
الموقع	Description	0.33433929085731506	False
الموقع	Organisation territoriale	0.27701517939567566	False
الموقع	Géographie physique	0.268810510635376	False
جوائز	Prix	0.9920565485954285	True
جوائز	Distinctions et récompenses	0.9890351891517639	False
جوائز	Récompenses	0.9880408644676208	False
جوائز	Distinctions	0.9854745864868164	False
جوائز	Hommage	0.9775364398956299	False
جوائز	Hommages	0.9761991500854492	False
جوائز	Récompenses et distinctions	0.9759056568145752	False
جوائز	Distinction	0.9730613231658936	False
جوائز	Prix et distinctions	0.9554044604301453	False
جوائز	Distinctions et honneurs	0.9439151883125305	False
ملاحظات	Références	0.9926591515541077	False
ملاحظات	Notes et références	0.992308497428894	False
ملاحظات	Notes	0.988078773021698	True
ملاحظات	Voir aussi	0.9434599280357361	False
ملاحظات	Sources	0.94058758020401	False
ملاحظات	Liens externes	0.9246994256973267	False
ملاحظات	Bibliographie	0.9134288430213928	False
ملاحظات	Articles connexes	0.7283303737640381	False
ملاحظات	Annexes	0.6393388509750366	False
ملاحظات	Article connexe	0.5880092978477478	False
