secFrom	langTo	prob	count	rank
آثاره	関連項目	0.1508910357952118	6	1.0
آثاره	脚注	0.0428234338760376	19	2.0
آثاره	参考文献	0.03493287041783333	7	3.0
آثاره	生涯	0.03312084451317787	9	4.0
آراء النقاد	収録曲	0.2958773076534271	7	1.0
آسيا	関連項目	0.08039785921573639	9	1.0
آسيا	脚注	0.07009763270616531	7	2.0
آلية التأثير	作用機序	0.6505258679389954	11	1.0
آلية التأثير	副作用	0.23952332139015198	13	2.0
آلية التأثير	効能・効果	0.17213712632656097	13	3.0
آلية التأثير	関連項目	0.12917394936084747	7	4.0
آلية التفاعل	反応機構	0.6275090575218201	7	1.0
آلية العمل	作用機序	0.9840832352638245	36	1.0
آلية العمل	適応	0.7495250105857849	10	2.0
آلية العمل	用途	0.5920981764793396	6	3.0
آلية العمل	薬理	0.5760196447372437	9	4.0
آلية العمل	種類	0.4549734592437744	6	5.0
آلية عمل الدواء	副作用	0.47714510560035706	6	1.0
أبحاثه	生涯	0.42759838700294495	9	1.0
أبرز الفرق	歴代優勝チーム	0.8788476586341858	10	1.0
أبرز الفرق	歴史	0.07096809148788452	6	2.0
أبرز اللاعبين	主な歴代所属選手	0.9522524476051331	13	1.0
أبرز اللاعبين	歴代所属選手	0.7170243263244629	6	2.0
أبرز اللاعبين	歴史	0.08017007261514664	27	3.0
أبرز اللاعبين	歴代監督	0.06835047155618668	7	4.0
أبطال الفيلم	キャスト	0.9327680468559265	10	1.0
أبطال الفيلم	あらすじ	0.08062229305505753	7	2.0
أجزاء اللعبة	関連項目	0.8623712062835693	8	1.0
أجزاء اللعبة	概要	0.6883531808853149	9	2.0
أجناس	属	0.9588838219642639	15	1.0
أجناس	下位分類	0.8579224348068237	14	2.0
أجناس	系統	0.8483452200889587	12	3.0
أجناس	分類	0.754283607006073	60	4.0
أجناس	分布	0.13471201062202454	24	5.0
أحداث	できごと	0.936981737613678	3126	1.0
أحداث	他の紀年法	0.5569685697555542	2565	2.0
أحداث	誕生日	0.45565086603164673	360	3.0
أحداث	記念日・年中行事	0.3310321867465973	360	4.0
أحداث	忌日	0.27503538131713867	360	5.0
أحداث الفيلم	概要	0.6855636239051819	6	1.0
أحداث الفيلم	キャスト	0.47269925475120544	14	2.0
أحداث الفيلم	スタッフ	0.1692909598350525	7	3.0
أحداث الفيلم	関連項目	0.1688818484544754	6	4.0
أحداث اللعبة	概要	0.36440303921699524	6	1.0
أحداث متوقعة	他の紀年法	0.1870725452899933	6	1.0
أحداث متوقعة	フィクションのできごと	0.07756645232439041	7	2.0
أحداث وحوادث	脚注	0.5383774042129517	21	1.0
أحداث وحوادث	事故	0.41705194115638733	6	2.0
أحداث وحوادث	保有機材	0.31590408086776733	17	3.0
أحداث وحوادث	関連項目	0.18240343034267426	21	4.0
أحداث وحوادث	就航都市	0.15556491911411285	12	5.0
أحداث يتوقع حدوثها في هذه السنة	できごと	0.2517719268798828	14	1.0
أحداث يتوقع حدوثها في هذه السنة	他の紀年法	0.16945940256118774	34	2.0
أحداث يتوقع حدوثها في هذه السنة	予定	0.10134521126747131	18	3.0
أحداث يتوقع حدوثها في هذه السنة	周年	0.0777517557144165	26	4.0
أحداث يتوقع حدوثها في هذه السنة	フィクションのできごと	0.0651661679148674	32	5.0
أخرى	関連項目	0.4238448143005371	10	1.0
أخرى	脚注	0.3391507565975189	11	2.0
أخرى	その他	0.24365045130252838	6	3.0
أداء الأصوات	登場人物	0.19731181859970093	6	1.0
أداء الأصوات	トリビア	0.06504231691360474	7	2.0
أداء الأصوات	概要	0.048460282385349274	8	3.0
أدبه	生涯	0.034782517701387405	7	1.0
أدواره في ألعاب الفيديو	後任	0.7568305134773254	12	1.0
أدواره في ألعاب الفيديو	ディスコグラフィ	0.675022304058075	110	2.0
أدواره في ألعاب الفيديو	特色	0.6663122177124023	30	3.0
أدواره في ألعاب الفيديو	人物	0.5932925939559937	157	4.0
