secFrom	langTo	prob	isTranslation
مراجع	脚注	0.994972825050354	True
مراجع	出典	0.9947981834411621	False
مراجع	参考文献	0.9931914210319519	False
مراجع	参照	0.9905063509941101	False
مراجع	注釈	0.9648854732513428	False
مراجع	脚注・出典	0.9606793522834778	False
مراجع	外部リンク	0.9513883590698242	False
مراجع	脚註	0.9470208883285522	False
مراجع	関連項目	0.9388067126274109	False
مراجع	註	0.9387048482894897	False
المراجع	参考文献	0.992738664150238	False
المراجع	脚注	0.9910991787910461	True
المراجع	出典	0.9887250065803528	False
المراجع	外部リンク	0.9846887588500977	False
المراجع	脚注・出典	0.9835688471794128	False
المراجع	出典・脚注	0.9686368107795715	False
المراجع	参考資料	0.9617401361465454	False
المراجع	参照	0.9580882787704468	False
المراجع	脚註	0.9560328722000122	False
المراجع	関連項目	0.955693781375885	False
روابط خارجية	出典	0.9930850267410278	False
روابط خارجية	参照	0.992908239364624	False
روابط خارجية	脚注	0.9928069114685059	False
روابط خارجية	参考文献	0.9901964664459229	False
روابط خارجية	外部リンク	0.9857965111732483	True
روابط خارجية	参考	0.9225823879241943	False
روابط خارجية	脚註	0.8718374371528625	False
روابط خارجية	著書	0.852638304233551	False
روابط خارجية	注釈	0.8468120098114014	False
روابط خارجية	関連項目	0.7884065508842468	False
مصادر	外部リンク	0.9928339719772339	False
مصادر	出典	0.9898583292961121	False
مصادر	脚注・出典	0.9897775053977966	False
مصادر	脚注	0.9868322610855103	False
مصادر	参考文献	0.9674714207649231	True
مصادر	参照	0.9609987139701843	False
مصادر	関連項目	0.9535374045372009	False
مصادر	参考資料	0.9380130171775818	False
مصادر	脚註	0.8843942880630493	False
مصادر	関連文献	0.8798825740814209	False
المصادر	脚注	0.9918169379234314	False
المصادر	外部リンク	0.9907127022743225	False
المصادر	出典	0.9906355738639832	False
المصادر	注釈	0.9826664924621582	False
المصادر	参考文献	0.9683237671852112	True
المصادر	関連項目	0.9672284722328186	False
المصادر	文献	0.9590101838111877	False
المصادر	参考資料	0.9463759064674377	False
المصادر	関連文献	0.9412499666213989	False
المصادر	参照	0.9276056885719299	False
طالع أيضا	ギャラリー	0.9039061665534973	False
طالع أيضا	関連項目	0.8253296613693237	True
طالع أيضا	脚注	0.7874215245246887	False
طالع أيضا	特徴	0.7847732901573181	False
طالع أيضا	外部リンク	0.7785347700119019	False
طالع أيضا	内容	0.5220451354980469	False
طالع أيضا	歴史	0.5157942175865173	False
طالع أيضا	研究	0.5100247859954834	False
طالع أيضا	タイトル	0.5045858025550842	False
طالع أيضا	診断	0.5032751560211182	False
التاريخ	歴史	0.9846856594085693	True
التاريخ	沿革	0.8721622228622437	False
التاريخ	概要	0.7545079588890076	False
التاريخ	経緯	0.6365792155265808	True
التاريخ	地理	0.6195437908172607	False
التاريخ	保有機材	0.40410783886909485	False
التاريخ	タイトル	0.38995081186294556	False
التاريخ	過去の成績	0.3867027163505554	False
التاريخ	研究史	0.372340589761734	False
التاريخ	歴代監督	0.3178369104862213	False
مواليد	誕生日	0.9814416170120239	False
مواليد	誕生	0.9477201104164124	True
مواليد	忌日	0.8781197667121887	False
مواليد	死去	0.5046969056129456	False
مواليد	できごと	0.498807430267334	False
مواليد	脚注	0.17065349221229553	False
مواليد	記念日・年中行事	0.1547035425901413	False
مواليد	出典	0.14515478909015656	False
مواليد	その他	0.13337720930576324	False
مواليد	他の紀年法	0.11279099434614182	False
التعليم	生い立ちと初期の経歴	0.9610106348991394	False
التعليم	教育	0.9566143751144409	True
التعليم	生い立ち	0.9382902979850769	False
التعليم	略歴	0.9336678385734558	False
التعليم	経歴	0.8857190608978271	False
التعليم	生涯	0.8027154803276062	False
التعليم	来歴	0.7323088645935059	False
التعليم	プロフィール	0.6970055103302002	False
التعليم	生い立ちと家族	0.5894339084625244	False
التعليم	人物	0.5138757824897766	False
السكان	人口	0.9522537589073181	False
السكان	人口動態	0.9280399680137634	False
السكان	主要都市	0.9024364352226257	False
السكان	人口統計	0.8696945905685425	False
السكان	統計	0.813298761844635	False
السكان	住民	0.5395483374595642	True
السكان	人口動勢	0.5064554810523987	False
السكان	自治体	0.49915361404418945	False
السكان	民族	0.46970608830451965	False
السكان	行政区分	0.45758771896362305	False
