secFrom	langTo	prob	count	rank
A	См. также	0.021679647266864777	6	1.0
Notes	Примечания	0.31045085191726685	11	1.0
آثار	Примечания	0.06067841127514839	7	1.0
آثاره	Библиография	0.25617852807044983	12	1.0
آثاره	Биография	0.1771789789199829	75	2.0
آثاره	Имя	0.153219074010849	9	3.0
آثاره	Творчество	0.10066957771778107	12	4.0
آثاره	Сочинения	0.07417429238557816	9	5.0
آراء النقاد	Чарты	0.4609018862247467	13	1.0
آراء النقاد	Примечания	0.0863422080874443	16	2.0
آراء النقاد	Список композиций	0.08622562885284424	13	3.0
آراء النقاد	История	0.07227525860071182	7	4.0
آراء النقاد	Сертификации	0.05168933421373367	7	5.0
آراؤه	Биография	0.04857596009969711	7	1.0
آسيا	Азия	0.9654014706611633	17	1.0
آسيا	Океания	0.3586184084415436	14	2.0
آسيا	Европа	0.1930137425661087	17	3.0
آسيا	Америка	0.18337078392505646	8	4.0
آسيا	Южная Америка	0.1772295981645584	8	5.0
آلية التأثير	Механизм действия	0.8854625225067139	7	1.0
آلية التأثير	Применение	0.376388818025589	7	2.0
آلية التأثير	Фармакологическое действие	0.3737175464630127	12	3.0
آلية التأثير	Режим дозирования	0.16434486210346222	10	4.0
آلية التأثير	Противопоказания	0.14225107431411743	12	5.0
آلية العمل	Механизм действия	0.9407025575637817	11	1.0
آلية العمل	Применение	0.2400778979063034	13	2.0
آلية العمل	Фармакокинетика	0.18031084537506104	26	3.0
آلية العمل	Свойства	0.16156984865665436	9	4.0
آلية العمل	Взаимодействие	0.09128095209598541	12	5.0
آلية عمل الدواء	Противопоказания	0.4866231381893158	6	1.0
أ	См. также	0.027440935373306274	6	1.0
أبحاثه	Биография	0.08854945003986359	29	1.0
أبحاثه	Награды	0.04586625099182129	7	2.0
أبحاثه	Примечания	0.022693758830428123	26	3.0
أبرز أعماله	Фильмография	0.841805100440979	6	1.0
أبرز أعماله	Биография	0.041164152324199677	8	2.0
أبرز أعماله	Личная жизнь	0.02063535712659359	6	3.0
أبرز أعمالها	Фильмография	0.8461489081382751	9	1.0
أبرز أعمالها	Личная жизнь	0.023089630529284477	6	2.0
أبرز الإنجازات	Достижения	0.7936467528343201	6	1.0
أبرز الفرق	Чемпионы	0.12189390510320663	15	1.0
أبرز الفرق	Примечания	0.03405343368649483	6	2.0
أبرز الفرق	См. также	0.015545093454420567	12	3.0
أبرز اللاعبين	Известные игроки	0.9780036211013794	38	1.0
أبرز اللاعبين	Главные тренеры	0.1794774979352951	6	2.0
أبرز اللاعبين	Сезоны	0.07792167365550995	28	3.0
أبرز اللاعبين	История	0.07188265770673752	45	4.0
أبرز اللاعبين	Текущий состав	0.059943798929452896	25	5.0
أبرز المدربين	Известные игроки	0.5575360059738159	7	1.0
أبرز المدربين	Примечания	0.056251414120197296	7	2.0
أبرز المدربين	Достижения	0.03993671387434006	6	3.0
أبرز المدربين	История	0.027653712779283524	8	4.0
أبطال الفيلم	В ролях	0.9643589854240417	13	1.0
أبطال الفيلم	Сюжет	0.9360246658325195	15	2.0
أبطال الفيلم	Примечания	0.03344525769352913	10	3.0
أبطال الفيلم	См. также	0.012100237421691418	6	4.0
أبطال المسلسل	Сюжет	0.45950406789779663	6	1.0
أبطال المسلسل	Примечания	0.02542983554303646	6	2.0
أبناءه	Биография	0.03928985819220543	6	1.0
أبناؤه	Биография	0.11654940247535706	21	1.0
أبناؤه	Примечания	0.05819684639573097	20	2.0
أبناؤه	Литература	0.028141304850578308	7	3.0
أبنائه	Биография	0.10957018285989761	16	1.0
أبنائه	Литература	0.10039891302585602	6	2.0
أبنائه	Примечания	0.06370654702186584	13	3.0
أثره	Примечания	0.04374352842569351	6	1.0
