secFrom	langTo	prob	count	rank
125 cc classification	ترتيب 125 سي سي	0.939321756362915	6	1.0
125 cc classification	مراجع	0.06464600563049316	25	2.0
125 cc classification	وصلات خارجية	0.05540180951356888	86	3.0
17th century	القرن السابع عشر	0.9968408346176147	8	1.0
17th century	القرن الثامن عشر	0.9347036480903625	7	2.0
17th century	القرن التاسع عشر	0.9249751567840576	7	3.0
17th century	القرن العشرون	0.848656952381134	6	4.0
17th century	المراجع	0.027176234871149063	8	5.0
18th century	القرن الثامن عشر	0.9940081834793091	12	1.0
18th century	القرن التاسع عشر	0.9632881283760071	9	2.0
18th century	القرن السابع عشر	0.9481287598609924	9	3.0
18th century	القرن العشرون	0.8770514726638794	7	4.0
18th century	المراجع	0.027176234871149063	10	5.0
1960s	المراجع	0.19508373737335205	6	1.0
1970s	انظر أيضًا	0.1875608265399933	6	1.0
1970s	المراجع	0.16152556240558624	7	2.0
1980s	المراجع	0.17948998510837555	7	1.0
1980s	انظر أيضًا	0.16825345158576965	6	2.0
1980s	مراجع	0.14322379231452942	6	3.0
1990s	انظر أيضًا	0.16750019788742065	6	1.0
1990s	المراجع	0.15563875436782837	9	2.0
19th century	القرن التاسع عشر	0.9942242503166199	18	1.0
19th century	القرن الثامن عشر	0.9473045468330383	9	2.0
19th century	القرن العشرين	0.91692715883255	7	3.0
19th century	القرن السابع عشر	0.903696596622467	7	4.0
19th century	القرن العشرون	0.8205580115318298	8	5.0
2005	2005	0.9913874268531799	6	1.0
20th century	القرن العشرين	0.9843950271606445	15	1.0
20th century	القرن العشرون	0.9200606346130371	14	2.0
20th century	القرن الثامن عشر	0.8994172215461731	10	3.0
20th century	القرن التاسع عشر	0.8990640044212341	17	4.0
20th century	القرن السابع عشر	0.8834925293922424	8	5.0
21st century	القرن الحادي والعشرين	0.9728886485099792	8	1.0
21st century	القرن التاسع عشر	0.9409827589988708	9	2.0
21st century	القرن الثامن عشر	0.8214513659477234	6	3.0
21st century	المراجع	0.030665460973978043	16	4.0
21st century	مراجع	0.029708581045269966	9	5.0
250 cc classification	ترتيب 250 سي سي	0.9385954737663269	6	1.0
250 cc classification	ترتيب 125 سي سي	0.08069045096635818	6	2.0
250 cc classification	مراجع	0.07391314208507538	26	3.0
250 cc classification	وصلات خارجية	0.038102250546216965	68	4.0
A	أ	0.9325134754180908	38	1.0
A	A	0.7128962874412537	18	2.0
A	ل	0.6611611843109131	33	3.0
A	انظر أيضاً	0.458771288394928	6	4.0
A	0-9	0.35978958010673523	7	5.0
ATP career finals	النهائيات	0.9818177819252014	57	1.0
ATP career finals	نهائيات الجراند سلام	0.9208206534385681	9	2.0
ATP career finals	بطولات حققها	0.7463509440422058	11	3.0
ATP career finals	الميداليات	0.36467283964157104	12	4.0
ATP career finals	الخط الزمني للزوجي	0.15847761929035187	41	5.0
About	مراجع	0.04052366688847542	7	1.0
Academic career	العمل الأكاديمي	0.9800391793251038	8	1.0
Academic career	التعليم	0.9617919325828552	49	2.0
Academic career	مناصب وهيئات	0.8605924844741821	34	3.0
Academic career	السيرة الذاتية	0.4860915243625641	7	4.0
Academic career	مراجع	0.43985018134117126	29	5.0
Academic profile	مراجع	0.2432890385389328	36	1.0
Academic profile	وصلات خارجية	0.1407049298286438	15	2.0
Academic profile	التاريخ	0.08531884104013443	7	3.0
