secFrom	langTo	prob	count	rank
''American Idol''	Discografía	0.09918255358934402	16	1.0
''American Idol''	Biografía	0.04435257241129875	11	2.0
''American Idol''	Referencias	0.014244899153709412	14	3.0
''Dancing with the Stars''	''Dancing with the Stars''	0.9936083555221558	23	1.0
''Dancing with the Stars''	Vida personal	0.08794283121824265	25	2.0
''Dancing with the Stars''	Carrera profesional	0.0468660406768322	6	3.0
''Dancing with the Stars''	Referencias	0.009953907690942287	32	4.0
''Dancing with the Stars'' performances	''Dancing with the Stars''	0.9839644432067871	7	1.0
''Dancing with the Stars'' performances	Carrera	0.879143238067627	9	2.0
''Dancing with the Stars'' performances	Filmografía	0.14831136167049408	7	3.0
''Dancing with the Stars'' performances	Vida personal	0.06005346402525902	8	4.0
''Dancing with the Stars'' performances	Vida temprana	0.041454069316387177	6	5.0
''Frazioni''	Demografía	0.13433429598808289	6	1.0
''Frazioni''	Historia	0.01732240989804268	12	2.0
''Gesta Danorum''	Bibliografía	0.12180320173501968	8	1.0
''Luchas de Apuestas'' record	Campeonatos y logros	0.9184629917144775	21	1.0
''Luchas de Apuestas'' record	Carrera	0.6871310472488403	22	2.0
''Luchas de Apuestas'' record	En lucha	0.0374528169631958	19	3.0
''Luchas de Apuestas'' record	Referencias	0.009438006207346916	11	4.0
''Saturday Night Live''	Filmografía	0.04267435893416405	6	1.0
125 cc classification	Resultados 125cc	0.991428792476654	138	1.0
125 cc classification	Resultados 250cc	0.7494078278541565	117	2.0
125 cc classification	Resultados MotoGP	0.26713505387306213	92	3.0
125 cc classification	Resultados Moto2	0.0800047516822815	21	4.0
17th century	Siglo XVII	0.9867312908172607	12	1.0
17th century	Siglo XVIII	0.9388569593429565	11	2.0
17th century	Siglo XIX	0.9120562076568604	8	3.0
17th century	Véase también	0.01661892980337143	10	4.0
17th century	Referencias	0.005760773550719023	13	5.0
18th and 19th centuries	Véase también	0.05834709852933884	6	1.0
18th and 19th centuries	Referencias	0.009099398739635944	8	2.0
18th century	Siglo XVIII	0.9904636144638062	19	1.0
18th century	Siglo XVII	0.9406404495239258	13	2.0
18th century	Siglo XIX	0.9151759743690491	14	3.0
18th century	Siglo XX	0.8786540627479553	7	4.0
18th century	Bibliografía	0.02837284654378891	7	5.0
1920s	Referencias	0.05478280037641525	8	1.0
1930s	Referencias	0.0343078151345253	12	1.0
1940s	Véase también	0.3542773127555847	8	1.0
1950s	Véase también	0.24493533372879028	10	1.0
1950s	Referencias	0.03675098717212677	11	2.0
1960s	Biografía	0.9117751121520996	13	1.0
1960s	Historia	0.8716572523117065	7	2.0
1960s	Filmografía	0.5413779616355896	10	3.0
1960s	Véase también	0.20303012430667877	11	4.0
1960s	Bibliografía	0.1037573367357254	7	5.0
1970s	Discografía	0.8560128211975098	11	1.0
1970s	Historia	0.6684556603431702	7	2.0
1970s	Filmografía	0.6167026162147522	8	3.0
1970s	Biografía	0.5719515681266785	10	4.0
1970s	Véase también	0.18015678226947784	17	5.0
1980s	Historia	0.9521703124046326	12	1.0
1980s	Biografía	0.7890393733978271	13	2.0
1980s	Bibliografía	0.19015398621559143	10	3.0
