secFrom	langTo	prob	isTranslation
References	Referencias	0.9985755681991577	True
References	Bibliografía	0.9955384135246277	False
References	Notas y referencias	0.9916560649871826	False
References	Enlaces externos	0.9825037121772766	False
References	Fuentes	0.9750533103942871	False
References	Notas	0.9672176241874695	False
References	Bibliografía adicional	0.9282851219177246	False
References	Referencia	0.8900761604309082	False
References	Referencias y notas	0.862768292427063	False
References	Véase también	0.8350146412849426	False
External links	Enlaces externos	0.9988976716995239	True
External links	Bibliografía	0.9973132014274597	False
External links	Referencias	0.9961833357810974	False
External links	Enlaces	0.9856112003326416	False
External links	Notas	0.9683308005332947	False
External links	Notas y referencias	0.9658709168434143	False
External links	Referencias externas	0.9652323126792908	False
External links	Enlaces Externos	0.960205614566803	False
External links	Fuentes	0.9211311936378479	False
External links	Enlaces relacionados	0.8958001136779785	False
See also	Véase también	0.9975588321685791	True
See also	Ver también	0.9755538702011108	False
See also	Véase	0.8817031979560852	False
See also	Ve también	0.7909830808639526	False
See also	See also	0.7032020092010498	False
See also	Véase además	0.6664736270904541	False
See also	Vea también	0.4842098355293274	False
See also	Otros	0.44911736249923706	False
See also	Diseño y desarrollo	0.27770018577575684	False
See also	Datos	0.2624458074569702	False
History	Historia	0.9973049163818359	True
History	Antecedentes	0.9301817417144775	False
History	Origen	0.9225533604621887	False
History	Biografía	0.8935526609420776	False
History	Geografía	0.8675403594970703	False
History	Orígenes	0.8652909398078918	False
History	Trayectoria	0.8217905759811401	False
History	Historial	0.8169606924057007	False
History	Toponimia	0.7442331910133362	False
History	Geografía física	0.716987669467926	False
Notes	Notas	0.9972915053367615	True
Notes	Referencias	0.9913204312324524	False
Notes	Notas y referencias	0.9882957935333252	False
Notes	Bibliografía	0.9781044125556946	False
Notes	Notes	0.9157565832138062	False
Notes	Enlaces externos	0.869956374168396	False
Notes	Fuentes	0.7478259801864624	False
Notes	Trivia	0.6528929471969604	False
Notes	Curiosidades	0.4862077236175537	False
Notes	Referencia	0.4408050775527954	False
Career	Carrera	0.9978749752044678	True
Career	Trayectoria	0.9953729510307312	False
Career	Carrera profesional	0.9948278069496155	False
Career	Biografía	0.9928268790245056	False
Career	Vida	0.9860314130783081	False
Career	Vida y carrera	0.9854589700698853	False
Career	Carrera musical	0.9802120923995972	False
Career	Historia	0.9774469137191772	False
Career	Trayectoria profesional	0.9762008190155029	False
Career	Carrera deportiva	0.9680361151695251	False
Further reading	Referencias	0.9886351823806763	False
Further reading	Otras lecturas	0.9747002720832825	True
Further reading	Lectura adicional	0.9706209301948547	False
Further reading	Enlaces externos	0.9688782691955566	False
Further reading	Lecturas adicionales	0.9658763408660889	False
Further reading	Notas y referencias	0.9604278206825256	False
Further reading	Bibliografía	0.9582529067993164	False
Further reading	Bibliografía adicional	0.9487545490264893	False
Further reading	Más información	0.8780950307846069	False
Further reading	Lecturas relacionadas	0.868455171585083	False
Biography	Biografía	0.997767448425293	True
Biography	Trayectoria	0.9938153028488159	False
Biography	Historia	0.980498731136322	False
Biography	Vida	0.968995988368988	False
Biography	Semblanza	0.9636086225509644	False
Biography	Datos biográficos	0.9600673913955688	False
Biography	Biografía y obra	0.9256325364112854	False
Biography	Carrera	0.9235140681266785	False
Biography	Historial	0.9206078052520752	False
Biography	Vida y obra	0.898807168006897	False
Track listing	Lista de canciones	0.9977805018424988	True
Track listing	Listado de canciones	0.9976686835289001	False
Track listing	Lista de temas	0.9948539137840271	False
Track listing	Canciones	0.989617109298706	False
Track listing	Listado de temas	0.9798955917358398	False
Track listing	Sencillos	0.9621140360832214	False
Track listing	Créditos	0.9496114253997803	False
Track listing	Grabación	0.9202223420143127	False
Track listing	Información del álbum	0.8494490385055542	False
Track listing	Créditos y personal	0.8486241102218628	False
Personal life	Vida privada	0.9980857372283936	False
Personal life	Vida personal	0.9978445768356323	True
Personal life	Vida Personal	0.994326651096344	False
Personal life	Personal	0.9814737439155579	False
Personal life	Biografía	0.909112274646759	False
Personal life	Vida Privada	0.8668079972267151	False
Personal life	Vida	0.8481821417808533	False
Personal life	Vida familiar	0.8017754554748535	False
Personal life	Vida temprana	0.7384802103042603	False
Personal life	Familia	0.6997817158699036	False
Early life	Primeros años	0.998129665851593	False
Early life	Inicios	0.9977148771286011	False
Early life	Vida temprana	0.9975683093070984	True
Early life	Juventud	0.9928351044654846	False
Early life	Comienzos	0.9867673516273499	False
Early life	Vida	0.9866622090339661	False
Early life	Infancia y juventud	0.9849408268928528	True
Early life	Biografía	0.983984112739563	False
Early life	Primeros años de vida	0.9838632345199585	True
Early life	Infancia	0.9826982617378235	False
Cast	Reparto	0.9986139535903931	True
Cast	Elenco	0.9977242350578308	False
Cast	Personajes	0.9863799214363098	False
Cast	Actores	0.9802945852279663	False
Cast	Reparto principal	0.9478185176849365	False
Cast	Protagonistas	0.9358701109886169	False
Cast	Elenco y personajes	0.9287240505218506	False
Cast	Argumento	0.9211189150810242	False
Cast	Sinopsis	0.9204043745994568	False
Cast	Reparto y personajes	0.9149672985076904	False
Bibliography	Bibliografía	0.9991443157196045	True
Bibliography	Referencias	0.9963485598564148	False
Bibliography	Notas y referencias	0.9744647741317749	False
Bibliography	Bibliografía consultada	0.9450404644012451	False
Bibliography	Fuentes	0.8921701908111572	False
Bibliography	Notas	0.8901904225349426	False
Bibliography	Publicaciones	0.8867358565330505	False
Bibliography	Obras	0.8293319940567017	False
Bibliography	Referencia	0.7955493330955505	False
Bibliography	Bibliografía adicional	0.7954397201538086	False
Geography	Geografía	0.9980762004852295	True
Geography	Demografía	0.9861329793930054	False
Geography	Ubicación	0.9754931330680847	False
Geography	Geografía física	0.9331119060516357	False
Geography	Localización	0.9226669073104858	False
Geography	Historia	0.917025089263916	False
Geography	Límites	0.9061636328697205	False
Geography	Condados adyacentes	0.8923353552818298	False
Geography	Toponimia	0.8650818467140198	False
Geography	Situación	0.8266284465789795	False
Sources	Fuentes	0.9981927275657654	True
Sources	Referencias	0.9974283576011658	False
Sources	Bibliografía	0.9973753690719604	False
Sources	Notas y referencias	0.9909963607788086	False
Sources	Enlaces externos	0.9862158298492432	False
Sources	Notas	0.9396746158599854	False
Sources	Referencias externas	0.9382094740867615	False
Sources	Fuente	0.9380362033843994	False
Sources	Referencias y notas de pie	0.8433458805084229	False
Sources	Fuentes y referencias	0.8222748637199402	False
Plot	Trama	0.9985709190368652	False
Plot	Argumento	0.997255265712738	True
Plot	Sinopsis	0.9961649179458618	False
Plot	Personajes	0.9633537530899048	False
Plot	Jugabilidad	0.9559013843536377	False
Plot	Historia	0.9386270046234131	False
Plot	Resumen	0.9351120591163635	False
Plot	Elenco	0.8883245587348938	False
Plot	Sistema de juego	0.8786076307296753	False
Plot	Reparto	0.8407251238822937	False
Background	Trasfondo	0.9656581878662109	False
Background	Contexto	0.9456584453582764	True
Background	Historia	0.938495934009552	False
Background	Antecedentes	0.9370433688163757	False
Background	Preludio	0.883586049079895	False
Background	Composición	0.8793091177940369	False
Background	Contexto histórico	0.8553462028503418	False
Background	Background	0.8411885499954224	False
Background	Biografía	0.7982720136642456	False
Background	Sinopsis	0.768437385559082	False
Reception	Recepción	0.9967344403266907	True
Reception	Críticas	0.9906930327415466	False
Reception	Crítica	0.985567569732666	False
Reception	Recepción de la crítica	0.9514156579971313	False
Reception	Recepción crítica	0.8911355137825012	False
