secFrom	langTo	prob	count	rank
''American Idol''	Biographie	0.7779778838157654	7	1.0
''American Idol''	Discographie	0.41449394822120667	26	2.0
''American Idol''	Liens externes	0.058186959475278854	8	3.0
''American Idol''	Notes et références	0.03137722611427307	8	4.0
''Dancing with the Stars''	Filmographie	0.015916695818305016	6	1.0
''Dancing with the Stars''	Palmarès	0.009528194554150105	7	2.0
''Dancing with the Stars''	Biographie	0.008261497132480145	8	3.0
''Dancing with the Stars'' performances	Filmographie	0.06580264121294022	10	1.0
''Dancing with the Stars'' performances	Biographie	0.00715756556019187	10	2.0
''Frazioni''	Administration	0.8686261773109436	23	1.0
''Frazioni''	Culture	0.27724137902259827	19	2.0
''Frazioni''	Géographie	0.19832409918308258	23	3.0
''Frazioni''	Liens externes	0.14803345501422882	7	4.0
''Frazioni''	Jumelages	0.12379880249500275	17	5.0
''In Memoriam''	Présentateurs et intervenants	0.2519858181476593	10	1.0
''In Memoriam''	Références	0.07078243046998978	7	2.0
''In Memoriam''	Notes et références	0.06708585470914841	17	3.0
''In Memoriam''	Palmarès	0.050881385803222656	31	4.0
''In Memoriam''	Statistiques	0.041314613074064255	16	5.0
''Luchas de Apuestas'' record	Palmarès	0.8891786932945251	15	1.0
''Luchas de Apuestas'' record	Carrière	0.6960313320159912	19	2.0
''Luchas de Apuestas'' record	Notes et références	0.04444391280412674	9	3.0
''Luchas de Apuestas'' record	Caractéristiques au catch	0.038113147020339966	12	4.0
''Saturday Night Live''	Filmographie	0.019989948719739914	9	1.0
''Saturday Night Live''	Biographie	0.01073251012712717	8	2.0
''Star Trek''	Filmographie	0.8047385215759277	7	1.0
''Star Trek''	Biographie	0.06754662841558456	8	2.0
''Titanic''	Biographie	0.3063272535800934	8	1.0
125 cc classification	Classement final 125 cm³	0.9937600493431091	8	1.0
125 cc classification	Résultats des 125 cm³	0.991975724697113	10	2.0
125 cc classification	Résultat des 125 cm³	0.9842575788497925	18	3.0
125 cc classification	Classement final 250 cm³	0.9597817063331604	8	4.0
125 cc classification	Résultats des 250 cm³	0.9496767520904541	15	5.0
14th century	Notes et références	0.006801363546401262	10	1.0
15th century	Notes et références	0.005818638019263744	12	1.0
16th century	Antiquité	0.47291168570518494	18	1.0
16th century	Moyen Âge	0.05519536882638931	17	2.0
16th century	Préhistoire	0.05352300405502319	15	3.0
16th century	Voir aussi	0.014883267693221569	8	4.0
16th century	Notes et références	0.005560875870287418	19	5.0
17th century	Antiquité	0.6668471097946167	26	1.0
17th century	Histoire	0.12358235567808151	6	2.0
17th century	Préhistoire	0.053742844611406326	18	3.0
17th century	Moyen Âge	0.04336707666516304	22	4.0
17th century	Bibliographie	0.017836755141615868	7	5.0
18th century	Histoire	0.49717193841934204	6	1.0
18th century	Antiquité	0.49659430980682373	28	2.0
18th century	Moyen Âge	0.055319346487522125	24	3.0
18th century	Préhistoire	0.05502765253186226	19	4.0
18th century	Bibliographie	0.020858678966760635	17	5.0
1915	Notes et références	0.11445805430412292	6	1.0
1920s	Années 1920	0.9290594458580017	10	1.0
