secFrom	langTo	prob	count	rank
''ECO'' codes	参考文献	0.3935924768447876	9	1.0
''Frazioni''	姉妹都市	0.9348726868629456	10	1.0
''Frazioni''	行政	0.800240159034729	17	2.0
''Frazioni''	地理	0.21475858986377716	17	3.0
''Frazioni''	歴史	0.16965006291866302	7	4.0
''Frazioni''	人物	0.141219824552536	7	5.0
''In Memoriam''	式典	0.9450901746749878	13	1.0
''In Memoriam''	関連項目	0.9285160899162292	14	2.0
''In Memoriam''	候補と受賞の一覧	0.8652855157852173	16	3.0
''In Memoriam''	受賞結果一覧	0.7567776441574097	6	4.0
''In Memoriam''	概要	0.29134106636047363	9	5.0
''Luchas de Apuestas'' record	来歴	0.9581077694892883	30	1.0
''Luchas de Apuestas'' record	獲得タイトル	0.3658902943134308	26	2.0
''Luchas de Apuestas'' record	得意技	0.18332640826702118	30	3.0
''Poetic Edda''	参考文献	0.1030266284942627	6	1.0
''Prose Edda''	参考文献	0.11587192118167877	7	1.0
''Yokozuna''	主な成績	0.9928973913192749	9	1.0
''Yokozuna''	関連項目	0.8627275824546814	9	2.0
''Yokozuna''	来歴	0.5670963525772095	7	3.0
''Yokozuna''	エピソード	0.5557215809822083	6	4.0
''Ōzeki''	主な成績	0.987880527973175	7	1.0
''Ōzeki''	来歴	0.3139100968837738	7	2.0
125 cc classification	概要	0.9786866307258606	99	1.0
125 cc classification	125ccクラス決勝結果	0.9515171051025391	99	2.0
125 cc classification	250ccクラス決勝結果	0.6741461753845215	75	3.0
125 cc classification	脚注	0.42363280057907104	98	4.0
125 cc classification	MotoGPクラス決勝結果	0.20422501862049103	98	5.0
16th century	19世紀	0.11171583831310272	8	1.0
17th century	17世紀	0.8957451581954956	8	1.0
17th century	21世紀	0.33842208981513977	6	2.0
17th century	20世紀	0.3106759190559387	6	3.0
17th century	関連項目	0.26769331097602844	18	4.0
17th century	脚注	0.15158961713314056	8	5.0
18th century	18世紀	0.878908097743988	16	1.0
18th century	歴史	0.7431696653366089	6	2.0
18th century	関連項目	0.29828667640686035	25	3.0
18th century	参考文献	0.2501625716686249	14	4.0
18th century	17世紀	0.22097846865653992	8	5.0
1940s	関連項目	0.9381667971611023	10	1.0
1940s	参考文献	0.3207572400569916	6	2.0
1950s	参考文献	0.3188953101634979	10	1.0
1950s	脚注	0.12523885071277618	10	2.0
1960s	関連項目	0.849933385848999	28	1.0
1960s	歴史	0.8414487838745117	10	2.0
1960s	概要	0.4095057547092438	11	3.0
1960s	参考文献	0.26448947191238403	19	4.0
1960s	脚注	0.11044284701347351	22	5.0
1970s	来歴	0.6204165816307068	7	1.0
1970s	歴史	0.3853912353515625	7	2.0
1970s	参考文献	0.26739388704299927	16	3.0
1970s	脚注	0.10215219110250473	24	4.0
1980s	1980年代	0.9978172779083252	14	1.0
1980s	1970年代	0.9859532117843628	13	2.0
1980s	1990年代	0.9730123281478882	13	3.0
1980s	2000年代	0.9080889821052551	13	4.0
1980s	2010年代	0.8960666060447693	11	5.0
1988	概要	0.4456154704093933	6	1.0
1989	概要	0.4622727334499359	8	1.0
1990	概要	0.6412690281867981	6	1.0
1990 FIFA World Cup	概要	0.9903014898300171	9	1.0
1990s	1990年代	0.9947376847267151	14	1.0
1990s	1980年代	0.9746876358985901	14	2.0
1990s	1970年代	0.9391473531723022	13	3.0
1990s	2000年代	0.9264535307884216	13	4.0
1990s	2010年代	0.8960666060447693	11	5.0
1991	関連項目	0.9230061173439026	7	1.0
1991	概要	0.5011669397354126	7	2.0
19th century	歴史	0.9922539591789246	11	1.0
19th century	19世紀	0.9178091883659363	23	2.0
19th century	概要	0.5375717878341675	9	3.0
19th century	中世	0.26326820254325867	6	4.0
19th century	関連項目	0.2077142298221588	37	5.0
2000	脚注	0.11639858782291412	10	1.0
2000s	2000年代	0.989051878452301	13	1.0
2000s	2010年代	0.964039146900177	11	2.0
2000s	関連項目	0.9105216860771179	23	3.0
2000s	1990年代	0.8843672275543213	12	4.0
2000s	1980年代	0.8829680681228638	13	5.0
2001	関連項目	0.9148340225219727	10	1.0
2002	関連項目	0.9125374555587769	12	1.0
2009	関連項目	0.9125374555587769	18	1.0
2010	関連項目	0.9125374555587769	18	1.0
2010	脚注	0.06709640473127365	27	2.0
2010s	2010年代	0.9911295175552368	9	1.0
2010s	2000年代	0.9770895838737488	9	2.0
2010s	1990年代	0.9028306007385254	9	3.0
2010s	関連項目	0.8769145011901855	16	4.0
2010s	1980年代	0.8147003054618835	10	5.0
2011	関連項目	0.9198254942893982	17	1.0
2012	関連項目	0.9125374555587769	21	1.0
2013	関連項目	0.9125374555587769	18	1.0
2014	関連項目	0.9125374555587769	16	1.0
2015	関連項目	0.9125374555587769	18	1.0
2016	関連項目	0.9215739965438843	18	1.0
2016 presidential campaign	経歴	0.8737663626670837	8	1.0
2016 presidential campaign	人物	0.6867150068283081	6	2.0
2016 presidential campaign	脚注	0.32945725321769714	10	3.0
2016 presidential campaign	関連項目	0.2911154329776764	6	4.0
2017	関連項目	0.903170108795166	17	1.0
2018	関連項目	0.9146550893783569	6	1.0
20th century	歴史	0.9895513653755188	26	1.0
20th century	概要	0.9853814840316772	19	2.0
20th century	20世紀	0.7786690592765808	30	3.0
20th century	19世紀	0.2897913455963135	23	4.0
20th century	18世紀	0.27671635150909424	14	5.0
21st century	歴史	0.8455905318260193	10	1.0
21st century	21世紀	0.6516071557998657	15	2.0
21st century	関連項目	0.40882590413093567	47	3.0
21st century	スポーツ	0.35261133313179016	17	4.0
21st century	参考文献	0.3211822509765625	26	5.0
250 cc classification	概要	0.9878523349761963	123	1.0
250 cc classification	250ccクラス決勝結果	0.913642942905426	123	2.0
250 cc classification	MotoGPクラス決勝結果	0.7516818046569824	123	3.0
250 cc classification	125ccクラス決勝結果	0.5979143381118774	123	4.0
250 cc classification	脚注	0.19367025792598724	122	5.0
A	A	0.9938198924064636	20	1.0
A	あ行	0.9047932624816895	72	2.0
A	P	0.8243506550788879	20	3.0
A	H	0.8098065853118896	20	4.0
A	M	0.8097409605979919	20	5.0
AFC clubs ranking	タイトル	0.800905168056488	11	1.0
AFC clubs ranking	歴史	0.7511512637138367	7	2.0
AFC clubs ranking	歴代監督	0.3077996075153351	8	3.0
AFC clubs ranking	歴代所属選手	0.22534523904323578	13	4.0
AFC clubs ranking	現所属メンバー	0.1512049287557602	6	5.0
ATP Career finals	選手経歴	0.6626982688903809	7	1.0
ATP Career finals	4大大会シングルス成績	0.30578309297561646	6	2.0
ATP Tour career earnings	ATPツアー決勝進出結果	0.050418540835380554	8	1.0
ATP career finals	来歴	0.9954192638397217	120	1.0
ATP career finals	選手経歴	0.9787507057189941	19	2.0
ATP career finals	ATPツアー決勝進出結果	0.9266046285629272	144	3.0
ATP career finals	成績	0.9039706587791443	10	4.0
ATP career finals	デビスカップ	0.3631611764431	10	5.0
ATP rankings	日程	0.9933019876480103	7	1.0
Abandonment	参考文献	0.3892744779586792	6	1.0
Abbreviations	概要	0.43685680627822876	7	1.0
Abbreviations	関連項目	0.17236420512199402	10	2.0
Abdication	生涯	0.6009171009063721	9	1.0
Abilities	概要	0.5086163878440857	13	1.0
Abilities	人物	0.39206159114837646	8	2.0
Abilities	補足	0.23393070697784424	6	3.0
Abilities	脚注	0.13240434229373932	9	4.0
Abolition	参考文献	0.2825123369693756	6	1.0
About	概要	0.9895147085189819	42	1.0
About	来歴	0.966760516166687	6	2.0
About	歴史	0.36070823669433594	10	3.0
About	出演	0.24045628309249878	9	4.0
About	関連項目	0.16835296154022217	26	5.0
Abrahamic religions	脚注	0.2704240679740906	14	1.0
Abrahamic religions	関連項目	0.17260096967220306	8	2.0
Abstracting and indexing	参考文献	0.5397350192070007	6	1.0
Abstracting and indexing	関連項目	0.11561271548271179	12	2.0
Academia	概要	0.5143303871154785	6	1.0
Academia	参考文献	0.2636694014072418	6	2.0
Academia	関連項目	0.17420877516269684	15	3.0
Academic	関連項目	0.24310891330242157	8	1.0
Academic career	学歴	0.9923959970474243	8	1.0
Academic career	略歴	0.9915805459022522	37	2.0
Academic career	経歴	0.9875664710998535	55	3.0
Academic career	研究	0.9867962598800659	8	4.0
Academic career	来歴	0.9828885793685913	23	5.0
Academic life	脚注	0.3829829692840576	8	1.0
Academic life	関連項目	0.1804388463497162	6	2.0
Academic profile	ランキング	0.9490519165992737	15	1.0
Academic profile	歴史	0.7885332703590393	41	2.0
Academic profile	キャンパス	0.7637218832969666	43	3.0
Academic profile	卒業生	0.7402635216712952	9	4.0
Academic profile	組織	0.7018604874610901	28	5.0
Academic programs	沿革	0.8957438468933105	7	1.0
Academic rankings	概観	0.7326000332832336	15	1.0
Academic rankings	施設	0.7264066934585571	13	2.0
Academic rankings	沿革	0.6013476848602295	16	3.0
Academic rankings	脚注	0.475586473941803	15	4.0
Academic rankings	学生生活	0.3227543234825134	14	5.0
Academic study	関連項目	0.3840360641479492	6	1.0
Academics	学問	0.9775341749191284	14	1.0
Academics	構成	0.8987536430358887	9	2.0
Academics	歴史	0.8985686302185059	197	3.0
Academics	キャンパス	0.8897159695625305	161	4.0
Academics	特色	0.8655577898025513	9	5.0
Academy	歴史	0.92032390832901	7	1.0
Academy Awards	主な作品	0.9848506450653076	6	1.0
Academy Awards	受賞とノミネート	0.9309820532798767	11	2.0
Academy Awards	キャスト	0.6848850250244141	11	3.0
Acceptance	脚注	0.12741227447986603	7	1.0
Access	アクセス	0.9926117062568665	107	1.0
Access	交通	0.9903318881988525	95	2.0
Access	交通機関	0.9792699813842773	13	3.0
Access	交通アクセス	0.9703096151351929	53	4.0
Access	登山	0.9637938141822815	15	5.0
Accessibility	概要	0.37361398339271545	19	1.0
Accessibility	関連項目	0.31626901030540466	30	2.0
Accessibility	歴史	0.26413610577583313	23	3.0
Accessibility and transportation	概要	0.8418923616409302	6	1.0
Accession	生涯	0.9607046842575073	32	1.0
Accession	人物	0.6901153922080994	6	2.0
Accession	家族	0.47030431032180786	6	3.0
Accession	参考文献	0.29411423206329346	14	4.0
Accession	脚注	0.15466377139091492	24	5.0
Accession to the throne	生涯	0.9709628224372864	22	1.0
Accessories	その他	0.7428828477859497	8	1.0
Accessories	バリエーション	0.7312657833099365	6	2.0
Accessories	参考文献	0.6872076988220215	14	3.0
Accessories	脚注	0.6568866968154907	40	4.0
Accessories	概要	0.6054770946502686	36	5.0
Accident	経緯	0.9919294118881226	6	1.0
Accident	事故の概要	0.9800357222557068	38	2.0
Accident	概要	0.9734823107719421	33	3.0
Accident	事故の経緯	0.968402087688446	7	4.0
Accident	事故	0.9670084714889526	18	5.0
Accidents	事故	0.9935811758041382	23	1.0
Accidents	ギャラリー	0.9825074076652527	10	2.0
Accidents	概要	0.4765224754810333	91	3.0
Accidents	歴史	0.3842805027961731	63	4.0
Accidents	関連項目	0.37880781292915344	103	5.0
Accidents and Incidents	歴史	0.5074668526649475	8	1.0
Accidents and Incidents	関連項目	0.30998387932777405	10	2.0
Accidents and incidents	事故	0.9976603984832764	79	1.0
Accidents and incidents	事件・事故	0.971379816532135	28	2.0
Accidents and incidents	航空事故	0.9464123249053955	15	3.0
Accidents and incidents	機材	0.9296929240226746	41	4.0
Accidents and incidents	保有機材	0.8843729496002197	96	5.0
Accolades	評価	0.9939642548561096	97	1.0
Accolades	受賞	0.9913212656974792	51	2.0
Accolades	スタッフ	0.9819265007972717	116	3.0
Accolades	公開	0.9770587086677551	46	4.0
Accolades	受賞歴	0.9749829173088074	35	5.0
Accommodation	概要	0.5086526870727539	15	1.0
Accommodation	歴史	0.1934628039598465	11	2.0
Accommodation	関連項目	0.16545650362968445	17	3.0
Accomplishments	詳細情報	0.9370579123497009	28	1.0
Accomplishments	人物	0.9191468954086304	8	2.0
Accomplishments	概要	0.8770342469215393	12	3.0
Accomplishments	経歴	0.8706640601158142	36	4.0
Accomplishments	歴史	0.8532129526138306	6	5.0
Accounts	関連項目	0.15870459377765656	7	1.0
Accounts	脚注	0.0933794304728508	9	2.0
Accreditation	歴史	0.7104013562202454	15	1.0
Accreditation	キャンパス	0.5418376326560974	11	2.0
Accreditation	関連項目	0.28460440039634705	12	3.0
Accuracy	精度	0.9535344839096069	7	1.0
Accuracy	歴史	0.3410794138908386	7	2.0
Accuracy	キャスト	0.3313004970550537	7	3.0
Accuracy	概要	0.3009357750415802	13	4.0
Accuracy	参考文献	0.26942914724349976	11	5.0
Achievements	主な戦績	0.9955234527587891	230	1.0
Achievements	主な実績	0.993202269077301	150	2.0
Achievements	タイトル	0.9900866150856018	284	3.0
Achievements	実績	0.9894425868988037	18	4.0
Achievements	業績	0.9886916875839233	20	5.0
Acoustics	脚注	0.24418345093727112	8	1.0
Acquisition	参考文献	0.2385285198688507	6	1.0
Acquisition	関連項目	0.22363197803497314	7	2.0
Acquisition	脚注	0.11404012143611908	10	3.0
Acquisitions	沿革	0.9750921130180359	17	1.0
Acquisitions	製品	0.5732517838478088	11	2.0
Acquisitions	歴史	0.5438638925552368	25	3.0
Acquisitions	主な製品	0.4265725016593933	6	4.0
Acquisitions	関連項目	0.3436660170555115	33	5.0
Acronyms	人名	0.4463832974433899	6	1.0
Acting	出演	0.9655083417892456	15	1.0
Acting	出演作品	0.9533750414848328	16	2.0
Acting	主な出演作品	0.8200973272323608	7	3.0
Acting	略歴	0.7707586884498596	12	4.0
Acting	来歴	0.5345759987831116	25	5.0
Acting career	キャリア	0.9855350255966187	26	1.0
Acting career	フィルモグラフィ	0.9848368763923645	20	2.0
Acting career	主な出演作品	0.9847007989883423	175	3.0
Acting career	出演	0.9828024506568909	51	4.0
Acting career	プロフィール	0.9814043641090393	19	5.0
Action	背景	0.9565277695655823	13	1.0
Action	概要	0.6904950141906738	20	2.0
Action	関連項目	0.19687998294830322	57	3.0
Action	参考文献	0.0935848280787468	35	4.0
Actions	関連項目	0.1272505819797516	12	1.0
Activism	来歴	0.70867520570755	57	1.0
Activism	経歴	0.7017084360122681	35	2.0
Activism	私生活	0.6261995434761047	26	3.0
Activism	略歴	0.6211448311805725	22	4.0
Activism	ディスコグラフィー	0.36147385835647583	23	5.0
Activities	活動	0.9951350092887878	67	1.0
Activities	略歴	0.9308407306671143	18	2.0
Activities	経歴	0.8129927515983582	12	3.0
Activities	歴史	0.8124568462371826	123	4.0
Activities	沿革	0.7497068643569946	39	5.0
Activity	歴史	0.5051248669624329	11	1.0
Activity	関連項目	0.12437638640403748	19	2.0
Activity	参考文献	0.11929687857627869	15	3.0
Activity	脚注	0.09335057437419891	20	4.0
Actors	関連項目	0.17179761826992035	9	1.0
Acts	書籍	0.8720750212669373	10	1.0
Acts	出演	0.8496964573860168	10	2.0
Acts	作品	0.5460589528083801	10	3.0
Acts	略歴	0.5277020931243896	10	4.0
Acts	人物	0.36150309443473816	7	5.0
Adaptation	スタッフ	0.7791962027549744	27	1.0
Adaptation	キャスト	0.7733290791511536	27	2.0
Adaptation	概要	0.3870714604854584	31	3.0
Adaptation	ストーリー	0.3540409505367279	19	4.0
Adaptation	関連項目	0.22995083034038544	12	5.0
Adaptations	映画	0.9954975843429565	85	1.0
Adaptations	映像化作品	0.9925877451896667	32	2.0
Adaptations	映像化	0.9914798736572266	44	3.0
Adaptations	翻案	0.9877514839172363	43	4.0
Adaptations	映画化	0.982549786567688	25	5.0
Adaptations and cultural references	日本語訳	0.33611980080604553	6	1.0
Adaptations and cultural references	登場人物	0.25047731399536133	7	2.0
Adaptations and cultural references	あらすじ	0.1194131001830101	8	3.0
Adaptations to other media	キャスト	0.9180013537406921	9	1.0
Adaptations to other media	ストーリー	0.7133750915527344	7	2.0
Adaptions	概要	0.5642739534378052	7	1.0
Adaptions	脚注	0.22990192472934723	9	2.0
Adaptions	登場人物	0.21977445483207703	6	3.0
Add-ons	関連項目	0.9291728734970093	6	1.0
Additional Images	参考文献	0.8146237730979919	11	1.0
Additional Images	関連項目	0.23368319869041443	11	2.0
Additional Reading	参考文献	0.9931060671806335	6	1.0
Additional Reading	脚注	0.9680004715919495	10	2.0
Additional images	画像	0.9891619682312012	86	1.0
Additional images	位置	0.9727770686149597	6	2.0
Additional images	参考画像	0.9522552490234375	21	3.0
Additional images	機能	0.9458802342414856	49	4.0
Additional images	歴史	0.9095222353935242	12	5.0
Additional information	参考文献	0.9706985354423523	7	1.0
Additional information	関連項目	0.48495879769325256	6	2.0
Additional reading	脚注	0.9939418435096741	64	1.0
Additional reading	参考文献	0.9938934445381165	43	2.0
Additional reading	出典	0.9087110757827759	8	3.0
Additional reading	歴史	0.683462917804718	18	4.0
Additional reading	概要	0.6777215003967285	13	5.0
Additional references	参考文献	0.9909400939941406	10	1.0
Additional references	関連項目	0.8854531645774841	10	2.0
Additional references	概要	0.6350513696670532	7	3.0
Additional sources	参考文献	0.9386817216873169	8	1.0
Additional sources	関連項目	0.7166811227798462	17	2.0
Adjacent counties	地理	0.987330973148346	17	1.0
Adjacent counties	都市と町	0.3511130213737488	10	2.0
Adjacent counties	人口動態	0.22412462532520294	13	3.0
Adjacent stations	隣の駅	0.9841417670249939	5986	1.0
Adjacent stations	脚注	0.9656792283058167	5045	2.0
Adjacent stations	概要	0.925818920135498	630	3.0
Adjacent stations	外部リンク	0.8938706517219543	62	4.0
Adjacent stations	歴史	0.5720451474189758	5662	5.0
Adjectives	動詞	0.5339819192886353	6	1.0
Administration	行政	0.9961219429969788	132	1.0
Administration	政治	0.9845792055130005	27	2.0
Administration	行政区画	0.9762769341468811	300	3.0
Administration	行政区分	0.9750038981437683	300	4.0
Administration	主要都市	0.9619325399398804	23	5.0
Administration and organization	キャンパス	0.9668458700180054	6	1.0
Administration and organization	歴史	0.937508761882782	8	2.0
Administration and organization	関連項目	0.24807152152061462	7	3.0
Administration and politics	交通	0.943219780921936	6	1.0
Administration and politics	関連項目	0.9201527833938599	12	2.0
Administration and politics	地理	0.8933609127998352	6	3.0
Administration and politics	歴史	0.8758003115653992	15	4.0
Administration and politics	脚注	0.5796979665756226	13	5.0
Administration divisions	行政区画	0.8572732210159302	6	1.0
Administrative Subdivisions	行政区画	0.9501565098762512	6	1.0
Administrative and municipal status	歴史	0.6488104462623596	375	1.0
Administrative and municipal status	産業	0.6075466871261597	51	2.0
Administrative and municipal status	経済	0.5937204957008362	83	3.0
Administrative and municipal status	文化	0.5563779473304749	59	4.0
