secFrom	langTo	prob	count	rank
''American Idol''	Дискография	0.16022610664367676	7	1.0
''Dancing with the Stars''	Биография	0.042233988642692566	10	1.0
''Dancing with the Stars'' performances	Биография	0.03218834474682808	8	1.0
''ECO'' codes	Варианты	0.05451344698667526	7	1.0
''In Memoriam''	Фильмы, получившие несколько номинаций	0.1548774689435959	11	1.0
''In Memoriam''	Примечания	0.14382204413414001	21	2.0
''In Memoriam''	Список событий	0.09339989721775055	6	3.0
''In Memoriam''	См. также	0.07494697719812393	23	4.0
''In Memoriam''	Список лауреатов и номинантов	0.07475399225950241	21	5.0
''Survivor''	Примечания	0.09111064672470093	7	1.0
125 cc classification	Результаты к классе 250cc	0.9550514221191406	23	1.0
125 cc classification	Результаты в классе 125cc	0.9345921874046326	14	2.0
125 cc classification	Результаты в классе 250cc	0.8805093169212341	15	3.0
125 cc classification	Результаты к классе 125cc	0.8139876127243042	6	4.0
125 cc classification	Результаты к классе MotoGP	0.430765300989151	29	5.0
14th century	См. также	0.01598801650106907	6	1.0
15th century	См. также	0.014349785633385181	10	1.0
16th century	См. также	0.014349785633385181	9	1.0
17th century	XVII век	0.9869866967201233	7	1.0
17th century	XVIII век	0.9066341519355774	8	2.0
17th century	XIX век	0.8724928498268127	7	3.0
17th century	Литература	0.02796272374689579	12	4.0
17th century	Примечания	0.026338711380958557	21	5.0
18th century	XVIII век	0.9902735352516174	13	1.0
18th century	XVII век	0.9151079654693604	7	2.0
18th century	XIX век	0.8298507928848267	11	3.0
18th century	XX век	0.7023897171020508	6	4.0
18th century	История	0.6168720126152039	9	5.0
1920s	Биография	0.3090379238128662	6	1.0
1920s	Примечания	0.15071475505828857	8	2.0
1930s	См. также	0.3264651298522949	12	1.0
1930s	Биография	0.31249722838401794	8	2.0
1930s	Литература	0.11343692243099213	6	3.0
1940s	См. также	0.21065784990787506	13	1.0
1950s	См. также	0.21065784990787506	21	1.0
1950s	Литература	0.11343692243099213	6	2.0
1960s	История	0.9575705528259277	11	1.0
1960s	Биография	0.9264373779296875	13	2.0
1960s	См. также	0.21065784990787506	32	3.0
1960s	Примечания	0.13020412623882294	50	4.0
1960s	Литература	0.0985756441950798	12	5.0
1970s	История	0.9545500874519348	12	1.0
1970s	Биография	0.8378214836120605	13	2.0
1970s	1970-е годы	0.7857733964920044	6	3.0
1970s	Дискография	0.2154325246810913	9	4.0
1970s	См. также	0.2133558988571167	36	5.0
