secFrom	langTo	prob	count	rank
Abandonos	المراحل	0.22722245752811432	6	1.0
Abundancia y obtención	الإنتاج	0.7115052938461304	6	1.0
Abundancia y obtención	النظائر	0.5645637512207031	14	2.0
Abundancia y obtención	الاستخدامات	0.26716068387031555	13	3.0
Abundancia y obtención	الاحتياطات	0.18097460269927979	6	4.0
Abundancia y obtención	التاريخ وأصل التسمية	0.08905292302370071	6	5.0
Acceso	مراجع	0.13139720261096954	9	1.0
Acceso	انظر أيضاً	0.06522185355424881	13	2.0
Accesorios	مراجع	0.04394446685910225	8	1.0
Accesos	مراجع	0.06783169507980347	16	1.0
Accesos	انظر أيضاً	0.053567275404930115	161	2.0
Accesos	الديموغرافيا	0.04997449368238449	7	3.0
Accidentes	المستخدمون	0.09885681420564651	7	1.0
Accidentes	انظر أيضا	0.07501600682735443	10	2.0
Accidentes	وصلات خارجية	0.05513710156083107	10	3.0
Accidentes	المواصفات	0.04359201714396477	6	4.0
Accidentes	مراجع	0.021077245473861694	10	5.0
Accidentes e incidentes	أحداث وحوادث	0.7974842190742493	6	1.0
Accidentes e incidentes	الوجهات	0.30620241165161133	6	2.0
Accidentes e incidentes	الأسطول	0.19708417356014252	12	3.0
Accidentes e incidentes	وصلات خارجية	0.15647992491722107	14	4.0
Accidentes e incidentes	تاريخ	0.10998136550188065	8	5.0
Acciones	المَغرس	0.15148116648197174	7	1.0
Acciones	العَصب	0.11223963648080826	7	2.0
Acciones	المَنشأ	0.0648803785443306	7	3.0
Acciones	الحَركة	0.06193484365940094	7	4.0
Acción	مرتكز العضلة	0.0635749101638794	6	1.0
Acción	منشأ العضلة	0.04993026331067085	6	2.0
Acogida	مراجع	0.02544122003018856	10	1.0
Acontecimientos	أحداث	0.9840598106384277	2974	1.0
Acontecimientos	الأحداث	0.983829915523529	20	2.0
Acontecimientos	أعياد ومناسبات	0.2007182389497757	363	3.0
Acontecimientos	وفيات	0.11633384227752686	1438	4.0
Acontecimientos	مواليد	0.06303636729717255	2496	5.0
Acontecimientos relevantes	أحداث	0.9557433128356934	10	1.0
Acontecimientos sin fechas	أحداث	0.8066685795783997	6	1.0
Actividad económica	مراجع	0.02346416562795639	7	1.0
Actividad política	مراجع	0.024647900834679604	7	1.0
Actividades	التاريخ	0.11719578504562378	12	1.0
Actividades	انظر أيضًا	0.05224473774433136	6	2.0
Actividades	مراجع	0.043718889355659485	22	3.0
Activismo	مراجع	0.030512262135744095	11	1.0
Actores	مراجع	0.05268847569823265	8	1.0
Actuación	مراجع	0.022381093353033066	9	1.0
Actuación de los jugadores en el torneo	النتائج	0.21173256635665894	7	1.0
Actualidad	تاريخ	0.18239672482013702	7	1.0
Actualidad	انظر أيضاً	0.09683330357074738	13	2.0
Actualidad	المصادر	0.06468365341424942	6	3.0
Actualidad	مصادر	0.056553300470113754	7	4.0
Actualidad	المراجع	0.0560106597840786	15	5.0
Actualizaciones	مراجع	0.4295196533203125	10	1.0
Adaptaciones	الاقتباس	0.3879155218601227	6	1.0
Adaptaciones	القصة	0.2144927680492401	35	2.0
Adaptaciones	شخصيات الرواية	0.1197873130440712	8	3.0
Adaptaciones	الشخصيات	0.10138466954231262	26	4.0
Adaptaciones	ملخص القصة	0.08950672298669815	8	5.0
Adaptaciones cinematográficas	أعماله	0.3107159435749054	9	1.0
Adaptaciones cinematográficas	المراجع	0.05468941852450371	10	2.0
Adaptaciones cinematográficas	مراجع	0.040603380650281906	7	3.0
Adaptaciones cinematográficas	حياته	0.03869526460766792	6	4.0
Adaptación cinematográfica	القصة	0.4387206733226776	7	1.0
Adaptación cinematográfica	مراجع	0.026778146624565125	9	2.0
Adaptación televisiva	مراجع	0.05285390838980675	6	1.0
Administración	الإدارة	0.9836230874061584	8	1.0
Administración	الاقتصاد	0.19528846442699432	20	2.0
Administración	التعليم	0.16612112522125244	11	3.0
Administración	انظر أيضا	0.13264961540699005	44	4.0
Administración	المواصلات	0.12244240939617157	7	5.0
Administración local	الديموغرافيا	0.04542713612318039	7	1.0
Administración y política	تاريخ	0.10855520516633987	8	1.0
