secFrom	langTo	prob	count	rank
''American Idol''	Career	0.8553661108016968	6	1.0
''American Idol''	Personal life	0.19559970498085022	10	2.0
''American Idol''	Discography	0.1447312831878662	15	3.0
''American Idol''	Early life	0.046288587152957916	8	4.0
''Dancing with the Stars''	''Dancing with the Stars''	0.9901683330535889	23	1.0
''Dancing with the Stars''	''Dancing with the Stars'' performances	0.9837431311607361	7	2.0
''Dancing with the Stars''	Personal life	0.12071287631988525	28	3.0
''Dancing with the Stars''	Career	0.0731295496225357	14	4.0
''Dancing with the Stars''	Early life	0.06200167164206505	16	5.0
''Edda poética''	Attestations	0.9481247067451477	11	1.0
''Edda poética''	References	0.7309775352478027	6	2.0
''Edda poética''	Theories	0.2259332239627838	7	3.0
''Edda prosaica''	Attestations	0.9667453765869141	8	1.0
''Remake''	References	0.1654561311006546	6	1.0
''Remake''	Cast	0.10774894803762436	6	2.0
''Remake''	Plot	0.087784543633461	6	3.0
1979	References	0.083720363676548	9	1.0
1980	References	0.13997341692447662	12	1.0
1994	References	0.10615945607423782	6	1.0
1996	References	0.14859306812286377	6	1.0
2000	References	0.11230700463056564	11	1.0
2001	References	0.13615867495536804	9	1.0
2002	References	0.14029519259929657	9	1.0
2003	2003	0.9915044903755188	6	1.0
2003	2007	0.9820215702056885	6	2.0
2003	2004	0.9709804654121399	6	3.0
2003	References	0.1418519765138626	8	4.0
2004	2004	0.9934834837913513	9	1.0
2004	2007	0.9786102771759033	7	2.0
2004	2006	0.9397507309913635	6	3.0
2004	References	0.11330034583806992	11	4.0
2005	2005	0.9932011961936951	6	1.0
2005	2007	0.9746402502059937	6	2.0
2005	References	0.11304506659507751	11	3.0
2006	References	0.11905553191900253	18	1.0
2006	See also	0.10403496772050858	6	2.0
2007	2007	0.9932629466056824	10	1.0
2007	2004	0.9512971043586731	6	2.0
2007	2013	0.9133351445198059	7	3.0
2007	History	0.23258139193058014	7	4.0
2007	See also	0.11551772803068161	6	5.0
2008	History	0.793493926525116	8	1.0
2008	References	0.10048361867666245	32	2.0
