secFrom	langTo	prob	isTranslation
Referencias	References	0.9987037181854248	True
Referencias	Notes	0.9820446968078613	False
Referencias	Footnotes	0.9764350056648254	False
Referencias	Citations	0.9748255610466003	False
Referencias	Sources	0.9729123711585999	False
Referencias	External links	0.9682057499885559	False
Referencias	Notes and references	0.967348575592041	False
Referencias	Bibliography	0.9655594825744629	False
Referencias	Further reading	0.9610522389411926	False
Referencias	References and notes	0.9251255393028259	False
Enlaces externos	References	0.997733473777771	False
Enlaces externos	External links	0.9945928454399109	True
Enlaces externos	Sources	0.9881694316864014	False
Enlaces externos	Footnotes	0.9712626338005066	False
Enlaces externos	Notes and references	0.9631491303443909	False
Enlaces externos	Further reading	0.9595865607261658	False
Enlaces externos	Notes	0.9439548850059509	False
Enlaces externos	Citations	0.9376465678215027	False
Enlaces externos	References and notes	0.9050070643424988	False
Enlaces externos	Other sources	0.8294838070869446	False
Véase también	See also	0.9969900846481323	True
Véase también	References	0.6991536617279053	False
Véase también	Notes	0.4234161078929901	False
Véase también	External links	0.2963458299636841	False
Véase también	Other uses	0.2863127291202545	False
Véase también	Bibliography	0.24153964221477509	False
Véase también	References and notes	0.21886838972568512	False
Véase también	Notes and references	0.20837178826332092	False
Véase también	Further reading	0.20270739495754242	False
Véase también	Gallery	0.15294401347637177	False
Historia	History	0.9977351427078247	True
Historia	Story	0.9115408658981323	False
Historia	Early history	0.8923622965812683	False
Historia	Performance history	0.8862800598144531	False
Historia	Origins	0.8630629777908325	False
Historia	Biography	0.828540027141571	False
Historia	Career	0.8236261010169983	False
Historia	Plot	0.8114045858383179	False
Historia	Service history	0.7977169752120972	False
Historia	Fictional character biography	0.7781490087509155	False
Bibliografía	Bibliography	0.9977768063545227	True
Bibliografía	References	0.9951659440994263	False
Bibliografía	Sources	0.9938130378723145	False
Bibliografía	Notes	0.9720825552940369	False
Bibliografía	Literature	0.9699965715408325	False
Bibliografía	Further reading	0.9650164246559143	False
Bibliografía	Notes and references	0.9519344568252563	False
Bibliografía	Citations	0.9106215834617615	False
Bibliografía	References and notes	0.9083753824234009	False
Bibliografía	References and sources	0.8806318044662476	False
Demografía	Demographics	0.991605281829834	True
Demografía	Population	0.9878167510032654	False
Demografía	Demography	0.9801022410392761	False
Demografía	Geography	0.9570797681808472	False
Demografía	Ethnic groups	0.3803475499153137	False
Demografía	Education	0.21725016832351685	False
Demografía	Geography and climate	0.18784619867801666	False
Demografía	Municipalities	0.1809055060148239	False
Demografía	Economy	0.13344958424568176	False
Demografía	Geography and environment	0.11873748898506165	False
Biografía	Biography	0.9970890879631042	True
Biografía	Career	0.97890305519104	False
Biografía	Life	0.9731470942497253	False
Biografía	Life and career	0.9707136154174805	False
Biografía	Early life and career	0.9145346879959106	False
Biografía	History	0.9023096561431885	False
Biografía	Fictional character biography	0.8567560315132141	False
Biografía	Early life	0.850311279296875	False
Biografía	Life and work	0.8498898148536682	False
Biografía	Filmography	0.8191133737564087	False
Geografía	Geography	0.9974150657653809	True
Geografía	Demographics	0.9799127578735352	False
Geografía	Name and history	0.9653269052505493	False
Geografía	Location	0.8888853192329407	False
Geografía	Geography and climate	0.8881919384002686	False
Geografía	Demography	0.8713359236717224	False
Geografía	History	0.7789426445960999	False
Geografía	Topography	0.7583252787590027	False
Geografía	Places	0.6516187787055969	False
Geografía	Geography and geology	0.5451016426086426	False
Distribución geográfica	Distribution	0.9963751435279846	False
