secFrom	langTo	prob	count	rank
''American Idol''	Discographie	0.21139076352119446	8	1.0
''Dancing with the Stars''	Carrière	0.07926642149686813	8	1.0
''Dancing with the Stars''	Biographie	0.03410881385207176	9	2.0
''Dancing with the Stars''	Filmographie	0.027507459744811058	9	3.0
''Remake''	Distribution	0.1818705052137375	6	1.0
''Remake''	Synopsis	0.15220358967781067	6	2.0
''Remake''	Fiche technique	0.08769989013671875	6	3.0
1976	Palmarès	0.13123419880867004	14	1.0
1978	Palmarès	0.08497297763824463	6	1.0
1979	Palmarès	0.08186855912208557	10	1.0
1980	Palmarès	0.10644294321537018	11	1.0
1981	Palmarès	0.0681094229221344	14	1.0
2005	Notes et références	0.09505096077919006	6	1.0
2006	Palmarès	0.11629404872655869	7	1.0
2006	Biographie	0.09698746353387833	7	2.0
2008	Notes et références	0.08934207260608673	12	1.0
2008	Biographie	0.08138919621706009	8	2.0
2010	Notes et références	0.0811743214726448	12	1.0
2010	Palmarès	0.07713870704174042	9	2.0
2011	Palmarès	0.17533008754253387	9	1.0
2011	Notes et références	0.0936964824795723	12	2.0
2012	Notes et références	0.0997210294008255	18	1.0
2013	Notes et références	0.09697747975587845	9	1.0
2014	Notes et références	0.09391269832849503	9	1.0
2017	Notes et références	0.1294758915901184	7	1.0
ATP Challenger Tour	Palmarès	0.8924546837806702	24	1.0
ATP Challenger Tour	Classement ATP en fin de saison	0.6465797424316406	17	2.0
ATP Challenger Tour	Classements ATP en fin de saison	0.5934976935386658	7	3.0
ATP Challenger Tour	Carrière	0.07755530625581741	22	4.0
ATP World Tour Masters 1000	Palmarès	0.7507908344268799	6	1.0
Abandonos	Récit de la course	0.9050850868225098	6	1.0
Abandonos	Étapes	0.7586236596107483	8	2.0
Abandonos	Évolution des classements	0.27240753173828125	6	3.0
Abandonos	Présentation	0.23429232835769653	6	4.0
Abandonos	Notes et références	0.042807918041944504	7	5.0
Abdicación	Biographie	0.019321607425808907	8	1.0
Abundancia	Isotopes	0.29867538809776306	6	1.0
Abundancia	Notes et références	0.01725008338689804	13	2.0
Abundancia y obtención	Production	0.9751858115196228	7	1.0
Abundancia y obtención	Utilisations	0.45303162932395935	18	2.0
Abundancia y obtención	Utilisation	0.3987174928188324	6	3.0
Abundancia y obtención	Isotopes	0.27559638023376465	33	4.0
Abundancia y obtención	Composés	0.22928500175476074	6	5.0
Accesibilidad	Notes et références	0.05728636309504509	12	1.0
Accesibilidad	Histoire	0.034098729491233826	10	2.0
Acceso	Accès	0.9950137734413147	26	1.0
Acceso	Services aux voyageurs	0.9475918412208557	9	2.0
Acceso	Description	0.8099811673164368	15	3.0
Acceso	À proximité	0.796222448348999	6	4.0
Acceso	Situation	0.5563526749610901	13	5.0
Accesorios	Accessoires	0.9977515339851379	7	1.0
Accesorios	Voir aussi	0.6317861676216125	6	2.0
Accesorios	Notes et références	0.1178242564201355	29	3.0
Accesorios	Historique	0.11385487020015717	10	4.0
Accesos	Accès	0.9923633337020874	29	1.0
Accesos	Services aux voyageurs	0.9149259328842163	161	2.0
Accesos	À proximité	0.9142848253250122	112	3.0
Accesos	Description	0.4186898171901703	6	4.0
Accesos	Situation	0.30401328206062317	84	5.0
Accidente	Accident	0.9899521470069885	12	1.0
Accidente	Déroulement des faits	0.9214851260185242	12	2.0
Accidente	Enquête	0.906637966632843	17	3.0
Accidente	Histoire	0.7768968343734741	8	4.0
Accidente	Avion	0.594982385635376	8	5.0
Accidentes	Accidents	0.9954427480697632	14	1.0
Accidentes	Accident	0.9825226068496704	9	2.0
Accidentes	Flotte	0.5753257274627686	24	3.0
Accidentes	Histoire	0.4704757034778595	36	4.0
Accidentes	Historique	0.4664198160171509	16	5.0
Accidentes e Incidentes	Situation	0.14937402307987213	6	1.0
Accidentes e Incidentes	Flotte	0.06438586115837097	8	2.0
Accidentes e incidentes	Accidents et incidents	0.9941755533218384	22	1.0
Accidentes e incidentes	Incidents et accidents	0.9898554086685181	13	2.0
Accidentes e incidentes	Accidents	0.9842930436134338	15	3.0
Accidentes e incidentes	Compagnies aériennes et destinations	0.5374072194099426	23	4.0
