secFrom	langTo	prob	isTranslation
Referencias	Notes et références	0.9982843995094299	False
Referencias	Références	0.9971754550933838	True
Referencias	Liens externes	0.991814136505127	False
Referencias	Voir aussi	0.9894424676895142	False
Referencias	Sources	0.9886115193367004	False
Referencias	Bibliographie	0.9870842099189758	False
Referencias	Notes	0.9763328433036804	False
Referencias	Référence	0.9723349809646606	False
Referencias	Articles connexes	0.9687721729278564	False
Referencias	Sources et références	0.9578148126602173	False
Enlaces externos	Liens externes	0.998325765132904	True
Enlaces externos	Notes et références	0.9972151517868042	False
Enlaces externos	Références	0.9966387748718262	False
Enlaces externos	Lien externe	0.9957067370414734	False
Enlaces externos	Voir aussi	0.9940727353096008	False
Enlaces externos	Sources	0.9930071830749512	False
Enlaces externos	Notes	0.9913169145584106	False
Enlaces externos	Source	0.9833623766899109	False
Enlaces externos	Bibliographie	0.9818623661994934	False
Enlaces externos	Articles connexes	0.9791958332061768	False
Véase también	Voir aussi	0.9857531189918518	True
Véase también	Articles connexes	0.9758027195930481	False
Véase también	Lien interne	0.9551809430122375	False
Véase también	Article connexe	0.9405706524848938	False
Véase también	Liens internes	0.9057965278625488	False
Véase también	Voir également	0.8588753342628479	False
Véase también	Pour approfondir	0.7759490013122559	False
Véase también	Annexes	0.6759747266769409	False
Véase también	Notes et références	0.6306448578834534	False
Véase también	Lien externe	0.6165022850036621	False
Historia	Histoire	0.9976813793182373	True
Historia	Historique	0.9949111342430115	False
Historia	Biographie	0.9839231371879578	False
Historia	Carrière	0.9461489915847778	False
Historia	Origines	0.9301020503044128	False
Historia	Géographie	0.9035564064979553	False
Historia	L'histoire	0.8903777003288269	False
Historia	Genèse	0.8686703443527222	False
Historia	Synopsis	0.8674664497375488	False
Historia	Chronologie	0.8290760517120361	False
Bibliografía	Bibliographie	0.9984622001647949	True
Bibliografía	Références	0.9948052763938904	False
Bibliografía	Notes et références	0.9937053322792053	False
Bibliografía	Sources	0.9883890151977539	False
Bibliografía	Publications	0.9780775308609009	False
Bibliografía	Liens externes	0.9720782041549683	False
Bibliografía	Notes	0.9092746376991272	False
Bibliografía	Sources et références	0.8955700993537903	False
Bibliografía	Sources et bibliographie	0.893347978591919	False
Bibliografía	Articles connexes	0.8890456557273865	False
Demografía	Démographie	0.9913163185119629	True
Demografía	Population	0.9789496660232544	False
Demografía	Histoire	0.9586815237998962	False
Demografía	Géographie	0.8539884090423584	False
Demografía	Population et société	0.6867659687995911	False
Demografía	Subdivisions administratives	0.6246523261070251	False
Demografía	Toponymie	0.6161501407623291	False
Demografía	Urbanisme	0.5844960808753967	False
Demografía	Économie	0.5192461609840393	False
Demografía	Localités	0.5056628584861755	False
Biografía	Biographie	0.9982272982597351	True
Biografía	Carrière	0.9850480556488037	False
Biografía	Filmographie	0.9449528455734253	False
Biografía	Sa vie	0.9349217414855957	False
Biografía	Éléments biographiques	0.9307657480239868	False
Biografía	Histoire	0.9222884178161621	False
Biografía	Biographie et carrière	0.9147332310676575	False
Biografía	Biographie fictive	0.9114583730697632	False
Biografía	Biographie du personnage	0.8907036781311035	False
Biografía	Présentation	0.8816027641296387	False
Geografía	Géographie	0.9942992925643921	True
Geografía	Histoire	0.9664087891578674	False
Geografía	Situation	0.8965816497802734	False
Geografía	Situation géographique	0.8665470480918884	False
Geografía	Localisation	0.8576991558074951	False
Geografía	Comtés voisins	0.8449176549911499	False
Geografía	Démographie	0.8360654711723328	False
Geografía	Géolocalisation	0.8212677836418152	False
Geografía	Comtés adjacents	0.8140882849693298	False
Geografía	Toponyme	0.7744259834289551	False
Distribución geográfica	Répartition géographique	0.9889782071113586	True
Distribución geográfica	Habitat et répartition	0.986042857170105	False
Distribución geográfica	Répartition et habitat	0.9834286570549011	False
Distribución geográfica	Distribution et habitat	0.9807078242301941	False
Distribución geográfica	Distribution	0.9744392037391663	False
Distribución geográfica	Répartition	0.9695423245429993	False
Distribución geográfica	Distribution géographique	0.9421637654304504	False
Distribución geográfica	Habitat	0.9357324838638306	False
Distribución geográfica	Description de l'espèce	0.8226423859596252	False
Distribución geográfica	Étymologie	0.7914052605628967	False
Descripción	Description	0.9969559907913208	True
Descripción	Morphologie	0.9839391708374023	False
Descripción	Géographie	0.9782006740570068	False
Descripción	Histoire	0.959850013256073	False
Descripción	Présentation	0.9132279753684998	False
Descripción	Historique	0.9089379906654358	False
Descripción	Description morphologique	0.901794970035553	False
Descripción	Description générale	0.8920864462852478	False
Descripción	Contexte	0.880540132522583	False
Descripción	Classification	0.8548205494880676	False
Notas	Notes et références	0.9981626868247986	False
Notas	Notes	0.995433509349823	True
Notas	Références	0.9943780303001404	False
Notas	Bibliographie	0.9753422141075134	False
Notas	Sources	0.9645088315010071	False
Notas	Sources et références	0.9366730451583862	False
Notas	Liens externes	0.8645816445350647	False
Notas	Voir aussi	0.8191730976104736	False
Notas	Source	0.7809215784072876	False
Notas	Annexes	0.7778811454772949	False
Palmarés	Palmarès	0.9953730702400208	True
Palmarés	Palmarès sur route	0.9891933798789978	False
Palmarés	Résultats sur les grands tours	0.9729890823364258	False
Palmarés	Palmarès sur piste	0.9692077040672302	False
Palmarés	Palmarès et résultats	0.9502016305923462	False
Palmarés	Palmarès et classements mondiaux	0.9494358897209167	False
Palmarés	Bilan par club	0.9335932731628418	False
Palmarés	Palmarès de joueur	0.9221767783164978	False
Palmarés	Biographie	0.8952329754829407	False
Palmarés	Carrière de joueur	0.8805536031723022	False
Clubes	Clubs	0.9955215454101562	True
Clubes	Club	0.9819726943969727	False
Clubes	Clubs successifs	0.9695830941200256	False
Clubes	Carrière de joueur	0.9673187732696533	False
Clubes	Carrière	0.9486325979232788	False
Clubes	Carrière en club	0.9464039206504822	False
Clubes	Palmarès	0.9266284704208374	False
Clubes	Biographie	0.9029864072799683	False
Clubes	Bilan de la saison	0.8855745196342468	False
Clubes	Statistiques	0.8849433660507202	False
Trayectoria	Biographie	0.9940306544303894	False
Trayectoria	Carrière	0.9923714399337769	True
Trayectoria	Carrière en club	0.9628127217292786	False
Trayectoria	Carrière de joueur	0.9593921899795532	False
Trayectoria	Clubs	0.9585205912590027	False
Trayectoria	Carrière professionnelle	0.9476221203804016	False
