secFrom	langTo	prob	count	rank
2012	関連項目	0.826587975025177	6	1.0
ATP Challenger Tour	4大大会シングルス成績	0.2887636125087738	7	1.0
ATP Challenger Tour	ATPツアー決勝進出結果	0.197906956076622	13	2.0
ATP Challenger Tour	来歴	0.12450698018074036	12	3.0
ATP World Tour Masters 1000	ATPツアー決勝進出結果	0.5297542214393616	6	1.0
Abandonos	日程	0.9503529667854309	6	1.0
Abandonos	出場チーム	0.8785455822944641	6	2.0
Abandonos	最終成績	0.6734272837638855	6	3.0
Abdicación	生涯	0.4149612784385681	9	1.0
Abundancia	用途	0.23517268896102905	6	1.0
Abundancia	歴史	0.19153785705566406	7	2.0
Abundancia	同位体	0.10265001654624939	7	3.0
Abundancia y obtención	産出	0.9779154658317566	6	1.0
Abundancia y obtención	生産	0.975245475769043	6	2.0
Abundancia y obtención	化合物	0.51883465051651	10	3.0
Abundancia y obtención	概要	0.4425574839115143	6	4.0
Abundancia y obtención	歴史	0.40514013171195984	39	5.0
Accesibilidad	関連項目	0.16422666609287262	6	1.0
Accesibilidad	歴史	0.09692889451980591	6	2.0
Acceso	アクセス	0.9813789129257202	10	1.0
Acceso	脚注	0.17733515799045563	21	2.0
Acceso	概要	0.14590464532375336	23	3.0
Acceso	参考文献	0.14434221386909485	10	4.0
Acceso	関連項目	0.13560084998607635	25	5.0
Accesorios	関連項目	0.8453976511955261	18	1.0
Accesorios	仕様	0.43429115414619446	8	2.0
Accesorios	脚注	0.4098528027534485	18	3.0
Accesorios	概要	0.29920732975006104	19	4.0
Accesorios	歴史	0.21640323102474213	7	5.0
Accesos	駅周辺	0.9658464193344116	57	1.0
Accesos	交通	0.9605576992034912	39	2.0
Accesos	アクセス	0.9455276727676392	8	3.0
Accesos	ギャラリー	0.9215054512023926	15	4.0
Accesos	歴史	0.3714101314544678	109	5.0
Accidente	事故の概要	0.9596774578094482	14	1.0
Accidente	事故概要	0.952079713344574	8	2.0
Accidente	事故の概略	0.9423434734344482	8	3.0
Accidente	概要	0.929796040058136	12	4.0
Accidente	事故の経過	0.903263509273529	8	5.0
Accidentes	事故	0.96257483959198	16	1.0
Accidentes	関連項目	0.6952927708625793	45	2.0
Accidentes	事件・事故	0.6577065587043762	6	3.0
Accidentes	就航路線	0.6244783997535706	9	4.0
Accidentes	概要	0.4128251075744629	44	5.0
Accidentes e Incidentes	概要	0.334073007106781	7	1.0
Accidentes e Incidentes	関連項目	0.10825224965810776	6	2.0
Accidentes e incidentes	事故	0.9880890250205994	27	1.0
Accidentes e incidentes	保有機材	0.766084611415863	25	2.0
Accidentes e incidentes	歴史	0.691924512386322	36	3.0
Accidentes e incidentes	主な事故・事件	0.5966589450836182	6	4.0
Accidentes e incidentes	概要	0.5839067101478577	84	5.0
Accidentes geográficos	地名	0.9509267807006836	7	1.0
Acciones	概要	0.3139777183532715	6	1.0
Acciones	参考文献	0.08725697547197342	14	2.0
Acciones	関連項目	0.06958846002817154	18	3.0
Accionistas	概要	0.6377477049827576	6	1.0
Accionistas	沿革	0.28738829493522644	10	2.0
Accionistas	歴史	0.1915804147720337	7	3.0
Accionistas	関連項目	0.1782139092683792	14	4.0
Acción	追加画像	0.18962952494621277	6	1.0
Acción	関連項目	0.08300937712192535	20	2.0
Aceptación	関連項目	0.1496618688106537	8	1.0
Aceptación	概要	0.10668116807937622	6	2.0
Acogida	概要	0.6928148865699768	15	1.0
Acogida	スタッフ	0.3356476426124573	8	2.0
Acogida	関連項目	0.2112094610929489	11	3.0
Acogida	キャスト	0.20475837588310242	19	4.0
Acogida	脚注	0.1922798603773117	22	5.0
Acontecimientos	できごと	0.9186473488807678	3051	1.0
Acontecimientos	誕生日	0.863929271697998	366	2.0
Acontecimientos	忌日	0.7995402812957764	366	3.0
Acontecimientos	ハイライト	0.78984135389328	10	4.0
Acontecimientos	概要	0.7866286039352417	15	5.0
Acontecimientos históricos	できごと	0.7885563969612122	9	1.0
Acontecimientos históricos	関連項目	0.072600357234478	11	2.0
Acontecimientos relevantes	人物	0.8570636510848999	18	1.0
Acontecimientos relevantes	できごと	0.758112370967865	22	2.0
Acontecimientos relevantes	フィクションのできごと	0.3527987003326416	9	3.0
Acontecimientos relevantes	関連項目	0.1570509523153305	20	4.0
Acontecimientos sin fechas	できごと	0.2860730290412903	6	1.0
Acontecimientos sin fechas	誕生	0.22499018907546997	6	2.0
Acontecimientos sin fechas	他の紀年法	0.13595464825630188	6	3.0
Actividad	概要	0.5925106406211853	8	1.0
Actividad	関連項目	0.1854764074087143	17	2.0
Actividad	歴史	0.13709382712841034	8	3.0
Actividad	参考文献	0.027846423909068108	8	4.0
Actividad económica	地理	0.22605985403060913	6	1.0
Actividad económica	歴史	0.12066806107759476	10	2.0
Actividad política	経歴	0.8873513340950012	6	1.0
Actividad política	関連項目	0.1370881348848343	11	2.0
Actividad política	脚注	0.09447745978832245	14	3.0
Actividad política	参考文献	0.0465165339410305	8	4.0
Actividad volcánica	概要	0.827746570110321	6	1.0
Actividad volcánica	関連項目	0.05318668484687805	9	2.0
Actividades	活動	0.975658655166626	16	1.0
Actividades	関連項目	0.30812352895736694	69	2.0
Actividades	歴史	0.21800006926059723	48	3.0
Actividades	ギャラリー	0.1727442443370819	9	4.0
Actividades	脚注	0.17215728759765625	57	5.0
Actividades deportivas	歴史	0.23357750475406647	6	1.0
Actividades económicas	歴史	0.22881421446800232	7	1.0
Activismo	私生活	0.7885408997535706	6	1.0
Activismo	ディスコグラフィ	0.3648218810558319	6	2.0
Activismo	経歴	0.3165527880191803	8	3.0
Activismo	脚注	0.2533324956893921	19	4.0
Activismo	生い立ち	0.18022370338439941	6	5.0
Activismo político	脚注	0.18324854969978333	12	1.0
Activismo político	関連項目	0.04984460771083832	10	2.0
Actores	キャスト	0.9911060929298401	25	1.0
Actores	登場人物	0.9181583523750305	10	2.0
Actores	スタッフ	0.2043815702199936	19	3.0
Actores	脚注	0.16016975045204163	20	4.0
Actores	概要	0.12443344295024872	17	5.0
Actores de voz	概要	0.7842004299163818	8	1.0
Actores de voz	脚注	0.34230706095695496	10	2.0
Actores, personajes y créditos	キャスト	0.9929454922676086	8	1.0
Actores, personajes y créditos	スタッフ	0.9544362425804138	6	2.0
Actuaciones	出演	0.4589863121509552	6	1.0
Actuaciones	来歴	0.4303107261657715	8	2.0
Actuaciones	概要	0.41085726022720337	10	3.0
Actuaciones	作品	0.3617216944694519	6	4.0
Actuaciones	人物	0.29720431566238403	6	5.0
Actuaciones en directo	脚注	0.6659680008888245	6	1.0
Actuación	来歴	0.9409832954406738	12	1.0
Actuación	主な出演作品	0.8717877268791199	6	2.0
Actuación	出演	0.8713347315788269	7	3.0
Actuación de los jugadores en el torneo	シニア	0.8311535120010376	12	1.0
Actuación de los jugadores en el torneo	ポイントと賞金総額	0.07674292474985123	10	2.0
Actualidad	組織	0.8881308436393738	11	1.0
Actualidad	ディスコグラフィー	0.6714152097702026	12	2.0
Actualidad	装備	0.5726385116577148	6	3.0
Actualidad	経歴	0.49219608306884766	22	4.0
Actualidad	メンバー	0.3765140473842621	11	5.0
Actualizaciones	ライセンス	0.8452958464622498	9	1.0
Actualizaciones	スタジアム	0.8221054077148438	6	2.0
Actualizaciones	関連項目	0.7369782328605652	16	3.0
Actualizaciones	概要	0.29724356532096863	17	4.0
Actualizaciones	実況・解説	0.2384641319513321	7	5.0
Actualmente	脚注	0.24243269860744476	7	1.0
Actualmente	歴史	0.057902075350284576	6	2.0
Acuerdos de código compartido	サービス	0.9601710438728333	6	1.0
Acuerdos de código compartido	歴史	0.8604695200920105	7	2.0
Acuerdos de código compartido	概要	0.8284608721733093	10	3.0
Acuerdos de código compartido	関連項目	0.42679718136787415	8	4.0
Acuerdos de código compartido	保有機材	0.20990575850009918	9	5.0
Acusaciones	関連項目	0.09561646729707718	6	1.0
Adaptaciones	映画	0.9671390056610107	27	1.0
Adaptaciones	翻案	0.9632335305213928	10	2.0
Adaptaciones	映像化	0.9618781805038452	12	3.0
Adaptaciones	映像化作品	0.9580123424530029	7	4.0
Adaptaciones	映画化	0.9377843737602234	12	5.0
