secFrom	langTo	prob	count	rank
''Dancing with the Stars''	Личная жизнь	0.046865977346897125	6	1.0
''Dancing with the Stars''	Биография	0.03415527567267418	11	2.0
''Remake''	В ролях	0.17500844597816467	6	1.0
''Remake''	Сюжет	0.07138598710298538	6	2.0
ATP Challenger Tour	Выступления на турнирах	0.4743451476097107	23	1.0
ATP Challenger Tour	Спортивная карьера	0.05463516339659691	23	2.0
ATP Challenger Tour	Рейтинг на конец года	0.04927914962172508	23	3.0
ATP Challenger Tour	Общая информация	0.020796405151486397	23	4.0
Abandonos	Маршрут	0.5616689920425415	8	1.0
Abandonos	Лидеры классификаций	0.47543826699256897	6	2.0
Abandonos	Классификации	0.11562611162662506	6	3.0
Abandonos	Участники	0.02058679610490799	8	4.0
Abdicación	Биография	0.3892694115638733	7	1.0
Abdicación	Примечания	0.044405706226825714	7	2.0
Abundancia	Нахождение в природе	0.9879356622695923	6	1.0
Abundancia	Применение	0.042491450905799866	6	2.0
Abundancia	Примечания	0.033088892698287964	7	3.0
Abundancia	Получение	0.031095586717128754	7	4.0
Abundancia y obtención	Нахождение в природе	0.9711831212043762	30	1.0
Abundancia y obtención	Химические свойства	0.5884765386581421	33	2.0
Abundancia y obtención	Применение	0.42193809151649475	42	3.0
Abundancia y obtención	Получение	0.37426286935806274	41	4.0
Abundancia y obtención	Физические свойства	0.3550431728363037	33	5.0
Accesibilidad	Примечания	0.06838192045688629	6	1.0
Accesibilidad	История	0.04082446172833443	9	2.0
Acceso	Описание	0.11964919418096542	6	1.0
Acceso	Галерея	0.10576410591602325	15	2.0
Acceso	См. также	0.09865933656692505	14	3.0
Acceso	Примечания	0.06517277657985687	41	4.0
Acceso	История	0.031067291274666786	32	5.0
Accesorios	См. также	0.24771817028522491	12	1.0
Accesorios	История	0.2155516892671585	12	2.0
Accesorios	Технические характеристики	0.1691398322582245	8	3.0
Accesorios	Игры	0.0998266264796257	6	4.0
Accesorios	Примечания	0.07592187076807022	22	5.0
Accesos	Галерея	0.9182249307632446	132	1.0
Accesos	Достопримечательности	0.9180119633674622	18	2.0
Accesos	Путевое развитие	0.2936782240867615	45	3.0
Accesos	Конструкция и оформление	0.1884787529706955	13	4.0
Accesos	Этимология названия	0.17527180910110474	10	5.0
Accidente	Катастрофа	0.9930171966552734	25	1.0
Accidente	Характер происшествия	0.9676972031593323	6	2.0
Accidente	Самолёт	0.7010067701339722	48	3.0
Accidente	Расследование	0.582756757736206	51	4.0
Accidente	Хронология событий	0.5531188249588013	35	5.0
Accidentes	Происшествия	0.9775443077087402	9	1.0
Accidentes	Флот	0.7258633375167847	20	2.0
Accidentes	Эксплуатация	0.495150089263916	7	3.0
Accidentes	Тактико-технические характеристики	0.12700311839580536	9	4.0
Accidentes	Лётно-технические характеристики	0.12316837906837463	6	5.0
