secFrom	langTo	prob	isTranslation
Referencias	Примечания	0.9989172220230103	True
Referencias	Литература	0.9969235062599182	False
Referencias	Источники	0.9908055663108826	False
Referencias	Ссылки	0.9902785420417786	False
Referencias	Примечание	0.9655799269676208	False
Referencias	Библиография	0.9611750245094299	False
Referencias	Внешние ссылки	0.9245346784591675	False
Referencias	Источник	0.8962883949279785	False
Referencias	См. также	0.8733339905738831	False
Referencias	Интересные факты	0.8681752681732178	False
Enlaces externos	Ссылки	0.9985387325286865	False
Enlaces externos	Примечания	0.997816801071167	False
Enlaces externos	Источники	0.9958447813987732	False
Enlaces externos	Литература	0.99236661195755	False
Enlaces externos	Внешние ссылки	0.9699565172195435	True
Enlaces externos	Примечание	0.9567732214927673	False
Enlaces externos	Топографические карты	0.914910614490509	False
Enlaces externos	Статьи	0.845599353313446	False
Enlaces externos	Интересные факты	0.7982277870178223	False
Enlaces externos	Сноски	0.7973456978797913	False
Véase también	См. также	0.9978470802307129	True
Véase también	См.также	0.9818596243858337	False
Véase también	Примечания	0.9025341272354126	False
Véase también	Смотрите также	0.8831355571746826	False
Véase también	Ссылки	0.8699687719345093	False
Véase también	Источники	0.8155262470245361	False
Véase también	Интересные факты	0.7214312553405762	False
Véase también	Литература	0.6818940043449402	False
Véase también	Галерея	0.5529731512069702	False
Véase también	Смотри также	0.5140946507453918	False
Historia	История	0.9967013001441956	True
Historia	Биография	0.9836364388465881	False
Historia	Сюжет	0.9828152060508728	False
Historia	История создания	0.9780095815658569	False
Historia	История открытия	0.9125570058822632	False
Historia	История группы	0.8866640329360962	False
Historia	История изучения	0.8854515552520752	False
Historia	История компании	0.8752338290214539	False
Historia	История возникновения	0.8509830832481384	False
Historia	Карьера	0.8447034358978271	False
Bibliografía	Литература	0.9963967204093933	False
Bibliografía	Примечания	0.9958208799362183	False
Bibliografía	Библиография	0.9937264919281006	True
Bibliografía	Источники	0.992760181427002	False
Bibliografía	Ссылки	0.9869579672813416	False
Bibliografía	Комментарии	0.9394183158874512	False
Bibliografía	Дополнительная литература	0.9236173033714294	False
Bibliografía	См. также	0.8726721405982971	False
Bibliografía	Публикации на русском языке	0.8571836352348328	False
Bibliografía	Источники и литература	0.8451306819915771	False
Demografía	Демография	0.9959267377853394	True
Demografía	Население	0.9873284101486206	False
Demografía	Административное деление	0.9409807324409485	False
Demografía	Учреждение и состав	0.823959469795227	False
Demografía	Административно-территориальное деление	0.8187243342399597	False
Demografía	Административное устройство	0.7885187864303589	False
Demografía	Экономика	0.7307461500167847	False
Demografía	История	0.7287484407424927	False
Demografía	География	0.6604312658309937	False
Demografía	Муниципалитеты	0.6164522767066956	False
Biografía	Биография	0.9974232912063599	True
Biografía	Биография и творчество	0.9920338988304138	False
Biografía	Жизнь и творчество	0.9897928237915039	False
Biografía	Карьера	0.9868997931480408	False
Biografía	Жизнь и карьера	0.9863551259040833	False
Biografía	История	0.9822496175765991	False
Biografía	Жизнеописание	0.9783635139465332	False
Biografía	Биография и карьера	0.9699362516403198	False
Biografía	Краткая биография	0.9559456706047058	False
Biografía	Клубная карьера	0.9469466209411621	False
Geografía	География	0.996496856212616	True
Geografía	Географическое положение	0.9928308129310608	False
Geografía	Общие сведения	0.9862127304077148	False
Geografía	Физико-географическая характеристика	0.9679043292999268	False
