secFrom	langTo	prob	count	rank
A	أ	0.9622313976287842	14	1.0
A	ب	0.4274546504020691	15	2.0
A	س	0.12096250057220459	10	3.0
A	ز	0.11772041767835617	7	4.0
A	ج	0.11008855700492859	12	5.0
Accessibilité	مراجع	0.04047229513525963	7	1.0
Accessoires	مراجع	0.028903720900416374	9	1.0
Accidents	الأسطول	0.31701311469078064	6	1.0
Accidents	أنظر أيضا	0.07055998593568802	8	2.0
Accidents	المستخدمون	0.06332676112651825	21	3.0
Accidents	التاريخ	0.04890966787934303	9	4.0
Accidents	انظر أيضا	0.041762832552194595	12	5.0
Accidents et incidents	الأسطول	0.16381332278251648	10	1.0
Accidents et incidents	أنظر أيضاً	0.04927441477775574	6	2.0
Accidents et incidents	أنظر أيضا	0.04733794182538986	6	3.0
Accidents et incidents	المستخدمون	0.046596068888902664	16	4.0
Accidents et incidents	مراجع	0.024480445310473442	8	5.0
Accueil	الاستقبال	0.9751489758491516	54	1.0
Accueil	الاستقبال الجماهيري	0.9251933693885803	10	2.0
Accueil	التقييم	0.862457811832428	8	3.0
Accueil	استقبال	0.8606339693069458	7	4.0
Accueil	الإستقبال	0.8133805394172668	20	5.0
Accueil critique	الموسيقى التصويرية	0.3243737518787384	8	1.0
Accueil critique	الإنتاج	0.26071831583976746	6	2.0
Accueil critique	طاقم التمثيل	0.07443712651729584	13	3.0
Accueil critique	القصة	0.056820377707481384	37	4.0
Accueil critique	المصادر	0.04142165184020996	7	5.0
Accès	طالع أيضا	0.2557649612426758	7	1.0
Accès	انظر أيضاً	0.24733024835586548	12	2.0
Accès	انظر أيضا	0.10425656288862228	7	3.0
Accès	الموقع	0.032213740050792694	6	4.0
Accès	مراجع	0.0316949300467968	23	5.0
Acteurs	مراجع	0.018178660422563553	7	1.0
Acteurs et personnages	القصة	0.7230179309844971	10	1.0
Action	صور إضافية	0.7064427137374878	8	1.0
Action	المراجع	0.25641781091690063	6	2.0
Action	العَصب	0.1653042584657669	19	3.0
Action	الوظيفة	0.16391490399837494	7	4.0
Action	وظيفة العضلة	0.12366203218698502	7	5.0
Actionnariat	تاريخ	0.040834564715623856	6	1.0
Actions	مراجع	0.036920592188835144	13	1.0
Actions	انظر أيضًا	0.02234620973467827	10	2.0
Actions	وصلات خارجية	0.01925675943493843	6	3.0
Actions	المراجع	0.01684202440083027	7	4.0
Actions	انظر أيضا	0.009390704333782196	7	5.0
Activité	التاريخ	0.11084955185651779	8	1.0
Activité	انظر أيضا	0.05084025114774704	6	2.0
Activité	انظر أيضاً	0.03656613454222679	7	3.0
Activité	المراجع	0.019852835685014725	11	4.0
Activité	وصلات خارجية	0.019355211406946182	11	5.0
Activité de lobbying	مراجع	0.01718851365149021	8	1.0
Activités	الأنشطة	0.9650116562843323	14	1.0
Activités	التاريخ	0.391377329826355	33	2.0
Activités	معرض الصور	0.3723365068435669	7	3.0
Activités	الجغرافيا	0.07597421854734421	9	4.0
Activités	جغرافيا	0.07423358410596848	6	5.0
Activités sportives	مراجع	0.025774354115128517	8	1.0
Activités économiques	مراجع	0.16404783725738525	6	1.0
Adaptation	مصادر	0.5224502086639404	6	1.0
Adaptation	القصة	0.20879141986370087	21	2.0
Adaptation	مراجع	0.047126736491918564	25	3.0
Adaptation	طاقم التمثيل	0.04683440923690796	6	4.0
Adaptation	وصلات خارجية	0.04625985026359558	12	5.0
Adaptation cinématographique	مراجع	0.18714605271816254	12	1.0
Adaptation en jeu vidéo	القصة	0.07236111909151077	6	1.0
Adaptation en jeu vidéo	مراجع	0.06260570138692856	7	2.0
Adaptations	الاقتباس	0.9638293981552124	40	1.0
Adaptations	الشخصيات	0.19629348814487457	54	2.0
Adaptations	أنظر أيضا	0.18603765964508057	7	3.0
Adaptations	انظر أيضا	0.1596747785806656	13	4.0
Adaptations	ملخص الرواية	0.13849912583827972	44	5.0
Adaptations cinématographiques	المراجع	0.055031221359968185	6	1.0
Adaptations cinématographiques	حياته	0.036547787487506866	6	2.0
Adaptations cinématographiques	مراجع	0.022010821849107742	15	3.0
Adaptations et produits dérivés	مراجع	0.11204667389392853	7	1.0
Adaptations et produits dérivés	الشخصيات	0.051080092787742615	6	2.0
Adaptations et produits dérivés	القصة	0.03691413626074791	8	3.0
Adaptations filmées	الاقتباس	0.1390203833580017	8	1.0
Adaptations filmées	ملخص القصة	0.01677170768380165	8	2.0
Administration	الإدارة	0.9644098877906799	16	1.0
Administration	أهم المدن	0.9406188130378723	50	2.0
Administration	التقسيم الإداري	0.8691046237945557	17	3.0
Administration	مصادر	0.805054247379303	13	4.0
Administration	الجغرافيا	0.5647217035293579	98	5.0
Administration et politique	التقسيم الإداري	0.9456909894943237	21	1.0
Administration et politique	الاقتصاد	0.21326540410518646	16	2.0
Administration et politique	الثقافة	0.13058806955814362	12	3.0
Administration et politique	السياحة	0.11556459963321686	7	4.0
Administration et politique	المناخ	0.11550483852624893	10	5.0
Adversaires européens	مراجع	0.018011856824159622	10	1.0
Affiliations	التاريخ	0.12107658386230469	6	1.0
Affluents	مراجع	0.024520760402083397	7	1.0
Agriculture	التاريخ	0.035618945956230164	7	1.0
Agriculture	مراجع	0.022625504061579704	16	2.0
Aire de répartition	الموئل والانتشار	0.17047545313835144	13	1.0
Aire de répartition	الوصف	0.047728199511766434	8	2.0
Aire de répartition	أنظر أيضاً	0.03481775149703026	20	3.0
Aire de répartition	انظر أيضاً	0.03274214267730713	21	4.0
Aire de répartition	انظر أيضا	0.02024143747985363	13	5.0
Albums	الألبومات	0.9944990873336792	14	1.0
Albums	الأغاني المنفردة	0.1795685738325119	6	2.0
Albums	انظر أيضا	0.03215155005455017	6	3.0
