secFrom	langTo	prob	count	rank
''Anime''	Media	0.9312417507171631	8	1.0
''Anime''	Reception	0.5401424765586853	10	2.0
''Anime''	Characters	0.1711590588092804	8	3.0
''Anime''	Plot	0.14936847984790802	7	4.0
''Transformers''	Transformers: Generation 1	0.036999017000198364	6	1.0
''Transformers: Animated''	Transformers: Prime	0.46810299158096313	7	1.0
''Transformers: Animated''	Transformers Animated	0.10436898469924927	6	2.0
''Transformers: Animated''	Transformers Cinematic Universe	0.09247906506061554	8	3.0
''Transformers: Animated''	Transformers: Generation 1	0.030072690919041634	9	4.0
1/2 finales	Semifinals	0.9966350197792053	9	1.0
1/2 finales	Quarterfinals	0.9898908138275146	6	2.0
1/2 finales	Finals	0.9711224436759949	9	3.0
1/2 finales	Final standings	0.9552339911460876	12	4.0
1/2 finales	Overview	0.5187039971351624	8	5.0
1/4 de finale	Semifinals	0.9976868629455566	6	1.0
1/4 de finale	Quarterfinals	0.9971206784248352	6	2.0
1/4 de finale	Final standings	0.9800717830657959	8	3.0
1/4 de finale	Finals	0.918881893157959	6	4.0
1/4 de finale	Overview	0.5937494039535522	6	5.0
2000	References	0.033449795097112656	22	1.0
2003	2003	0.9969587326049805	13	1.0
2003	2005	0.9958471655845642	8	2.0
2003	2007	0.9935012459754944	8	3.0
2003	2011	0.9758375287055969	10	4.0
2003	2009	0.9751414060592651	9	5.0
2004	2004	0.9972182512283325	12	1.0
2004	2006	0.9894296526908875	10	2.0
2004	2005	0.9874008297920227	9	3.0
2004	2008	0.9868878722190857	10	4.0
2004	2007	0.9844232201576233	9	5.0
2005	2005	0.9981486797332764	15	1.0
2005	2007	0.9903674125671387	15	2.0
2005	2008	0.9897053837776184	16	3.0
2005	2003	0.9886659383773804	11	4.0
2005	2009	0.9879797697067261	16	5.0
2006	2006	0.9972182512283325	16	1.0
2006	2005	0.9871201515197754	14	2.0
2006	2008	0.985115110874176	16	3.0
2006	2009	0.985115110874176	16	3.0
2006	2004	0.9823441505432129	9	4.0
2006	2003	0.9803215861320496	9	5.0
2007	2007	0.9981486797332764	21	1.0
2007	2008	0.9973905682563782	21	2.0
2007	2009	0.9922271966934204	22	3.0
