secFrom	langTo	prob	isTranslation
Notes et références	References	0.9984710812568665	False
Notes et références	Notes and references	0.9917842149734497	True
Notes et références	Notes	0.9859139919281006	False
Notes et références	Sources	0.9785903692245483	False
Notes et références	Footnotes	0.9608513712882996	False
Notes et références	External links	0.9590902328491211	False
Notes et références	Further reading	0.8959265947341919	False
Notes et références	Bibliography	0.8617519736289978	False
Notes et références	References and notes	0.857684850692749	False
Notes et références	Citations	0.8502702116966248	False
Liens externes	References	0.9972447156906128	False
Liens externes	External links	0.9918501973152161	True
Liens externes	Notes and references	0.9850831031799316	False
Liens externes	Notes	0.9549989700317383	False
Liens externes	Sources	0.9545719027519226	False
Liens externes	Footnotes	0.9208030700683594	False
Liens externes	Further reading	0.8915202021598816	False
Liens externes	Sources and external links	0.7869176864624023	False
Liens externes	External Links	0.7612062692642212	False
Liens externes	References and notes	0.728517472743988	False
Voir aussi	See also	0.993582546710968	True
Voir aussi	References	0.9896357655525208	False
Voir aussi	External links	0.9067339301109314	False
Voir aussi	Notes	0.855934739112854	False
Voir aussi	Notes and references	0.8377805948257446	False
Voir aussi	Further reading	0.6950854063034058	False
Voir aussi	Footnotes	0.6702578663825989	False
Voir aussi	References and notes	0.6176457405090332	False
Voir aussi	Bibliography	0.5985945463180542	False
Voir aussi	Sources	0.48361924290657043	False
Biographie	Biography	0.9973857998847961	True
Biographie	Career	0.9601719975471497	False
Biographie	Life	0.9406449794769287	False
Biographie	History	0.9103754162788391	False
Biographie	Filmography	0.8819519281387329	False
Biographie	Playing career	0.8726926445960999	False
Biographie	Club career	0.8721829652786255	False
Biographie	Early life and career	0.8617963194847107	False
Biographie	Achievements	0.8607146143913269	False
Biographie	Professional career	0.8332703113555908	False
Références	References	0.9992623925209045	True
Références	Sources	0.9928739070892334	False
Références	Footnotes	0.9816129207611084	False
Références	Notes	0.9794543385505676	False
Références	Notes and references	0.9776135087013245	False
Références	External links	0.9741736054420471	False
Références	Further reading	0.9579532742500305	False
Références	Bibliography	0.9439499974250793	False
Références	Citations	0.8968925476074219	False
Références	References and notes	0.8527498841285706	False
Histoire	History	0.9977226853370667	True
Histoire	Geography	0.8961514830589294	False
Histoire	Story	0.8846527338027954	False
Histoire	Early history	0.7285196781158447	False
Histoire	History and profile	0.624829113483429	False
Histoire	Service history	0.5549576878547668	False
Histoire	Overview	0.5523406863212585	False
Histoire	Publication history	0.5412408709526062	False
Histoire	Discovery	0.5326027870178223	False
Histoire	Synopsis	0.5094431042671204	False
Bibliographie	Bibliography	0.9986829161643982	True
Bibliographie	References	0.9985872507095337	False
Bibliographie	Sources	0.9835123419761658	False
Bibliographie	Footnotes	0.9634721279144287	False
Bibliographie	Literature	0.9630064964294434	False
Bibliographie	Further reading	0.951520562171936	False
Bibliographie	Notes	0.9121027588844299	False
Bibliographie	Notes and references	0.899005115032196	False
Bibliographie	Books	0.8537505269050598	False
Bibliographie	Publications	0.8335988521575928	False
Géographie	Geography	0.99812251329422	True
Géographie	Geography and climate	0.9051660895347595	False
Géographie	Demography	0.8952324986457825	False
Géographie	Geology	0.8224432468414307	False
Géographie	Location	0.7931893467903137	False
Géographie	History	0.7923604249954224	False
Géographie	Course	0.7486311793327332	False
Géographie	Topography	0.7400299310684204	False
Géographie	Boundaries	0.7228847742080688	False
Géographie	Demographics	0.6853318214416504	False
Annexes	References	0.9923287034034729	False
Annexes	Notes	0.9650194048881531	False
Annexes	External links	0.9025739431381226	False
Annexes	Footnotes	0.8833802342414856	False
Annexes	Notes and references	0.8702881932258606	False
Annexes	See also	0.7636922597885132	False
Annexes	Further reading	0.725433349609375	False
Annexes	Sources	0.7214726209640503	False
Annexes	Bibliography	0.6835193037986755	False
Annexes	References and notes	0.5582656264305115	False
Palmarès	Honours	0.9580771327018738	False
Palmarès	Achievements	0.9574569463729858	False
Palmarès	Palmarès	0.9430319666862488	False
Palmarès	Awards	0.9161567687988281	False
Palmarès	Palmares	0.8987115025520325	False
Palmarès	Championships and accomplishments	0.8930178880691528	False
Palmarès	Champions	0.8927631378173828	False
Palmarès	Major results	0.868777871131897	False
Palmarès	Career statistics	0.8314645886421204	False
Palmarès	Club career	0.8210574984550476	False
Description	Description	0.9981505274772644	True
Description	Overview	0.8882259130477905	False
Description	Taxonomy	0.8391898274421692	False
Description	Physical description	0.8346668481826782	False
Description	Location	0.8149337768554688	False
Description	Characteristics	0.6858901381492615	False
Description	Identification	0.6434105634689331	False
Description	Appearance	0.633951723575592	False
Description	Text	0.6147087216377258	False
Description	History	0.5487796068191528	False
Historique	History	0.9945664405822754	False
Historique	Service history	0.8523935079574585	False
Historique	Operational history	0.7832015156745911	False
Historique	Overview	0.7248097062110901	False
Historique	Background	0.6733866333961487	False
Historique	Historical background	0.5877957940101624	False
Historique	Composition	0.5181326866149902	False
Historique	Track listing	0.49239474534988403	False
Historique	Production	0.4867721199989319	False
Historique	History and profile	0.3915674686431885	False
