secFrom	langTo	prob	count	rank
''Anime''	Personajes	0.5435618758201599	8	1.0
''Anime''	Argumento	0.07381277531385422	7	2.0
''Anime''	Referencias	0.04302867129445076	10	3.0
''Transformers: Animated''	Transformers Animated	0.9790576696395874	6	1.0
''Transformers: Animated''	Transformers: Generación 1	0.4566705524921417	6	2.0
1/2 finales	Posiciones finales	0.8624554872512817	12	1.0
1/2 finales	Fase Final	0.6112706661224365	6	2.0
1/2 finales	Goleadores	0.17593127489089966	12	3.0
1/4 de finale	Posiciones finales	0.9425984621047974	8	1.0
1/4 de finale	Goleadores	0.38327035307884216	10	2.0
Abondance	Referencias	0.0654851421713829	6	1.0
Accessibilité	Véase también	0.4796947240829468	43	1.0
Accessibilité	Enlaces externos	0.16204756498336792	6	2.0
Accessibilité	Referencias	0.14991141855716705	38	3.0
Accessibilité	Historia	0.012080138549208641	27	4.0
Accession au pouvoir	Referencias	0.07393898069858551	6	1.0
Accession au trône	Biografía	0.3124936521053314	6	1.0
Accession au trône	Bibliografía	0.06138322502374649	6	2.0
Accession au trône	Referencias	0.019564170390367508	8	3.0
Accessoires	Accesorios	0.9951298236846924	7	1.0
Accessoires	Referencias	0.08799394220113754	28	2.0
Accessoires	Véase también	0.08050799369812012	30	3.0
Accessoires	Historia	0.03225541487336159	19	4.0
Accident	Accidentes	0.9900830984115601	9	1.0
Accident	Accidente	0.9875117540359497	12	2.0
Accident	Flota	0.60948646068573	10	3.0
Accident	Referencias	0.1586218625307083	43	4.0
Accident	Historia	0.09154991060495377	22	5.0
Accidents	Accidentes	0.9935897588729858	14	1.0
Accidents	Accidentes e incidentes	0.9848795533180237	15	2.0
Accidents	Incidentes y accidentes	0.9789922833442688	11	3.0
Accidents	Incidentes	0.9648825526237488	8	4.0
Accidents	Flota	0.7061151266098022	26	5.0
Accidents et incidents	Accidentes e incidentes	0.9925819635391235	22	1.0
Accidents et incidents	Incidentes y accidentes	0.9870615601539612	7	2.0
Accidents et incidents	Usuarios	0.19765205681324005	9	3.0
Accidents et incidents	Aerolíneas y destinos	0.1611853986978531	28	4.0
Accidents et incidents	Flota	0.1392461359500885	24	5.0
Accidents et incidents mortels	Véase también	0.026539459824562073	8	1.0
Accidents et incidents mortels	Referencias	0.022297045215964317	9	2.0
Accidents et incidents mortels	Historia	0.01760583184659481	6	3.0
Accidents notables	Véase también	0.07778984308242798	8	1.0
Accidents notables	Variantes	0.03896873816847801	6	2.0
Accomplissements	Biografía	0.5007804036140442	6	1.0
Accomplissements	Referencias	0.035595156252384186	7	2.0
Accord	Referencias	0.1321903020143509	7	1.0
Accroche	Reparto	0.3234732449054718	8	1.0
Accroche	Episodios	0.20050369203090668	9	2.0
Accueil	Recepción	0.9769105911254883	1056	1.0
Accueil	Crítica	0.906337559223175	48	2.0
Accueil	Recepción y crítica	0.7917962670326233	42	3.0
Accueil	Taquilla	0.7037057876586914	33	4.0
Accueil	Posicionamiento en listas	0.69966721534729	67	5.0
Accueil critique	Recepción	0.9897369742393494	87	1.0
Accueil critique	Recepción de la crítica	0.976875901222229	13	2.0
Accueil critique	Críticas	0.9647092223167419	7	3.0
Accueil critique	Bibliografía	0.6816357970237732	14	4.0
Accueil critique	Interpretaciones en directo	0.3098888099193573	11	5.0
Accueil du film	Producción	0.4946506917476654	6	1.0
Accueil du film	Reparto	0.3762252926826477	9	2.0
Accueil du film	Argumento	0.07836548984050751	9	3.0
Accueil du film	Referencias	0.040743324905633926	10	4.0
Accueil et critiques	Recepción	0.9735755324363708	11	1.0
Accueil et critiques	Véase también	0.08515705168247223	9	2.0
Accueil et critiques	Argumento	0.0406394824385643	9	3.0
Accueil et distinctions	Adaptaciones	0.14955805242061615	8	1.0
Accueil et distinctions	Personajes	0.05168813094496727	12	2.0
Accueil et distinctions	Referencias	0.05006270110607147	12	3.0
Accueil et distinctions	Sinopsis	0.045521289110183716	8	4.0
Accueil et distinctions	Argumento	0.02223353274166584	19	5.0
Accusations	Referencias	0.08170580118894577	8	1.0
Accusations	Véase también	0.016716064885258675	6	2.0
Accusations de corruption	Véase también	0.17612843215465546	6	1.0
Accusations de corruption	Biografía	0.12454760819673538	7	2.0
Accusations de corruption	Referencias	0.09850213676691055	9	3.0
Accès	Acceso	0.994600772857666	26	1.0
Accès	Accesos	0.9932490587234497	29	2.0
Accès	Transporte terrestre	0.9430310130119324	7	3.0
Accès	Transporte	0.9246218800544739	10	4.0
Accès	Geografía	0.9043535590171814	30	5.0
Accès à l'aéroport	Véase también	0.07694146037101746	8	1.0
Accès à l'aéroport	Historia	0.029506754130125046	8	2.0
Accès à l'aéroport	Aerolíneas y destinos	0.02842467464506626	20	3.0
Acquisitions	Historia	0.37462395429611206	12	1.0
Acquisitions	Referencias	0.03512675687670708	10	2.0
Acronyme	Lugares	0.21977238357067108	8	1.0
Acteur	Referencias	0.045537132769823074	6	1.0
Acteur	Biografía	0.03786734119057655	8	2.0
Acteurs	Reparto	0.9649156332015991	9	1.0
Acteurs	Organización	0.9256232380867004	8	2.0
Acteurs	Equipos participantes	0.85567307472229	12	3.0
Acteurs	Resultados	0.4468115568161011	8	4.0
Acteurs	Véase también	0.07576397806406021	24	5.0
Acteurs de la Coupe du monde	Organización	0.9205532670021057	8	1.0
Acteurs de la Coupe du monde	Equipos participantes	0.8588816523551941	17	2.0
Acteurs de la Coupe du monde	Véase también	0.13253724575042725	14	3.0
Acteurs de la Coupe du monde	Segunda fase	0.11203686892986298	6	4.0
Acteurs de la Coupe du monde	Sedes	0.06454204022884369	10	5.0
Acteurs de la compétition	Equipos participantes	0.2871337831020355	7	1.0
Acteurs du tournoi	Véase también	0.02576223388314247	7	1.0
Acteurs et personnages	Reparto	0.9699071645736694	55	1.0
Acteurs et personnages	Argumento	0.9696809649467468	58	2.0
Acteurs et personnages	Recepción	0.027415234595537186	24	3.0
Acteurs et personnages	Enlaces externos	0.022556738927960396	6	4.0
Acteurs et personnages	Emisión internacional	0.006165849976241589	22	5.0
Action	Acción	0.9723284244537354	20	1.0
Action	Historia	0.6642758250236511	6	2.0
Action	Referencias	0.11977645009756088	25	3.0
Action	Imágenes adicionales	0.09780106693506241	13	4.0
Action	Véase también	0.05508638173341751	22	5.0
Action politique	Biografía	0.635867178440094	7	1.0
Action politique	Véase también	0.09159612655639648	8	2.0
Action politique	Referencias	0.050913937389850616	8	3.0
Actionnaires	Referencias	0.1957872360944748	19	1.0
Actionnaires	Véase también	0.12372948974370956	8	2.0
Actionnaires	Historia	0.04164610803127289	13	3.0
Actionnariat	Véase también	0.46574294567108154	21	1.0
Actionnariat	Referencias	0.1716228574514389	32	2.0
Actionnariat	Historia	0.010310270823538303	30	3.0
Actions	Acciones	0.9907267093658447	11	1.0
Actions	Historia	0.34783920645713806	34	2.0
Actions	Referencias	0.028027687221765518	49	3.0
Actions	Véase también	0.02607722394168377	34	4.0
Actions	Bibliografía	0.02338193915784359	8	5.0
Activité	Actividad	0.9917460083961487	13	1.0
Activité	Historia	0.41052642464637756	84	2.0
Activité	Bibliografía	0.16837427020072937	8	3.0
Activité	Actividades	0.1315753310918808	6	4.0
Activité	Filiales	0.09715453535318375	7	5.0
Activité de lobbying	Referencias	0.1474933922290802	20	1.0
Activité de lobbying	Véase también	0.05592568218708038	8	2.0
Activité de lobbying	Historia	0.0195295587182045	19	3.0
Activité politique	Biografía	0.6269843578338623	21	1.0
Activité politique	Véase también	0.41079121828079224	6	2.0
Activité politique	Referencias	0.1104048490524292	25	3.0
Activité professionnelle	Referencias	0.04462281987071037	6	1.0
Activité économique	Demografía	0.07176491618156433	21	1.0
Activité économique	Véase también	0.06013193726539612	6	2.0
Activité économique	Historia	0.05533085763454437	11	3.0
Activité économique	Geografía	0.03356318548321724	6	4.0
Activités	Actividades	0.9863255620002747	81	1.0
Activités	Actividad	0.9570594429969788	8	2.0
Activités	Servicios	0.739104151725769	25	3.0
Activités	Ubicación	0.5736976861953735	6	4.0
Activités	Galería	0.499173104763031	22	5.0
Activités culturelles	Referencias	0.043370943516492844	6	1.0
Activités du groupe	Historia	0.4362301528453827	9	1.0
Activités et loisirs	Demografía	0.04084504395723343	7	1.0
Activités humaines	Geografía	0.17231830954551697	6	1.0
Activités humaines	Véase también	0.07511481642723083	8	2.0
Activités politiques	Biografía	0.8759701251983643	11	1.0
Activités politiques	Referencias	0.040074773132801056	14	2.0
Activités sportives	Historia	0.022348199039697647	6	1.0
Activités touristiques	Referencias	0.24366216361522675	7	1.0
Activités économiques	Economía	0.9489983320236206	10	1.0
Activités économiques	Geografía	0.11362984776496887	22	2.0
Activités économiques	Véase también	0.0944545567035675	19	3.0
Activités économiques	Demografía	0.08675684779882431	44	4.0
Activités économiques	Educación	0.07394801080226898	6	5.0
Actrice	Biografía	0.07005856186151505	6	1.0
Actrice	Referencias	0.044445544481277466	7	2.0
Actualité	Historia	0.3772253692150116	18	1.0
Actualité	Referencias	0.1716228574514389	33	2.0
Actualité	Véase también	0.13802461326122284	18	3.0
Actualités	Referencias	0.16795304417610168	12	1.0
Actualités	Véase también	0.12142255157232285	8	2.0
Actualités	Biografía	0.09043499827384949	6	3.0
Actuellement	Referencias	0.15690432488918304	27	1.0
Actuellement	Véase también	0.08051960915327072	12	2.0
Actuellement	Bibliografía	0.05784989148378372	7	3.0
Actuellement	Historia	0.04182262718677521	12	4.0
Adaptation	Adaptación cinematográfica	0.9901722073554993	19	1.0
Adaptation	Adaptaciones	0.9880924820899963	20	2.0
Adaptation	Véase también	0.7981424331665039	42	3.0
Adaptation	Referencias	0.6355059146881104	113	4.0
Adaptation	Reparto	0.30788224935531616	28	5.0
Adaptation au cinéma	Referencias	0.6333560347557068	36	1.0
