secFrom	langTo	prob	isTranslation
Notes et références	Referencias	0.9972921013832092	False
Notes et références	Notas y referencias	0.9972060322761536	True
Notes et références	Notas	0.9891384243965149	False
Notes et références	Enlaces externos	0.9802873730659485	False
Notes et références	Bibliografía	0.9679479598999023	False
Notes et références	Fallecimientos	0.9351680278778076	False
Notes et références	Fuentes	0.9345970153808594	False
Notes et références	Referencia	0.9312067031860352	False
Notes et références	Evolución demográfica	0.9224836826324463	False
Notes et références	Palmarés por países	0.6948447227478027	False
Liens externes	Referencias	0.9960904717445374	False
Liens externes	Enlaces externos	0.9918920993804932	True
Liens externes	Notas	0.9742560982704163	False
Liens externes	Notas y referencias	0.9729766845703125	False
Liens externes	Evolución demográfica	0.9650967121124268	False
Liens externes	Bibliografía	0.9510514140129089	False
Liens externes	Referencia	0.9144952297210693	False
Liens externes	Fuentes	0.9080805778503418	False
Liens externes	Referencias externas	0.8752049207687378	False
Liens externes	Nota	0.7144685387611389	False
Voir aussi	Referencias	0.996782660484314	False
Voir aussi	Enlaces externos	0.9843385815620422	False
Voir aussi	Véase también	0.9817964434623718	True
Voir aussi	Referencia	0.9568056464195251	False
Voir aussi	Notas	0.9509926438331604	False
Voir aussi	Bibliografía	0.9195302724838257	False
Voir aussi	Ver también	0.8333063125610352	False
Voir aussi	Notas y referencias	0.801175057888031	False
Voir aussi	Evolución demográfica	0.7431285977363586	False
Voir aussi	Fuente	0.7159222364425659	False
Biographie	Biografía	0.9954037666320801	True
Biographie	Trayectoria	0.9727481007575989	False
Biographie	Carrera	0.9724922180175781	False
Biographie	Datos biográficos	0.9610982537269592	False
Biographie	Vida	0.959991991519928	False
Biographie	Carrera deportiva	0.952089250087738	False
Biographie	Historia	0.9498238563537598	False
Biographie	Primeros años	0.8893237709999084	False
Biographie	Filmografía	0.8868316411972046	False
Biographie	Selección nacional	0.8830433487892151	False
Références	Referencias	0.9992295503616333	True
Références	Bibliografía	0.9958029389381409	False
Références	Notas y referencias	0.9909586906433105	False
Références	Notas	0.9904414415359497	False
Références	Enlaces externos	0.9886230826377869	False
Références	Fuentes	0.9610227346420288	False
Références	Referencia	0.9481801986694336	False
Références	Fuente	0.9005293250083923	False
Références	Bibliografía adicional	0.8644832372665405	False
Références	Referencias externas	0.8538650870323181	False
Histoire	Historia	0.9924023151397705	True
Histoire	Composición	0.9748296737670898	False
Histoire	Geografía	0.9126396179199219	False
Histoire	Demografía	0.8982775211334229	False
Histoire	Argumento	0.8896872997283936	False
Histoire	Formato	0.821631669998169	False
Histoire	Trama	0.7545852661132812	False
Histoire	Lista de canciones	0.746256411075592	False
Histoire	Sinopsis	0.7328022718429565	False
Histoire	Historial	0.7120827436447144	False
Bibliographie	Bibliografía	0.9987043142318726	True
Bibliographie	Referencias	0.9959329962730408	False
Bibliographie	Notas y referencias	0.9465487003326416	False
Bibliographie	Fuentes	0.9401494860649109	False
Bibliographie	Bibliografía adicional	0.928084135055542	False
Bibliographie	Notas	0.8846405744552612	False
Bibliographie	Bibliografía consultada	0.8781635165214539	False
Bibliographie	Enlaces externos	0.866341769695282	False
Bibliographie	Lectura adicional	0.8598228693008423	False
Bibliographie	Referencia	0.805449366569519	False
Géographie	Geografía	0.9969933032989502	True
Géographie	Composición	0.9710645079612732	False
Géographie	Geografía física	0.9708582162857056	False
Géographie	Ubicación	0.9242200255393982	False
Géographie	Localización	0.9104630947113037	False
Géographie	Descripción	0.8539417386054993	False
Géographie	Límites	0.8018930554389954	False
Géographie	División política	0.752225399017334	False
Géographie	Organización territorial	0.7462666630744934	False
Géographie	Hidrografía	0.7253882884979248	False
Annexes	Referencias	0.9921608567237854	False
Annexes	Enlaces externos	0.9686028361320496	False
Annexes	Notas y referencias	0.9614319205284119	False
Annexes	Bibliografía	0.9498584866523743	False
Annexes	Notas	0.9462698101997375	False
Annexes	Anexos	0.9336659908294678	True
Annexes	Véase también	0.888872504234314	False
Annexes	Fuentes	0.8276053667068481	False
Annexes	Referencia	0.7649062871932983	False
Annexes	Referencias y notas	0.7109823822975159	False
Palmarès	Palmarés	0.9968966245651245	True
Palmarès	Palmarés internacional	0.971278190612793	False
Palmarès	Campeonatos y logros	0.95609050989151	False
Palmarès	Títulos	0.9544723033905029	False
Palmarès	Medallero internacional	0.9500495791435242	False
Palmarès	Premios	0.9174203276634216	False
Palmarès	Campeones	0.912795901298523	False
Palmarès	Estadísticas	0.8849632143974304	False
Palmarès	Ganadores	0.8802486658096313	False
Palmarès	Títulos por club	0.8260766267776489	False
Description	Descripción	0.9968565702438354	True
Description	Características	0.9111732244491577	False
Description	Morfología	0.891660749912262	False
Description	Designación y nombre	0.8896279335021973	False
Description	Publicación original	0.7614091634750366	False
Description	Diseño	0.7557319402694702	False
Description	Distribución	0.7169302105903625	False
Description	Descripción general	0.7092295289039612	False
Description	Geografía	0.5739591121673584	False
Description	Taxonomía	0.558455228805542	False
Historique	Historia	0.9937453269958496	True
Historique	Historial	0.9312742948532104	False
Historique	Lista de canciones	0.8793776035308838	False
Historique	Histórico	0.8586750030517578	False
Historique	Origen	0.848601758480072	False
Historique	Composición	0.8422018885612488	False
Historique	Personal	0.8358519077301025	False
Historique	Miembros	0.8331278562545776	False
Historique	Desarrollo	0.7785942554473877	False
Historique	Resultados	0.7762269973754883	False
Distribution	Distribución geográfica	0.9925651550292969	False
Distribution	Distribución	0.9915846586227417	True
Distribution	Reparto	0.9899128675460815	False
Distribution	Distribución y hábitat	0.9816104173660278	False
Distribution	Personajes	0.9647429585456848	False
Distribution	Elenco	0.9551859498023987	False
Distribution	Producción	0.9545174837112427	False
Distribution	Sinopsis	0.930230438709259	False
Distribution	Hábitat y distribución	0.922339916229248	False
Distribution	Doblaje	0.9093255996704102	False
Synopsis	Sinopsis	0.9965502023696899	True
Synopsis	Argumento	0.9923140406608582	False
Synopsis	Trama	0.9806122183799744	False
Synopsis	Resumen	0.9576088190078735	False
Synopsis	Historia	0.9260507822036743	False
Synopsis	Reparto	0.8935955762863159	False
Synopsis	Premisa	0.8819680213928223	False
Synopsis	Elenco	0.8464518785476685	False
Synopsis	Descripción	0.8277851939201355	False
Synopsis	Formato	0.7859506011009216	False
Sources	Referencias	0.9978774785995483	False
Sources	Fuentes	0.996527373790741	True
Sources	Notas	0.9923349022865295	False
Sources	Bibliografía	0.9890802502632141	False
Sources	Enlaces externos	0.9860413670539856	False
Sources	Notas y referencias	0.9800240397453308	False
Sources	Fuente	0.8878317475318909	False
Sources	Evolución demográfica	0.8461283445358276	False
Sources	Véase también	0.7546336054801941	False
Sources	Sinopsis	0.7154122591018677	False
Démographie	Demografía	0.9925249814987183	True
Démographie	Población	0.96599280834198	False
Démographie	Evolución demográfica	0.9401791095733643	False
Démographie	Geografía	0.7514581680297852	False
Démographie	División administrativa	0.7182040810585022	False
Démographie	Economía	0.6881487369537354	False
Démographie	Administración	0.5196542143821716	False
Démographie	Composición	0.5077943205833435	False
Démographie	Enlaces externos	0.43151459097862244	False
Démographie	Véase también	0.4193532466888428	False
Articles connexes	Referencias	0.9937562942504883	False
Articles connexes	Notas y referencias	0.9749553203582764	False
Articles connexes	Véase también	0.9720931649208069	False
Articles connexes	Enlaces externos	0.9657594561576843	False
Articles connexes	Notas	0.9206361174583435	False
Articles connexes	Bibliografía	0.7964199185371399	False
Articles connexes	Ver también	0.7253011465072632	False
Articles connexes	Véase	0.6667135953903198	False
Articles connexes	Artículos relacionados	0.6467092037200928	True
Articles connexes	Fuente	0.5948255062103271	False
Fiche technique	Ficha técnica	0.989161491394043	True
Fiche technique	Lista de canciones	0.9394717216491699	False
Fiche technique	Producción	0.8976925015449524	False
Fiche technique	Créditos	0.8047688603401184	False
Fiche technique	Estreno	0.7447810769081116	False
Fiche technique	Personal	0.5977909564971924	False
Fiche technique	Listado de canciones	0.5969399809837341	False
Fiche technique	Otros créditos	0.58546382188797	False
Fiche technique	Grabación	0.5763238668441772	False
Fiche technique	Episodios	0.576083779335022	False
Carrière	Carrera	0.9970355033874512	True
Carrière	Trayectoria	0.9825069308280945	False
Carrière	Clubes	0.9770467877388	False
Carrière	Carrera profesional	0.9740153551101685	False
Carrière	Carrera deportiva	0.9732686281204224	False
Carrière	Filmografía	0.9690099954605103	False
Carrière	Biografía	0.9579017162322998	False
Carrière	Palmarés internacional	0.9324260354042053	False
Carrière	Estadísticas de su carrera en la NBA	0.9114444255828857	False
Carrière	Historia	0.9062033295631409	False
Filmographie	Filmografía	0.9975076913833618	True
Filmographie	Filmografía parcial	0.9698038101196289	False
Filmographie	Filmografía selecta	0.9532667398452759	False
Filmographie	Carrera	0.9301090836524963	False
Filmographie	Filmografía completa	0.9282845854759216	False
Filmographie	Filmografía seleccionada	0.9268093705177307	False
Filmographie	Biografía	0.8989266157150269	False
Filmographie	Selección de su filmografía	0.884965717792511	False
Filmographie	Cine	0.8843581080436707	False
Filmographie	Películas	0.8831360936164856	False
Toponymie	Toponimia	0.9966551065444946	True
Toponymie	Topónimo	0.9928420782089233	False
Toponymie	Etimología	0.9665259122848511	False
Toponymie	Composición	0.9619210958480835	False
Toponymie	Lugares	0.884162425994873	False
Toponymie	Nombre	0.8190045952796936	False
Toponymie	Origen del nombre	0.740301787853241	False
Toponymie	Geografía	0.678076982498169	False
Toponymie	Características generales	0.6324355006217957	False
Toponymie	Nombres	0.5931457877159119	False
Politique et administration	Administración	0.9742414951324463	False
Politique et administration	Composición	0.9086284041404724	False
Politique et administration	Política	0.86009281873703	False
Politique et administration	Ayuntamiento	0.7854948043823242	False
Politique et administration	Organización político-administrativa	0.7512986063957214	False
Politique et administration	Política y administración	0.7029190063476562	False
Politique et administration	Política local	0.6763306260108948	False
Politique et administration	Organización territorial	0.671021580696106	False
Politique et administration	Gobierno y política	0.5667552351951599	False
Politique et administration	Economía	0.45929157733917236	False
Économie	Economía	0.995731770992279	True
Économie	Economía y transporte	0.819663405418396	False
Économie	Turismo	0.7510890960693359	False
Économie	Cultura	0.745890200138092	False
Économie	Transporte	0.733065128326416	False
Économie	Actividad económica	0.6460446715354919	False
Économie	Transportes	0.6343747973442078	False
Économie	Infraestructura	0.6327823400497437	False
Économie	Demografía	0.616229772567749	False
Économie	Geografía	0.5981942415237427	False
Œuvres	Obras	0.9957588315010071	True
Œuvres	Obra	0.9915832877159119	False
Œuvres	Principales obras	0.969651997089386	False
Œuvres	Obras destacadas	0.9637128710746765	False
Œuvres	Novelas	0.962476909160614	False
Œuvres	Obras principales	0.9550477862358093	False
Œuvres	Publicaciones	0.9549294114112854	False
Œuvres	Libros	0.9539347290992737	False
Œuvres	Obra literaria	0.9459237456321716	False
Œuvres	Algunas publicaciones	0.9398511648178101	False
Notes	Referencias	0.9980085492134094	False
Notes	Notas	0.9977400302886963	True
