secFrom	langTo	prob	count	rank
''Anime''	登場人物	0.9756519794464111	11	1.0
''Anime''	関連項目	0.45970049500465393	6	2.0
''Anime''	脚注	0.14752674102783203	17	3.0
''Anime''	概要	0.07856366038322449	12	4.0
1/2 finales	最終フェーズ	0.967531144618988	11	1.0
1/2 finales	最終順位	0.645155131816864	11	2.0
1/2 finales	第1フェーズ	0.1321687549352646	11	3.0
1/2 finales	フォーマット	0.03894339129328728	12	4.0
1/4 de finale	最終フェーズ	0.9509819746017456	7	1.0
1/4 de finale	最終順位	0.8521339893341064	7	2.0
1/4 de finale	第1フェーズ	0.31853967905044556	8	3.0
1/4 de finale	フォーマット	0.12595170736312866	8	4.0
A	A	0.9864328503608704	8	1.0
A	あ行	0.882303774356842	13	2.0
A	か行	0.24369291961193085	13	3.0
A	ま行	0.12391717731952667	12	4.0
A	さ行	0.12228850275278091	13	5.0
Accessibilité	脚注	0.35469692945480347	14	1.0
Accessibilité	関連項目	0.09132526069879532	12	2.0
Accessibilité	概要	0.07721622288227081	16	3.0
Accessibilité	歴史	0.01794503815472126	12	4.0
Accession au pouvoir	生涯	0.15100936591625214	6	1.0
Accession au trône	生涯	0.6899057626724243	12	1.0
Accessoires	周辺機器	0.7180351614952087	7	1.0
Accessoires	脚注	0.225385382771492	23	2.0
Accessoires	概要	0.2211320698261261	24	3.0
Accessoires	仕様	0.1592131406068802	8	4.0
Accessoires	その他	0.15035144984722137	8	5.0
Accident	事故	0.9847297072410583	6	1.0
Accident	概要	0.31057530641555786	24	2.0
Accident	脚注	0.24303996562957764	30	3.0
Accident	事故原因	0.1423225700855255	6	4.0
Accident	参考文献	0.07125391066074371	6	5.0
Accidents	事故	0.9684568047523499	27	1.0
Accidents	保有機材	0.790277361869812	12	2.0
Accidents	機材	0.6247066259384155	6	3.0
Accidents	各型	0.2468317598104477	6	4.0
Accidents	歴史	0.17350032925605774	32	5.0
Accidents et incidents	事件・事故	0.9722898006439209	6	1.0
Accidents et incidents	事故	0.8862556219100952	13	2.0
Accidents et incidents	保有機材	0.4134436547756195	13	3.0
Accidents et incidents	脚注	0.14011433720588684	54	4.0
Accidents et incidents	就航航空会社と就航都市	0.12274150550365448	9	5.0
Accidents et incidents mortels	概要	0.01973024755716324	9	1.0
Accidents notables	概要	0.14069585502147675	7	1.0
Accidents notables	関連項目	0.05309600010514259	6	2.0
Accroche	登場人物	0.448067843914032	7	1.0
Accroche	概要	0.3835592269897461	10	2.0
Accroche	スタッフ	0.3007431924343109	10	3.0
Accueil	評価	0.9850526452064514	532	1.0
Accueil	反応	0.8137061595916748	6	2.0
Accueil	公開	0.8089163899421692	189	3.0
Accueil	批評家の反応	0.8024646043777466	15	4.0
Accueil	脚注	0.7645705342292786	1423	5.0
Accueil critique	評価	0.9818755984306335	27	1.0
Accueil critique	スタッフ	0.9282098412513733	32	2.0
Accueil critique	公開	0.7219960689544678	7	3.0
Accueil critique	キャスト	0.4035116732120514	89	4.0
Accueil critique	脚注	0.19193141162395477	76	5.0
Accueil du film	キャスト	0.6533965468406677	9	1.0
Accueil du film	あらすじ	0.07098864018917084	6	2.0
Accueil et critiques	ストーリー	0.046994369477033615	7	1.0
Accueil et critiques	概要	0.019004883244633675	9	2.0
Accueil et distinctions	日本語版	0.17948143184185028	6	1.0
Accueil et distinctions	出版	0.1595384031534195	6	2.0
Accès	アクセス	0.9844255447387695	31	1.0
Accès	交通	0.9480058550834656	27	2.0
Accès	交通アクセス	0.9256824254989624	9	3.0
Accès	空港アクセス	0.7757043242454529	8	4.0
Accès	空港へのアクセス	0.5623892545700073	8	5.0
Accès à l'aéroport	就航路線	0.05360220745205879	12	1.0
Accès à l'aéroport	関連項目	0.05309600010514259	7	2.0
Accès à l'aéroport	歴史	0.022083967924118042	7	3.0
Acquisitions	概要	0.025065358728170395	6	1.0
Acteurs	キャスト	0.9485329389572144	10	1.0
Acteurs	出場国	0.8994278311729431	10	2.0
Acteurs	結果	0.243789404630661	10	3.0
Acteurs	登場人物	0.226213738322258	6	4.0
Acteurs	表彰	0.07866887003183365	6	5.0
Acteurs de la Coupe du monde	出場国	0.9828929305076599	15	1.0
