secFrom	langTo	prob	count	rank
125ccクラス決勝結果	ترتيب 125 سي سي	0.9618338346481323	7	1.0
125ccクラス決勝結果	ترتيب موتو جي بي	0.09777115285396576	7	2.0
125ccクラス決勝結果	وصلات خارجية	0.07731039077043533	83	3.0
1980年代	مراجع	0.035970330238342285	7	1.0
1回戦	الدور الأول	0.9592306017875671	16	1.0
1回戦	ربع النهائي	0.8445361852645874	20	2.0
1回戦	الدور الثاني	0.7995684742927551	14	3.0
1回戦	نصف النهائي	0.7939189672470093	22	4.0
1回戦	قائمة الهدافين	0.6394591927528381	7	5.0
1次ラウンド	الدور التمهيدي	0.04430786892771721	11	1.0
250ccクラス決勝結果	وصلات خارجية	0.059070490300655365	54	1.0
2回戦	الدور الثاني	0.956290066242218	14	1.0
2回戦	الدور الأول	0.9427536725997925	14	2.0
2回戦	نصف النهائي	0.8755800724029541	17	3.0
2回戦	ربع النهائي	0.8460301160812378	16	4.0
2回戦	النهائي	0.6024255156517029	21	5.0
2次ラウンド	الجولة النهائية	0.6283597946166992	7	1.0
2次ラウンド	الدور التمهيدي	0.5751182436943054	12	2.0
3位決定戦	النهائي	0.9500434398651123	24	1.0
3位決定戦	نصف النهائي	0.9364157319068909	15	2.0
3位決定戦	ربع النهائي	0.8358137011528015	13	3.0
3位決定戦	البطل	0.26161277294158936	16	4.0
3位決定戦	الدور الثاني	0.1464087963104248	10	5.0
4大大会シングルス成績	بطولات حققها	0.8242919445037842	6	1.0
4大大会シングルス成績	الخط الزمني للفردي	0.6672835350036621	44	2.0
4大大会シングルス成績	الخط الزمني للأداء	0.6060019135475159	35	3.0
4大大会シングルス成績	الخط الزمني للزوجي	0.27825748920440674	23	4.0
4大大会シングルス成績	بطولات حققتها	0.27500274777412415	21	5.0
4大大会ダブルス優勝	بطولات حققتها	0.9115470051765442	13	1.0
4大大会ダブルス優勝	بطولات حققها	0.9115470051765442	17	1.0
4大大会ダブルス優勝	الخط الزمني للزوجي	0.8839066028594971	7	2.0
4大大会ダブルス優勝	النهائيات	0.8301553726196289	14	3.0
4大大会優勝	بطولات حققتها	0.9356561899185181	21	1.0
4大大会優勝	بطولات حققها	0.9323553442955017	40	2.0
4大大会優勝	النهائيات	0.8383028507232666	36	3.0
4大大会優勝	الميداليات	0.10841931402683258	8	4.0
