secFrom	langTo	prob	count	rank
125ccクラス決勝結果	125 cc classification	0.9727796912193298	99	1.0
125ccクラス決勝結果	250 cc classification	0.1907261312007904	123	2.0
125ccクラス決勝結果	Moto2 classification	0.054516080766916275	34	3.0
125ccクラス決勝結果	MotoGP classification	0.02020723931491375	163	4.0
16世紀	See also	0.06896746903657913	6	1.0
17世紀	17th century	0.9735230803489685	8	1.0
17世紀	20th century	0.15367549657821655	7	2.0
17世紀	18th century	0.12097081542015076	8	3.0
17世紀	19th century	0.10474798828363419	8	4.0
17世紀	See also	0.06261681765317917	13	5.0
18世紀	18th century	0.9574680328369141	16	1.0
18世紀	20th century	0.13913434743881226	14	2.0
18世紀	19th century	0.13374854624271393	14	3.0
18世紀	17th century	0.09499093145132065	8	4.0
18世紀	See also	0.06068946048617363	26	5.0
1930年代	See also	0.062345877289772034	9	1.0
1940年代	References	0.0684848427772522	13	1.0
1940年代	See also	0.058236610144376755	16	2.0
1950年代	See also	0.06808824092149734	19	1.0
1960年代	See also	0.058236610144376755	22	1.0
1970年代	1980s	0.9944154024124146	13	1.0
1970年代	1990s	0.9716334342956543	13	2.0
1970年代	2010s	0.853775143623352	9	3.0
1970年代	2000s	0.8281541466712952	12	4.0
1970年代	References	0.0715419352054596	25	5.0
1980年代	1980s	0.9990342855453491	14	1.0
1980年代	1990s	0.9738624691963196	14	2.0
1980年代	2000s	0.9059230089187622	13	3.0
1980年代	2010s	0.8433502912521362	10	4.0
1980年代	See also	0.05729707330465317	32	5.0
1990年代	1990s	0.9989736080169678	14	1.0
1990年代	1980s	0.9817091226577759	13	2.0
1990年代	2000s	0.9557947516441345	12	3.0
1990年代	2010s	0.9510881304740906	9	4.0
1990年代	See also	0.07045680284500122	31	5.0
19世紀	Nineteenth century	0.9589845538139343	6	1.0
19世紀	19th century	0.9579548835754395	23	2.0
19世紀	20th century	0.10389253497123718	23	3.0
19世紀	Bibliography	0.05342986062169075	7	4.0
19世紀	Further reading	0.05197795853018761	17	5.0
1回戦	First round	0.9812512397766113	131	1.0
1回戦	Quarter-finals	0.9727650284767151	94	2.0
1回戦	Semi-finals	0.9667419195175171	100	3.0
1回戦	Teams	0.9152944087982178	14	4.0
1回戦	Second round	0.8915892839431763	111	5.0
1次ラウンド	Preliminary round	0.9219878911972046	28	1.0
1次ラウンド	Venues	0.8909673094749451	29	2.0
1次ラウンド	Final round	0.5725038647651672	23	3.0
1次ラウンド	Second round	0.1795717030763626	18	4.0
1次ラウンド	Pools composition	0.1556958258152008	13	5.0
1次リーグ	Venues	0.9606372117996216	12	1.0
1次リーグ	Qualification	0.22480028867721558	11	2.0
1次リーグ	Final round	0.15290012955665588	10	3.0
1次リーグ	Squads	0.1256328672170639	8	4.0
1次リーグ	Medalists	0.05935375764966011	6	5.0
1次予選	First round	0.8891487121582031	39	1.0
1次予選	Second round	0.8565188050270081	29	2.0
1次予選	Inter-confederation play-offs	0.618445098400116	15	3.0
1次予選	Third round	0.241402730345726	15	4.0
1次予選	Preliminary round	0.1583385020494461	10	5.0
2000年代	2000s	0.9984704852104187	13	1.0
2000年代	2010s	0.9850196838378906	9	2.0
2000年代	1990s	0.9122647047042847	13	3.0
2000年代	1980s	0.8839772939682007	13	4.0
2000年代	See also	0.08492108434438705	32	5.0
2000年以降	See also	0.20050446689128876	7	1.0
2000年以降	References	0.11743148416280746	7	2.0
2003年	References	0.07335253059864044	6	1.0
2004年	References	0.07840283215045929	7	1.0
2005年	References	0.07780035585165024	9	1.0
2005年	See also	0.0748184472322464	6	2.0
2006年	References	0.10949515551328659	12	1.0
2006年	See also	0.0748184472322464	8	2.0
2007年	References	0.10261835157871246	13	1.0
2007年	See also	0.06912964582443237	7	2.0
2008年	References	0.0964941531419754	11	1.0
2008年	See also	0.07293067127466202	10	2.0
2009年	See also	0.09698370844125748	8	1.0
2009年	References	0.0756160169839859	12	2.0
2010年	See also	0.07521898299455643	8	1.0
2010年代	2010s	0.9985862970352173	9	1.0
2010年代	2000s	0.9763271808624268	11	2.0
2010年代	1990s	0.8893093466758728	11	3.0
2010年代	1980s	0.84627765417099	11	4.0
2010年代	Further reading	0.1272641122341156	6	5.0
2010年国勢調査	Demographics	0.9479683637619019	8	1.0
2010年国勢調査	Administration	0.12109246850013733	8	2.0
2010年国勢調査	Geography	0.062239617109298706	9	3.0
2011年	See also	0.07293067127466202	9	1.0
2012年	See also	0.09698370844125748	8	1.0
2013年	See also	0.09698370844125748	7	1.0
2014 FIFAワールドカップ	History	0.03908556327223778	6	1.0
2014年	See also	0.09698370844125748	8	1.0
2015-16シーズン所属クラブ	Clubs	0.9565660357475281	7	1.0
2015-16シーズン所属クラブ	Champions	0.8802506923675537	7	2.0
2015-16シーズン所属クラブ	History	0.7085291743278503	10	3.0
2015-16シーズン所属クラブ	See also	0.03864700347185135	14	4.0
2015年	See also	0.13029694557189941	6	1.0
