secFrom	langTo	prob	isTranslation
外部リンク	External links	0.9750607013702393	True
外部リンク	References	0.971376895904541	False
外部リンク	Notes	0.9323402047157288	False
外部リンク	Adjacent stations	0.8333145380020142	False
外部リンク	Footnotes	0.8154314756393433	False
外部リンク	Sources	0.7043180465698242	False
外部リンク	Further reading	0.6012744307518005	False
外部リンク	Post-election	0.46254169940948486	False
外部リンク	2000s	0.4527719020843506	False
外部リンク	Post-war	0.4510987102985382	False
関連項目	See also	0.9794107675552368	True
関連項目	References	0.8162891864776611	False
関連項目	Semi-finals	0.7859480977058411	False
関連項目	Notes	0.7859086990356445	False
関連項目	Quarter-finals	0.6142805814743042	False
関連項目	Spin-offs	0.3915293216705322	False
関連項目	Further reading	0.3710322082042694	False
関連項目	Spin-off	0.3689520061016083	False
関連項目	Footnotes	0.365843266248703	False
関連項目	Notes and references	0.2142600119113922	False
概要	Design and development	0.9625586271286011	False
概要	Overview	0.9617055058479309	False
概要	Development	0.948648989200592	False
概要	Gameplay	0.9361333847045898	False
概要	Operational history	0.9221101999282837	False
概要	Track listing	0.9189659357070923	False
概要	Station layout	0.8919104933738708	False
概要	Early life	0.8912869095802307	False
概要	Production	0.8897024989128113	False
概要	Design	0.8816409111022949	False
参考文献	References	0.9964832067489624	False
参考文献	Further reading	0.9935223460197449	False
参考文献	Sources	0.9868673086166382	False
参考文献	External links	0.9825405478477478	False
参考文献	Notes	0.9803275465965271	False
参考文献	Bibliography	0.9768630266189575	True
参考文献	Notes and references	0.9755732417106628	False
参考文献	See also	0.9441837668418884	False
参考文献	Footnotes	0.9328725337982178	False
参考文献	Other sources	0.9167103171348572	False
歴史	History	0.9827893376350403	True
歴史	Airlines and destinations	0.7543151378631592	False
歴史	Station layout	0.732664942741394	False
歴史	See also	0.725156307220459	False
歴史	Main sights	0.6813419461250305	False
歴史	In popular culture	0.6690746545791626	False
歴史	Early history	0.6677232384681702	False
歴史	Operational history	0.6344171762466431	False
歴史	Design and development	0.5894442796707153	False
歴史	Publication history	0.5790585279464722	False
経歴	Life and career	0.9910383224487305	False
経歴	Career	0.9885185360908508	True
経歴	Club career	0.9881381392478943	False
経歴	Playing career	0.9853689074516296	False
経歴	Life	0.9797152280807495	False
経歴	Biography	0.9760892987251282	False
経歴	Club statistics	0.9740771055221558	False
経歴	Professional career	0.9699090719223022	False
経歴	Early life and career	0.9682202339172363	False
