secFrom	langTo	prob	count	rank
125ccクラス決勝結果	Resultados 125cc	0.9786145687103271	153	1.0
125ccクラス決勝結果	Resultados 250cc	0.3976775109767914	122	2.0
125ccクラス決勝結果	Resultados Moto2	0.07210753113031387	30	3.0
125ccクラス決勝結果	Resultados MotoGP	0.040701113641262054	154	4.0
18世紀	Referencias	0.08323706686496735	7	1.0
18世紀	Véase también	0.06495986878871918	9	2.0
1980年代	Referencias	0.12141580134630203	6	1.0
1980年代	Véase también	0.05031491070985794	6	2.0
1990年代	Referencias	0.11139006912708282	8	1.0
1990年代	Véase también	0.0700368583202362	8	2.0
19世紀	Siglo XIX	0.974346935749054	7	1.0
19世紀	Véase también	0.05873570591211319	11	2.0
19世紀	Referencias	0.056842729449272156	10	3.0
1回戦	Primera Ronda	0.9743649363517761	25	1.0
1回戦	Desarrollo	0.955829918384552	11	2.0
1回戦	Primera ronda	0.9426325559616089	18	3.0
1回戦	Ronda previa	0.907110333442688	15	4.0
1回戦	Equipos participantes	0.9019907712936401	9	5.0
1次ラウンド	Sedes	0.8666598796844482	23	1.0
1次ラウンド	Primera fase	0.11576783657073975	24	2.0
1次ラウンド	Grupos	0.10827495157718658	22	3.0
1次ラウンド	Segunda fase	0.05493900179862976	20	4.0
1次ラウンド	Medallero	0.050545863807201385	22	5.0
1次リーグ	Sedes	0.9466479420661926	10	1.0
1次リーグ	Equipos participantes	0.6721860766410828	7	2.0
1次リーグ	Primera fase	0.6707838177680969	13	3.0
1次リーグ	Fase final	0.15495631098747253	14	4.0
1次リーグ	Medallero	0.04716508090496063	12	5.0
1次予選	Primera ronda	0.9080978035926819	20	1.0
1次予選	Primera fase	0.8700461983680725	11	2.0
1次予選	Equipos participantes	0.8387576937675476	8	3.0
1次予選	Segunda ronda	0.10904562473297119	14	4.0
1次予選	Segunda fase	0.0964459776878357	7	5.0
2000年代	Véase también	0.08162301033735275	7	1.0
2014 FIFAワールドカップ	Véase también	0.19051139056682587	6	1.0
2015-16シーズン所属クラブ	Títulos por club	0.9155181646347046	6	1.0
2015-16シーズン所属クラブ	Palmarés	0.8497224450111389	12	2.0
2015-16シーズン所属クラブ	Historia	0.3733343183994293	12	3.0
2015-16シーズン所属クラブ	Referencias	0.044752057641744614	15	4.0
2015-16シーズン所属クラブ	Sistema de competición	0.03923903405666351	6	5.0
2016-17シーズン所属クラブ	Títulos por club	0.9111858010292053	13	1.0
2016-17シーズン所属クラブ	Palmarés	0.8631201982498169	15	2.0
2016-17シーズン所属クラブ	Historia	0.751068115234375	14	3.0
2016-17シーズン所属クラブ	Referencias	0.05142880231142044	13	4.0
2016-17シーズン所属クラブ	Véase también	0.03864700347185135	20	5.0
