secFrom	langTo	prob	count	rank
125ccクラス決勝結果	Résultat des 125 cm³	0.9782851338386536	20	1.0
125ccクラス決勝結果	Classement final 125 cm³	0.9558759927749634	8	2.0
125ccクラス決勝結果	Résultats des 125 cm³	0.935736894607544	8	3.0
125ccクラス決勝結果	Résultat des 250 cm³	0.2091558277606964	15	4.0
125ccクラス決勝結果	Classement final 250 cm³	0.17021849751472473	8	5.0
17世紀	Notes et références	0.06540127843618393	6	1.0
18世紀	Notes et références	0.07684169709682465	8	1.0
18世紀	Voir aussi	0.051063209772109985	6	2.0
1950年代	Palmarès	0.21863041818141937	6	1.0
1960年代	Palmarès	0.3876555562019348	6	1.0
1970年代	Palmarès	0.6362857222557068	7	1.0
1970年代	Notes et références	0.061505600810050964	14	2.0
1980年代	Palmarès	0.2241877019405365	7	1.0
1980年代	Notes et références	0.06287321448326111	12	2.0
1990年代	Palmarès	0.5739780068397522	6	1.0
1990年代	Notes et références	0.0751914381980896	13	2.0
19世紀	Bibliographie	0.06520619243383408	8	1.0
19世紀	Voir aussi	0.047852788120508194	9	2.0
19世紀	Notes et références	0.045965224504470825	15	3.0
1回戦	Demi-finales	0.972379744052887	102	1.0
1回戦	Premier tour	0.9260157346725464	56	2.0
1回戦	Quarts de finale	0.8351234793663025	103	3.0
1回戦	Résultats	0.8298331499099731	17	4.0
1回戦	Deuxième tour	0.8230753540992737	32	5.0
1次ラウンド	Tour préliminaire	0.8473718166351318	6	1.0
1次ラウンド	Premier tour	0.8270205855369568	13	2.0
1次ラウンド	Deuxième tour	0.2409178465604782	8	3.0
1次ラウンド	Équipes participantes et groupes	0.0694921612739563	8	4.0
1次ラウンド	Qualifications	0.060354623943567276	6	5.0
1次リーグ	Premier tour	0.9118370413780212	7	1.0
1次リーグ	Qualifications	0.07745788991451263	8	2.0
1次リーグ	Classement final	0.03518747165799141	14	3.0
1次リーグ	Notes et références	0.03400641679763794	10	4.0
1次リーグ	Statistiques et récompenses	0.025822320953011513	11	5.0
1次予選	Premier tour	0.5280548930168152	14	1.0
1次予選	Deuxième tour	0.2008301168680191	11	2.0
1次予選	Format	0.11887051910161972	9	3.0
1次予選	Équipes engagées	0.10555322468280792	11	4.0
1次予選	Troisième tour	0.05103009566664696	12	5.0
2000年代	Palmarès	0.6667283177375793	6	1.0
2000年代	Notes et références	0.07923289388418198	14	2.0
2010年代	Palmarès	0.2439689189195633	6	1.0
2010年代	Notes et références	0.11921142041683197	9	2.0
2015-16シーズン所属クラブ	Histoire	0.4374040365219116	12	1.0
2015-16シーズン所属クラブ	Palmarès	0.2740934193134308	16	2.0
2016-17シーズン所属クラブ	Palmarès	0.4165579080581665	27	1.0
2016-17シーズン所属クラブ	Historique	0.1986931562423706	6	2.0
2016-17シーズン所属クラブ	Histoire	0.096559077501297	19	3.0
2016-17シーズン所属クラブ	Notes et références	0.04379335045814514	6	4.0
2016-2017年シーズンの昇格・降格	Statistiques	0.0504055917263031	8	1.0
2016シーズン所属クラブ	Histoire	0.9101259112358093	11	1.0
2016シーズン所属クラブ	Palmarès	0.17259298264980316	8	2.0
2017-18シーズン所属クラブ	Palmarès	0.6123602390289307	21	1.0
2017-18シーズン所属クラブ	Histoire	0.5265192985534668	20	2.0
2017-18シーズン所属クラブ	Statistiques	0.2879260778427124	6	3.0
2017シーズン所属クラブ	Histoire	0.9169698357582092	6	1.0
2018年陣容	Classements UCI	0.788079023361206	8	1.0
2018年陣容	Histoire de l'équipe	0.3536960482597351	8	2.0
2018年陣容	Notes et références	0.06749547272920609	8	3.0
2018年陣容	Saisons précédentes	0.037399835884571075	8	4.0
20世紀	Voir aussi	0.08525021374225616	8	1.0
20世紀	Notes et références	0.06580596417188644	22	2.0
20世紀	Bibliographie	0.061230629682540894	6	3.0
21世紀	Notes et références	0.09674528241157532	11	1.0
250ccクラス決勝結果	Résultats des 250 cm³	0.9464144706726074	14	1.0
250ccクラス決勝結果	Résultat des 250 cm³	0.9364657402038574	14	2.0
250ccクラス決勝結果	Classement final 250 cm³	0.9349445104598999	8	3.0
250ccクラス決勝結果	Résultats des 125 cm³	0.20954348146915436	8	4.0
250ccクラス決勝結果	Classement Moto GP	0.20090891420841217	9	5.0
2回戦	Demi-finales	0.9888234734535217	85	1.0
2回戦	Premier tour	0.9506341814994812	40	2.0
2回戦	Deuxième tour	0.922264575958252	28	3.0
2回戦	Quarts de finale	0.8801066279411316	88	4.0
2回戦	Résultats	0.7066295146942139	16	5.0
2次ラウンド	Deuxième tour	0.8902646899223328	9	1.0
2次ラウンド	Phase finale	0.4861794412136078	10	2.0
2次ラウンド	Tour principal	0.4529073238372803	7	3.0
2次ラウンド	Classement final	0.08122508972883224	25	4.0
2次ラウンド	Équipes participantes et groupes	0.05563556030392647	8	5.0
2次リーグ	Phase finale	0.3560178279876709	6	1.0
2次リーグ	Notes et références	0.06321003288030624	6	2.0
2次リーグ	Classement final	0.06294312328100204	14	3.0
2次リーグ	Statistiques et récompenses	0.04808167740702629	11	4.0
2次リーグ	Effectif des équipes sur le podium	0.018684756010770798	11	5.0
2次予選	Deuxième tour	0.14512614905834198	9	1.0
2次予選	Troisième tour	0.09798424690961838	11	2.0
2次予選	Équipes engagées	0.06863373517990112	10	3.0
2次予選	Quatrième tour	0.043717656284570694	6	4.0
2次予選	Format	0.037581369280815125	7	5.0
3位決定戦	Phase finale	0.7745197415351868	11	1.0
3位決定戦	Tableau final	0.7155682444572449	8	2.0
3位決定戦	Quarts de finale	0.5217284560203552	10	3.0
3位決定戦	Voir aussi	0.15639972686767578	18	4.0
3位決定戦	Récompenses	0.14715182781219482	6	5.0
3回戦	Résultats	0.7097058892250061	6	1.0
3次予選	Deuxième tour	0.30766189098358154	6	1.0
3次予選	Troisième tour	0.30064117908477783	9	2.0
3次予選	Équipes engagées	0.09973417222499847	8	3.0
3次予選	Premier tour	0.04045645147562027	9	4.0
4大大会シングルス成績	Classements WTA en fin de saison	0.8180567026138306	134	1.0
4大大会シングルス成績	Classement ATP en fin de saison	0.7349849343299866	40	2.0
4大大会シングルス成績	Classements ATP en fin de saison	0.7109041810035706	64	3.0
4大大会シングルス成績	Parcours en Grand Chelem	0.4869171679019928	238	4.0
4大大会シングルス成績	Carrière	0.1644299328327179	197	5.0
4大大会ダブルス優勝	Carrière	0.4732569456100464	19	1.0
4大大会ダブルス優勝	Carrière tennistique	0.14961591362953186	14	2.0
4大大会ダブルス優勝	Voir aussi	0.11362607777118683	32	3.0
4大大会ダブルス優勝	Palmarès	0.1022748053073883	61	4.0
4大大会ダブルス優勝	Biographie	0.07257236540317535	14	5.0
4大大会ダブルス成績	Palmarès	0.1166696548461914	8	1.0
4大大会優勝	Carrière	0.7167143225669861	36	1.0
4大大会優勝	Palmarès	0.635222852230072	79	2.0
4大大会優勝	Biographie	0.23332758247852325	45	3.0
4大大会優勝	Parcours en Grand Chelem (partiel)	0.20274581015110016	27	4.0
4大大会優勝	Parcours en Grand Chelem	0.18545818328857422	35	5.0
4大大会成績	Classements ATP en fin de saison	0.8824693560600281	8	1.0
4大大会成績	Parcours en Grand Chelem (partiel)	0.12284719944000244	7	2.0
4大大会成績	Carrière	0.09153539687395096	9	3.0
4大大会成績	Palmarès	0.0846657007932663	17	4.0
4大大会成績	Parcours en Coupe de la Fédération	0.051738228648900986	6	5.0
A	A	0.9873825907707214	8	1.0
A	C	0.49133357405662537	8	2.0
A	B	0.23409241437911987	8	3.0
A	F	0.11790448427200317	8	4.0
A	E	0.10592344403266907	8	5.0
AFCアジアカップ	Palmarès	0.8881197571754456	6	1.0
AFCアジアカップ	Histoire	0.20201385021209717	6	2.0
AFCアジアカップの成績	Palmarès	0.9102147221565247	27	1.0
AFCアジアカップの成績	Histoire	0.4716998338699341	29	2.0
AFCアジアカップの成績	Sélectionneurs	0.09953630715608597	15	3.0
AFCソリダリティーカップ	Histoire	0.14060118794441223	7	1.0
AFCソリダリティーカップ	Palmarès	0.09307029843330383	10	2.0
AFCチャレンジカップの成績	Sélectionneurs	0.1407717764377594	10	1.0
AFCチャレンジカップの成績	Histoire	0.09834866225719452	18	2.0
AFCチャレンジカップの成績	Palmarès	0.06936723738908768	14	3.0
AFC主催大会成績	Palmarès	0.12236185371875763	12	1.0
AFC大会での成績	Palmarès	0.43726906180381775	9	1.0
AKB48在籍時の参加楽曲	Biographie	0.022721165791153908	6	1.0
ATPツアー決勝進出結果	Palmarès	0.915486752986908	258	1.0
ATPツアー決勝進出結果	Victoires sur le top 10	0.588090181350708	81	2.0
ATPツアー決勝進出結果	Confrontations avec ses principaux adversaires	0.5485473871231079	24	3.0
ATPツアー決勝進出結果	Carrière	0.5117242336273193	186	4.0
ATPツアー決勝進出結果	Biographie	0.17949900031089783	61	5.0
B	B	0.9608041644096375	8	1.0
B	C	0.410390168428421	8	2.0
B	D	0.16964520514011383	7	3.0
B	F	0.1570909023284912	8	4.0
B	E	0.11543884128332138	8	5.0
BD / DVD	Manga	0.7143121361732483	12	1.0
BD / DVD	Anime	0.19615764915943146	17	2.0
BD / DVD	Personnages	0.1708505004644394	27	3.0
Blu-ray / DVD	Notes et références	0.46438366174697876	17	1.0
Blu-ray / DVD	Distinctions	0.34494876861572266	8	2.0
Blu-ray / DVD	Fiche technique	0.1375606507062912	17	3.0
