secFrom	langTo	prob	isTranslation
外部リンク	Voir aussi	0.9790184497833252	False
外部リンク	Liens externes	0.9762846827507019	True
外部リンク	Références	0.9714279770851135	False
外部リンク	Notes et références	0.9706254601478577	False
外部リンク	Sous-espèces	0.9334002733230591	False
外部リンク	Notes	0.9103968739509583	False
外部リンク	Lien externe	0.9024691581726074	False
外部リンク	Annexes	0.9020866751670837	False
外部リンク	Aujourd'hui	0.8508024215698242	False
外部リンク	Sources	0.8254185318946838	False
脚注	Notes et références	0.9973714351654053	True
脚注	Références	0.9867905974388123	False
脚注	Liens externes	0.9847407937049866	False
脚注	Voir aussi	0.972953200340271	False
脚注	Articles connexes	0.9728317856788635	False
脚注	Lien externe	0.9696041941642761	False
脚注	Notes	0.9548870325088501	False
脚注	Bibliographie	0.9276753067970276	False
脚注	Galerie de photos	0.9273412823677063	False
脚注	Références et notes	0.9169711470603943	False
関連項目	Compléments	0.8994817137718201	False
関連項目	Box-office	0.8986800909042358	False
関連項目	Sous-espèces	0.8739624619483948	False
関連項目	Voir aussi	0.8545399904251099	True
関連項目	L'histoire	0.8493285179138184	False
関連項目	Demi-finales	0.8457821607589722	False
関連項目	Notes et références	0.8389312624931335	False
関連項目	Aujourd'hui	0.8128560185432434	False
関連項目	Voir également	0.6707935929298401	False
関連項目	Références	0.6611850261688232	False
概要	Système de jeu	0.9773929715156555	False
概要	Autour du film	0.9620266556739807	False
概要	Manga	0.9279783964157104	False
概要	Liste des titres	0.9187643527984619	False
概要	Synopsis	0.8977165222167969	False
概要	Bilan de la saison	0.8342923521995544	False
概要	Conception et développement	0.817133367061615	False
概要	Liste des chansons	0.797441840171814	False
概要	Biographie	0.7954955697059631	False
概要	Situation ferroviaire	0.7743434906005859	False
参考文献	Références	0.9944890737533569	True
参考文献	Notes et références	0.9938249588012695	False
参考文献	Liens externes	0.9862826466560364	False
参考文献	Voir aussi	0.9778663516044617	False
参考文献	Articles connexes	0.9472228288650513	False
参考文献	Article connexe	0.9314817786216736	False
参考文献	Sources et bibliographie	0.9311705231666565	True
参考文献	Sources	0.9291819334030151	True
参考文献	Notes	0.9204809665679932	False
参考文献	Voir également	0.9198845028877258	False
歴史	Histoire	0.9530359506607056	True
歴史	Historique	0.9101580381393433	False
歴史	Situation sur le réseau	0.8799833059310913	False
歴史	Comtés adjacents	0.7986124753952026	False
歴史	Palmarès	0.7945430278778076	False
歴史	Résultats en championnat du monde de Formule 1	0.7525289058685303	False
歴史	Joueurs et personnalités du club	0.7390788197517395	False
歴史	Origine du nom	0.7335603833198547	False
歴史	Personnalités du club	0.7053819298744202	False
歴史	Personnalités liées à la ville	0.6114060282707214	False
経歴	Biographie	0.9874465465545654	False
経歴	Carrière	0.9836931824684143	True
経歴	Carrière en club	0.9815203547477722	False
経歴	Carrière de joueur	0.978758692741394	False
経歴	Carrière professionnelle	0.9514487981796265	False
経歴	Carrière sportive	0.9392881989479065	False
経歴	Carrière politique	0.9386221766471863	False
経歴	Résultats en championnat du monde de Formule 1	0.9317825436592102	False
経歴	Résultats sur les grands tours	0.8755577206611633	False
経歴	Clubs	0.8715524673461914	False
出典	Notes et références	0.9983140230178833	False
出典	Références	0.995243489742279	True
出典	Articles connexes	0.9904087781906128	False
出典	Liens externes	0.9891780614852905	False
出典	Lien externe	0.9869164228439331	False
出典	Voir aussi	0.9855620861053467	False
出典	Système de jeu	0.98480623960495	False
出典	Article connexe	0.9745457172393799	False
出典	Sources	0.9636217951774597	False
出典	Liens internes	0.963552713394165	False
沿革	Histoire	0.9267409443855286	True
沿革	Manga	0.9107609987258911	False
沿革	Historique	0.874531626701355	False
沿革	Destinations	0.8384710550308228	False
沿革	Contenu	0.8372147679328918	False
沿革	Compagnies aériennes et destinations	0.8122398257255554	False
沿革	Système de jeu	0.8098537921905518	False
沿革	Source de la traduction	0.7556891441345215	False
沿革	Jeux développés	0.7421818971633911	False
沿革	Origine	0.6797078847885132	False
来歴	Carrière	0.9636102914810181	False
来歴	Carrière professionnelle	0.9581296443939209	False
来歴	Parcours en MMA	0.9529088139533997	False
来歴	Carrière de catcheur	0.9443591237068176	False
来歴	Palmarès sur piste	0.9400475025177002	False
来歴	Biographie	0.9340105056762695	False
来歴	Parcours en « Premier Mandatory » et « Premier 5 »	0.9324838519096375	False
来歴	Caractéristiques au catch	0.9179858565330505	False
来歴	Histoire du groupe	0.9119648933410645	False
来歴	Carrière en club	0.9076852202415466	False
地理	Géographie	0.990642249584198	True
地理	Comtés adjacents	0.9647473096847534	False
地理	Administration	0.8822437524795532	False
地理	Situation et accès	0.835008978843689	False
地理	Situation	0.8093134164810181	False
地理	Comtés voisins	0.7826404571533203	False
地理	Événement commémoratif	0.7423574924468994	False
地理	Situation géographique	0.7330151796340942	False
地理	Origine du nom	0.7206742763519287	False
地理	Source de la traduction	0.7021268010139465	False
収録曲	Titres	0.9826468825340271	False
収録曲	Liste des titres	0.9805319905281067	False
収録曲	Liste des chansons	0.9513253569602966	True
収録曲	Liste des pistes	0.9381317496299744	False
収録曲	Pistes	0.9238446950912476	False
収録曲	Personnel	0.8895963430404663	False
