secFrom	langTo	prob	count	rank
125ccクラス決勝結果	250cc	0.9875040650367737	10	1.0
125ccクラス決勝結果	Результаты в классе 125cc	0.8147032260894775	14	2.0
125ccクラス決勝結果	Результаты к классе 125cc	0.7329869270324707	6	3.0
125ccクラス決勝結果	Результаты к классе 250cc	0.701890230178833	35	4.0
125ccクラス決勝結果	Результаты в классе 250cc	0.6183432936668396	17	5.0
17世紀	Примечания	0.09218373149633408	6	1.0
17世紀	См. также	0.06912964582443237	6	2.0
18世紀	XIX век	0.11421061307191849	6	1.0
18世紀	Примечания	0.06931939721107483	10	2.0
18世紀	См. также	0.06495986878871918	9	3.0
18世紀	Литература	0.05840616300702095	6	4.0
1950年代	См. также	0.06539610773324966	7	1.0
1960年代	См. также	0.0778956189751625	8	1.0
1970年代	См. также	0.07140230387449265	9	1.0
1980年代	См. также	0.06134437024593353	10	1.0
1990年代	См. также	0.06890422850847244	9	1.0
19世紀	XIX век	0.9762758016586304	6	1.0
19世紀	Литература	0.05508527532219887	9	2.0
19世紀	Примечания	0.05316915363073349	16	3.0
19世紀	См. также	0.051539454609155655	15	4.0
19世紀	История	0.04864877834916115	7	5.0
1回戦	Предварительный раунд	0.9510429501533508	44	1.0
1回戦	Первый раунд	0.9272798299789429	99	2.0
1回戦	Участники	0.9231842756271362	11	3.0
1回戦	Результаты	0.8701953887939453	10	4.0
1回戦	Второй раунд	0.847428560256958	83	5.0
1次ラウンド	Плей-офф	0.9251759052276611	17	1.0
1次ラウンド	Команды-участницы	0.7463511228561401	13	2.0
1次ラウンド	Квалификация	0.5657550692558289	21	3.0
1次ラウンド	Города и игровые арены	0.5025565028190613	6	4.0
1次ラウンド	Первый групповой этап	0.27254238724708557	6	5.0
1次リーグ	Предварительный раунд	0.08850701153278351	8	1.0
1次リーグ	Победитель	0.04187706485390663	9	2.0
1次リーグ	Основной раунд	0.036244068294763565	9	3.0
1次リーグ	Итоговое положение команд	0.033083170652389526	9	4.0
1次予選	Первый раунд	0.859662652015686	10	1.0
1次予選	Участники	0.14528034627437592	14	2.0
1次予選	Второй раунд	0.0937468484044075	10	3.0
1次予選	Третий раунд	0.053898487240076065	8	4.0
1次予選	Примечания	0.040018871426582336	12	5.0
2000年代	См. также	0.09507229179143906	9	1.0
2000年代	Примечания	0.07923289388418198	14	2.0
2010年代	См. также	0.1272900253534317	7	1.0
2010年国勢調査	Население	0.8789044618606567	8	1.0
2010年国勢調査	География	0.05529773607850075	8	2.0
2015-16シーズン所属クラブ	Чемпионы	0.8929637670516968	7	1.0
2016-17シーズン所属クラブ	Чемпионы	0.9059848785400391	10	1.0
2016-17シーズン所属クラブ	История	0.6053462624549866	8	2.0
2016-17シーズン所属クラブ	См. также	0.047229669988155365	6	3.0
2016-2017年シーズンの昇格・降格	Клубы-участники	0.9655084609985352	7	1.0
2016-2017年シーズンの昇格・降格	Турнирная таблица	0.07015764713287354	6	2.0
2016シーズン所属クラブ	История	0.5475605726242065	7	1.0
2017-18シーズン所属クラブ	История	0.348799467086792	9	1.0
2017-18シーズン所属クラブ	Примечания	0.04572625830769539	10	2.0
20世紀	История	0.5537523031234741	8	1.0
20世紀	Примечания	0.07124219089746475	21	2.0
20世紀	См. также	0.06112174317240715	12	3.0
20世紀	Литература	0.05848938971757889	11	4.0
21世紀	См. также	0.3055025041103363	8	1.0
21世紀	Примечания	0.10802698135375977	8	2.0
250ccクラス決勝結果	250cc	0.9937716126441956	10	1.0
250ccクラス決勝結果	Результаты в классе 250cc	0.9298176169395447	17	2.0
250ccクラス決勝結果	Результаты к классе 250cc	0.832767128944397	35	3.0
250ccクラス決勝結果	Результаты в классе 125cc	0.5302207469940186	11	4.0
250ccクラス決勝結果	MotoGP	0.20910225808620453	10	5.0
2代目	Второе поколение	0.5602389574050903	10	1.0
2代目	Первое поколение	0.09382818639278412	9	2.0
2回戦	1/16 финала	0.9104502201080322	8	1.0
2回戦	Первый раунд	0.9032838940620422	84	2.0
2回戦	Второй раунд	0.8881935477256775	80	3.0
2回戦	Четвертьфиналы	0.8792607188224792	73	4.0
2回戦	1/8 финала	0.8781595826148987	10	5.0
2次ラウンド	Плей-офф	0.928581953048706	14	1.0
2次ラウンド	Команды-участницы	0.7807722687721252	10	2.0
2次ラウンド	Второй групповой этап	0.7001882195472717	6	3.0
2次ラウンド	Первый групповой этап	0.1449502855539322	6	4.0
2次ラウンド	Примечания	0.1253224015235901	7	5.0
2次リーグ	Основной раунд	0.10052404552698135	9	1.0
2次リーグ	Предварительный раунд	0.07730253040790558	8	2.0
2次リーグ	Победитель	0.05346788465976715	9	3.0
2次リーグ	Итоговое положение команд	0.040943894535303116	9	4.0
2次予選	Второй раунд	0.1974872499704361	9	1.0
2次予選	Первый раунд	0.13533204793930054	9	2.0
2次予選	Третий раунд	0.10023672878742218	8	3.0
2次予選	Примечания	0.07562554627656937	8	4.0
2次予選	Участники	0.028829963877797127	12	5.0
3位決定戦	Матч за 3 место	0.9796419143676758	8	1.0
3位決定戦	Финал	0.918478786945343	8	2.0
3位決定戦	Результаты	0.7250115871429443	11	3.0
3位決定戦	Победитель	0.4248637557029724	8	4.0
3位決定戦	Полуфиналы	0.4094511866569519	7	5.0
3回戦	Участники	0.24605132639408112	8	1.0
3回戦	Примечания	0.07196813821792603	9	2.0
3次ラウンド	Команды-участницы	0.8549386858940125	7	1.0
3次予選	Второй раунд	0.1321549415588379	8	1.0
3次予選	Третий раунд	0.09882623702287674	7	2.0
3次予選	Участники	0.050568558275699615	9	3.0
3次予選	Первый раунд	0.02857750467956066	8	4.0
4大大会シングルス成績	История выступлений на турнирах	0.9299436807632446	205	1.0
4大大会シングルス成績	Достижения	0.8978578448295593	14	2.0
4大大会シングルス成績	Рейтинг на конец года	0.8643403649330139	322	3.0
4大大会シングルス成績	Рейтинг на конец года в одиночном разряде	0.6318397521972656	7	4.0
4大大会シングルス成績	Спортивная карьера	0.34938475489616394	378	5.0
4大大会ダブルス優勝	Спортивная карьера	0.23983661830425262	48	1.0
4大大会ダブルス優勝	История выступлений на турнирах	0.19403883814811707	22	2.0
4大大会ダブルス優勝	Выступления на турнирах	0.18868833780288696	38	3.0
4大大会ダブルス優勝	Рейтинг на конец года	0.0934433564543724	30	4.0
4大大会ダブルス優勝	Общая информация	0.04909442365169525	27	5.0
4大大会優勝	Достижения	0.9154354333877563	21	1.0
4大大会優勝	Участие в финалах турниров Большого шлема за карьеру	0.8026115894317627	19	2.0
4大大会優勝	Участие в финалах турниров Большого шлема	0.7470840811729431	6	3.0
4大大会優勝	Игровая карьера	0.6303607821464539	14	4.0
4大大会優勝	Спортивная карьера	0.6077507734298706	72	5.0
4大大会成績	Рейтинг на конец года	0.8817083239555359	11	1.0
4大大会成績	Спортивная карьера	0.19239994883537292	13	2.0
4大大会成績	Примечания	0.11283869296312332	24	3.0
4大大会成績	Выступления на турнирах	0.06901118904352188	13	4.0
4大大会成績	Литература	0.06001659110188484	7	5.0
AFCアジアカップの成績	Кубок Азии	0.9462254047393799	7	1.0
AFCアジアカップの成績	Выступления на международных турнирах	0.7849200963973999	8	2.0
AFCアジアカップの成績	История	0.3823383152484894	19	3.0
AFCアジアカップの成績	Текущий состав	0.08629143983125687	9	4.0
AFCアジアカップの成績	Известные игроки	0.07928408682346344	8	5.0
AFCチャレンジカップの成績	История	0.08794698119163513	9	1.0
AFC主催大会成績	Достижения	0.07800392061471939	7	1.0
AFC大会での成績	Достижения	0.1662963181734085	9	1.0
AFC大会での成績	Известные игроки	0.10862626880407333	7	2.0
AKB48での参加楽曲	Дискография	0.4221140444278717	7	1.0
AKB48での参加楽曲	Фильмография	0.05481497198343277	7	2.0
AKB48での参加楽曲	Биография	0.03939226642251015	7	3.0
ATPツアー決勝進出結果	Спортивная карьера	0.8974084258079529	215	1.0
ATPツアー決勝進出結果	Выступления на турнирах ATP	0.877246081829071	11	2.0
ATPツアー決勝進出結果	Выступления на турнирах	0.5347898006439209	197	3.0
ATPツアー決勝進出結果	Биография	0.24322369694709778	9	4.0
ATPツアー決勝進出結果	Игровая карьера	0.1728285253047943	8	5.0
BD / DVD	Критика	0.13958965241909027	6	1.0
BD / DVD	Персонажи	0.13330276310443878	20	2.0
BD / DVD	Сюжет	0.11646268516778946	24	3.0
BGM	Примечания	0.23055963218212128	8	1.0
BGM	Игровой процесс	0.14454573392868042	6	2.0
Blu-ray / DVD	В ролях	0.1278635561466217	10	1.0
Blu-ray / DVD	Сюжет	0.08331260085105896	19	2.0
Blu-ray/DVD	Примечания	0.2768557369709015	11	1.0
Blu-ray/DVD	В ролях	0.07475150376558304	12	2.0
Blu-ray/DVD	Сюжет	0.06342741847038269	13	3.0
Blu-ray・DVD	Сюжет	0.13692694902420044	8	1.0
CD	Аниме	0.5480881929397583	7	1.0
CD	Манга	0.36258020997047424	8	2.0
CD	Музыка	0.294187992811203	15	3.0
CD	Персонажи	0.2368071973323822	34	4.0
CD	Примечания	0.2171546369791031	52	5.0
CDドラマ	Персонажи	0.07003770023584366	6	1.0
CDドラマ	Сюжет	0.06554491072893143	6	2.0
CI	История	0.036278802901506424	6	1.0
CM	Дискография	0.3821094036102295	19	1.0
CM	Примечания	0.2588993012905121	72	2.0
CM	См. также	0.25139927864074707	9	3.0
CM	Интересные факты	0.24433720111846924	8	4.0
CM	Награды	0.2180851846933365	8	5.0
CM出演	Примечания	0.2346850037574768	19	1.0
CM出演	Карьера	0.06716062128543854	12	2.0
CM出演	Биография	0.06091411039233208	7	3.0
CONCACAFゴールドカップの成績	Золотой кубок КОНКАКАФ	0.926949143409729	18	1.0
CONCACAFゴールドカップの成績	История	0.09253186732530594	15	2.0
CONCACAFゴールドカップの成績	Чемпионат мира	0.06659521907567978	16	3.0
CONCACAFゴールドカップの成績	Кубок Карибских островов	0.0413404181599617	6	4.0
DLC	Сюжет	0.41420048475265503	8	1.0
DLC	Игровой процесс	0.2786051332950592	11	2.0
