secFrom	langTo	prob	count	rank
1 сезон	Episodes	0.3665943443775177	6	1.0
1 тур	Matches	0.8923507332801819	30	1.0
1 тур	Standings	0.06448156386613846	30	2.0
1 тур	Teams	0.03132518753409386	30	3.0
1/16 финала	Round of 16	0.9822248816490173	70	1.0
1/16 финала	Round of 32	0.9820183515548706	57	2.0
1/16 финала	Second round	0.9787559509277344	69	3.0
1/16 финала	First round	0.9726229906082153	97	4.0
1/16 финала	Quarter-finals	0.9138099551200867	51	5.0
1/2 финала	Final	0.9945948719978333	262	1.0
1/2 финала	Semi-finals	0.9906820058822632	126	2.0
1/2 финала	Quarter-finals	0.9803531169891357	122	3.0
1/2 финала	Top goalscorers	0.9507425427436829	45	4.0
1/2 финала	Scorers	0.8929675817489624	11	5.0
1/4 финала	Semi-finals	0.990113377571106	136	1.0
1/4 финала	Quarter-finals	0.9885622262954712	136	2.0
1/4 финала	Final	0.9883776307106018	278	3.0
1/4 финала	Round of 16	0.955424964427948	96	4.0
1/4 финала	Qualified teams	0.919336199760437	43	5.0
1/8 финала	Round of 16	0.9870188236236572	127	1.0
1/8 финала	Quarter-finals	0.9787306189537048	97	2.0
1/8 финала	Second round	0.9783658981323242	130	3.0
1/8 финала	Semi-finals	0.9555819034576416	99	4.0
1/8 финала	Round of 32	0.9524240493774414	64	5.0
1864	References	0.08662105351686478	6	1.0
1944—1950	See also	0.05439053475856781	6	1.0
1950-е годы	See also	0.013534076511859894	6	1.0
1951—1960	Winners and nominees	0.6236280798912048	10	1.0
1951—1960	See also	0.06390151381492615	16	2.0
1960-е годы	See also	0.010736175812780857	7	1.0
1961—1970	Winners and nominees	0.9455651044845581	12	1.0
1961—1970	References	0.08139088749885559	7	2.0
1961—1970	Notes	0.07774871587753296	6	3.0
1961—1970	See also	0.07641200721263885	18	4.0
1970-е	See also	0.08949170261621475	15	1.0
1970-е годы	1970s	0.9507271647453308	6	1.0
1970-е годы	1980s	0.582675576210022	6	2.0
1970-е годы	1990s	0.18563546240329742	6	3.0
1970-е годы	2000s	0.060078926384449005	6	4.0
1970-е годы	See also	0.011191589757800102	7	5.0
1971—1980	1980s	0.9519269466400146	7	1.0
1971—1980	Superlatives	0.9247042536735535	8	2.0
1971—1980	Winners and nominees	0.9221703410148621	20	3.0
1971—1980	1990s	0.8638384342193604	7	4.0
1971—1980	Multiple nominations	0.8105583786964417	7	5.0
1980-е	Winners and nominees	0.8211196660995483	6	1.0
1980-е	References	0.10211271047592163	19	2.0
1981—1990	1980s	0.9914138317108154	7	1.0
1981—1990	1990s	0.9703422784805298	7	2.0
1981—1990	Superlatives	0.9482815861701965	10	3.0
1981—1990	Winners and nominees	0.9139151573181152	20	4.0
1981—1990	2000s	0.8123417496681213	7	5.0
1990-е	Winners and nominees	0.8544566035270691	12	1.0
1990-е	References	0.09959735721349716	27	2.0
1990-е годы	1990s	0.9516008496284485	10	1.0
1990-е годы	1980s	0.46374955773353577	6	2.0
1990-е годы	2000s	0.25116026401519775	7	3.0
1990-е годы	2010s	0.1682206690311432	6	4.0
1990-е годы	References	0.02615014649927616	13	5.0
1991—2000	1990s	0.9911172389984131	7	1.0
1991—2000	2000s	0.9623358249664307	7	2.0
1991—2000	Superlatives	0.9609478712081909	11	3.0
1991—2000	Multiple nominations	0.9286069273948669	7	4.0
1991—2000	Winners and nominees	0.9188539385795593	27	5.0
1992	See also	0.23991186916828156	7	1.0
1999	See also	0.0687713772058487	6	1.0
2 тур	Matches	0.866882860660553	22	1.0
2 тур	Standings	0.05674492567777634	22	2.0
2 тур	Teams	0.03157588467001915	22	3.0
2000	See also	0.0617443285882473	9	1.0
2000-е	Winners and nominees	0.9149923920631409	17	1.0
2000-е	See also	0.16406822204589844	19	2.0
2000-е	References	0.10494264215230942	32	3.0
2000-е годы	2000s	0.8985094428062439	8	1.0
2000-е годы	1990s	0.35457104444503784	8	2.0
2000-е годы	2010s	0.3517155945301056	6	3.0
2000-е годы	Discography	0.28600364923477173	7	4.0
2000-е годы	1980s	0.1440422236919403	7	5.0
2001—2010	2000s	0.9933546781539917	7	1.0
2001—2010	2010s	0.9879559874534607	7	2.0
2001—2010	Multiple nominations	0.967885434627533	9	3.0
2001—2010	Superlatives	0.9584532380104065	12	4.0
2001—2010	Winners and nominees	0.9520320892333984	30	5.0
2002	See also	0.07289374619722366	6	1.0
2003	References	0.0667015016078949	8	1.0
2003	See also	0.05857528746128082	7	2.0
2004	References	0.06760765612125397	12	1.0
2004	See also	0.059378065168857574	10	2.0
2005	References	0.11573341488838196	9	1.0
2005	See also	0.059378065168857574	9	2.0
2006	2006	0.99649977684021	6	1.0
2006	History	0.34106361865997314	6	2.0
2006	See also	0.09576592594385147	10	3.0
2006	References	0.09422110766172409	14	4.0
2007	History	0.3901597857475281	9	1.0
2007	References	0.12880121171474457	18	2.0
2007	See also	0.06544353812932968	11	3.0
2008	History	0.41054490208625793	9	1.0
2008	See also	0.06544353812932968	15	2.0
2009	History	0.376650869846344	6	1.0
2009	See also	0.1300893872976303	9	2.0
2009 год	See also	0.04552087560296059	8	1.0
2010	History	0.11774249374866486	6	1.0
2010	See also	0.059378065168857574	11	2.0
2010 год	See also	0.027330828830599785	7	1.0
2010-е	Winners and nominees	0.9118586182594299	16	1.0
2010-е	See also	0.19303490221500397	16	2.0
2010-е	References	0.14767105877399445	26	3.0
2010-е годы	References	0.03758487105369568	7	1.0
2011	History	0.09641195088624954	6	1.0
2011	See also	0.06544353812932968	12	2.0
2011—2018	Multiple nominations	0.9759248495101929	9	1.0
2011—2018	Winners and nominees	0.9247804880142212	31	2.0
2011—2018	Superlatives	0.7563934922218323	12	3.0
2011—2018	Notes	0.4590114653110504	7	4.0
2011—2018	References	0.41864776611328125	7	5.0
2012	History	0.20065295696258545	10	1.0
2012	See also	0.1300893872976303	18	2.0
2012 год	See also	0.06626372784376144	7	1.0
2013	See also	0.1300893872976303	14	1.0
2013	References	0.1054983139038086	20	2.0
2014	See also	0.14606888592243195	14	1.0
2015	2013	0.9030670523643494	7	1.0
2015	See also	0.20630839467048645	14	2.0
2015	References	0.13348591327667236	15	3.0
2015 год	See also	0.06857281178236008	8	1.0
2016	See also	0.20630839467048645	9	1.0
2016 год	See also	0.09365490823984146	8	1.0
2017	References	0.3395078480243683	15	1.0
2017	See also	0.20630839467048645	11	2.0
250cc	250 cc classification	0.9051371216773987	9	1.0
250cc	125 cc classification	0.7351499795913696	9	2.0
250cc	MotoGP classification	0.12189434468746185	10	3.0
3 тур	Matches	0.8631207942962646	22	1.0
3 тур	Standings	0.04326755926012993	22	2.0
3 тур	Teams	0.023271044716238976	22	3.0
A	A	0.9893983602523804	43	1.0
A	B	0.3238707184791565	43	2.0
A	C	0.13767710328102112	43	3.0
A	D	0.11232014745473862	41	4.0
A	E	0.0947006344795227	42	5.0
American Music Awards	American Music Awards	0.9973689317703247	15	1.0
American Music Awards	World Music Awards	0.9342769384384155	9	2.0
American Music Awards	NME Awards	0.9163318872451782	8	3.0
American Music Awards	Teen Choice Awards	0.8706557750701904	9	4.0
American Music Awards	Grammy Awards	0.8182536363601685	14	5.0
B	B	0.9939560294151306	41	1.0
B	C	0.3432338535785675	41	2.0
B	D	0.2167833149433136	40	3.0
B	F	0.1612454503774643	41	4.0
B	E	0.14416435360908508	41	5.0
BIG3	NBA career statistics	0.1821109801530838	6	1.0
BRIT Awards	BRIT Awards	0.9960726499557495	6	1.0
BRIT Awards	NME Awards	0.9635077714920044	8	2.0
BRIT Awards	American Music Awards	0.9330338835716248	6	3.0
BRIT Awards	Grammy Awards	0.9221192002296448	8	4.0
Billboard Music Awards	American Music Awards	0.9931389689445496	7	1.0
Billboard Music Awards	MuchMusic Video Awards	0.9374802708625793	6	2.0
Billboard Music Awards	Grammy Awards	0.9006633162498474	6	3.0
C	C	0.9872016906738281	41	1.0
C	B	0.43327072262763977	41	2.0
C	D	0.1837799847126007	40	3.0
C	F	0.14416435360908508	41	4.0
C	A	0.08940795063972473	41	5.0
Career	Career	0.9813395142555237	6	1.0
Cм. также	See also	0.9683597683906555	7	1.0
Cм. также	References	0.5761895775794983	8	2.0
Cсылки	References	0.9958431124687195	6	1.0
Cсылки	See also	0.7130736708641052	7	2.0
D	D	0.9953479170799255	41	1.0
D	B	0.3150821030139923	40	2.0
D	C	0.27466505765914917	40	3.0
D	E	0.267061710357666	40	4.0
D	F	0.2167833149433136	40	5.0
DLC	Gameplay	0.2138139307498932	6	1.0
DVD	DVD	0.9965908527374268	14	1.0
DVD	DVD releases	0.9821778535842896	7	2.0
DVD	Track listing	0.8546683192253113	11	3.0
DVD	Home media	0.8135342001914978	10	4.0
DVD	Release	0.7689020037651062	10	5.0
DVD-релиз	DVD release	0.9536528587341309	6	1.0
DVD-релизы	DVD releases	0.9718003869056702	8	1.0
DVD-релизы	Broadcast	0.37212425470352173	6	2.0
E	E	0.9960380792617798	41	1.0
E	G	0.3537611663341522	40	2.0
E	D	0.25908979773521423	40	3.0
