secFrom	langTo	prob	count	rank
1/16 финала	Segunda ronda	0.9784368872642517	16	1.0
1/16 финала	Dieciseisavos de final	0.9772851467132568	13	2.0
1/16 финала	Primera ronda	0.9718499183654785	18	3.0
1/16 финала	Octavos de final	0.9387810826301575	7	4.0
1/16 финала	Fase de grupos	0.7572019696235657	10	5.0
1/2 финала	Campeón	0.9909247159957886	29	1.0
1/2 финала	Goleadores	0.9846116900444031	29	2.0
1/2 финала	Final	0.979162335395813	36	3.0
1/2 финала	Fase final	0.9460986256599426	19	4.0
1/2 финала	Fase Final	0.86440509557724	8	5.0
1/4 финала	Fase final	0.9574785828590393	25	1.0
1/4 финала	Final	0.9521817564964294	38	2.0
1/4 финала	Goleadores	0.9345799088478088	24	3.0
1/4 финала	Fase Final	0.9004182815551758	9	4.0
1/4 финала	Primera fase	0.7975976467132568	15	5.0
1/8 финала	Fase final	0.9834780097007751	27	1.0
1/8 финала	Segunda ronda	0.9686644673347473	40	2.0
1/8 финала	Octavos de final	0.9588408470153809	20	3.0
1/8 финала	Goleadores	0.936994194984436	30	4.0
1/8 финала	Dieciseisavos de final	0.9242969155311584	16	5.0
1990-е годы	Referencias	0.03550940006971359	7	1.0
2000-е	Referencias	0.11233039945363998	6	1.0
2000-е годы	Discografía	0.3169538378715515	6	1.0
2000-е годы	Historia	0.052727725356817245	7	2.0
2007	Referencias	0.10876419395208359	7	1.0
2008	Referencias	0.12249304354190826	6	1.0
250cc	Resultados 250cc	0.9174643754959106	8	1.0
250cc	Resultados 125cc	0.7718057036399841	8	2.0
250cc	Resultados MotoGP	0.27702364325523376	8	3.0
DVD	DVD	0.9984151124954224	7	1.0
DVD	Referencias	0.19082212448120117	28	2.0
DVD	Discografía	0.18242327868938446	18	3.0
DVD	Sinopsis	0.06860269606113434	6	4.0
DVD	Biografía	0.06602766364812851	12	5.0
External links	Referencias	0.8611247539520264	6	1.0
History	Historia	0.9427403211593628	8	1.0
History	Referencias	0.031894225627183914	8	2.0
History	Véase también	0.01050375122576952	9	3.0
MotoGP	Resultados MotoGP	0.9699047207832336	8	1.0
MotoGP	Resultados 250cc	0.29268571734428406	8	2.0
MotoGP	Resultados 125cc	0.1120762750506401	8	3.0
OVA	Personajes	0.1914200782775879	8	1.0
OVA	Referencias	0.14925721287727356	6	2.0
OVA	Argumento	0.06434789299964905	10	3.0
References	Referencias	0.9933766722679138	12	1.0
References	Véase también	0.21498169004917145	8	2.0
See also	Véase también	0.8725826144218445	18	1.0
See also	Historia	0.013553539291024208	6	2.0
US Open Series	Cabezas de serie	0.2024490386247635	10	1.0
US Open Series	Campeones	0.05346964672207832	26	2.0
US Open Series	Véase también	0.00945982150733471	10	3.0
WWE	Campeonatos y logros	0.7190923690795898	8	1.0
WWE	En lucha	0.5742576122283936	8	2.0
World Wrestling Entertainment	Carrera	0.8381162285804749	8	1.0
World Wrestling Entertainment	En lucha	0.4947722256183624	7	2.0
World Wrestling Entertainment	Campeonatos y logros	0.29512524604797363	8	3.0
XIX век	Siglo XIX	0.991755485534668	9	1.0
XIX век	Siglo XX	0.8760135173797607	9	2.0
XIX век	Referencias	0.03808142989873886	22	3.0
XIX век	Véase también	0.013382048346102238	19	4.0
XVIII век	Siglo XIX	0.6973514556884766	6	1.0
XVIII век	Referencias	0.0628475546836853	12	2.0
XVIII век	Véase también	0.01603139564394951	14	3.0
XX век	Siglo XX	0.992169201374054	12	1.0
XX век	Siglo XIX	0.7215156555175781	9	2.0
XX век	Historia	0.16218441724777222	13	3.0
XX век	Bibliografía	0.05095069855451584	16	4.0
XX век	Referencias	0.03615089878439903	41	5.0
XXI век	Referencias	0.06060902401804924	26	1.0
XXI век	Bibliografía	0.059875745326280594	9	2.0
XXI век	Véase también	0.0362936332821846	26	3.0
«Титаник»	Referencias	0.09293419122695923	6	1.0
Абджадия	Historia	0.024294378235936165	8	1.0
Аварии	Véase también	0.09779120981693268	9	1.0
Аварии	Historia	0.023229841142892838	6	2.0
Аварии и инциденты	Referencias	0.059047065675258636	7	1.0
Аварии и инциденты	Véase también	0.04830436035990715	7	2.0
Аварии и катастрофы	Accidentes e incidentes	0.8703877925872803	7	1.0
Аварии и катастрофы	Usuarios	0.12587732076644897	12	2.0
Аварии и катастрофы	Operadores	0.0983479842543602	21	3.0
Аварии и катастрофы	Historia operacional	0.08725371211767197	18	4.0
Аварии и катастрофы	Especificaciones	0.07510603219270706	11	5.0
Аварии и происшествия	Accidentes e incidentes	0.9856188297271729	6	1.0
Аварии и происшествия	Variantes	0.2879727780818939	7	2.0
Аварии и происшествия	Especificaciones	0.18934063613414764	7	3.0
Аварии и происшествия	Referencias	0.07368586957454681	13	4.0
Аварии и происшествия	Véase también	0.05454735457897186	11	5.0
Аварии и теракты	Historia	0.024721544235944748	7	1.0
Авария	Referencias	0.03559887781739235	11	1.0
Авария	Véase también	0.03391348198056221	7	2.0
Авиакатастрофы	Flota	0.8611738085746765	6	1.0
Авиакатастрофы	Referencias	0.2507709860801697	8	2.0
