secFrom	langTo	prob	count	rank
1 тур	Matchs	0.8887146711349487	22	1.0
1 тур	Homme du match	0.694739043712616	25	2.0
1 тур	Buteurs	0.6818727850914001	21	3.0
1 тур	Classement	0.07954674959182739	30	4.0
1 тур	Résumé	0.03918827325105667	8	5.0
1/16 финала	Seizièmes de finale	0.988973081111908	17	1.0
1/16 финала	Huitièmes de finale	0.985335111618042	41	2.0
1/16 финала	Premier tour	0.9571164846420288	17	3.0
1/16 финала	Deuxième tour	0.9363323450088501	8	4.0
1/16 финала	Participants	0.9215942621231079	10	5.0
1/2 финала	Finale	0.9915751814842224	42	1.0
1/2 финала	Demi-finales	0.9897570610046387	47	2.0
1/2 финала	Quarts de finale	0.9819079041481018	48	3.0
1/2 финала	Meilleurs buteurs	0.9537946581840515	10	4.0
1/2 финала	Huitièmes de finale	0.950625479221344	37	5.0
1/4 финала	Demi-finales	0.9862754344940186	47	1.0
1/4 финала	Quarts de finale	0.9852010011672974	54	2.0
1/4 финала	Finale	0.9814469814300537	42	3.0
1/4 финала	Huitièmes de finale	0.97599196434021	37	4.0
1/4 финала	Meilleurs buteurs	0.936687707901001	8	5.0
1/8 финала	Huitièmes de finale	0.986992597579956	49	1.0
1/8 финала	Quarts de finale	0.9663532376289368	52	2.0
1/8 финала	Deuxième tour	0.9536442756652832	14	3.0
1/8 финала	Seizièmes de finale	0.951362669467926	18	4.0
1/8 финала	Demi-finales	0.9318748712539673	49	5.0
1944—1950	Palmarès	0.06850297749042511	6	1.0
1951—1960	Nominations multiples	0.8521974086761475	6	1.0
1951—1960	Palmarès	0.4511558711528778	12	2.0
1951—1960	Récompenses multiples	0.2730332612991333	6	3.0
1951—1960	Notes et références	0.07939732074737549	13	4.0
1961—1970	Nominations multiples	0.900615394115448	6	1.0
1961—1970	Palmarès	0.8141895532608032	14	2.0
1961—1970	Récompenses multiples	0.42105811834335327	6	3.0
1961—1970	Notes et références	0.13031551241874695	15	4.0
1969—1970	Palmarès	0.29813942313194275	6	1.0
1970-е	Notes et références	0.10055078566074371	8	1.0
1971—1980	Récompenses et nominations multiples	0.959587574005127	7	1.0
1971—1980	Nominations multiples	0.9362806081771851	6	2.0
1971—1980	Palmarès	0.9139348864555359	31	3.0
1971—1980	Statistiques	0.5739454030990601	10	4.0
1971—1980	Récompenses multiples	0.33981209993362427	6	5.0
1980-е	Palmarès	0.5988709926605225	7	1.0
1980-е	Notes et références	0.11920652538537979	7	2.0
1981—1990	Récompenses et nominations multiples	0.9627422094345093	10	1.0
1981—1990	Palmarès	0.9415494799613953	31	2.0
1981—1990	Statistiques	0.5797910094261169	8	3.0
1981—1990	Notes et références	0.14252932369709015	32	4.0
1990-е	Palmarès	0.7718050479888916	13	1.0
1991—2000	Récompenses et nominations multiples	0.9699121117591858	11	1.0
1991—2000	Palmarès	0.9415494799613953	39	2.0
1991—2000	Nominations multiples	0.9411495327949524	6	3.0
1991—2000	Statistiques	0.8789930939674377	14	4.0
1991—2000	Récompenses multiples	0.3853299021720886	6	5.0
2 тур	Homme du match	0.8943217396736145	17	1.0
2 тур	Matchs	0.8724165558815002	14	2.0
2 тур	Buteurs	0.8459665179252625	13	3.0
2 тур	Classement	0.07825581729412079	22	4.0
2 тур	Résumé	0.032857589423656464	8	5.0
2000-е	Palmarès	0.9666280746459961	18	1.0
2000-е	Biographie	0.3402252793312073	6	2.0
2000-е годы	Discographie	0.5407002568244934	6	1.0
2001—2010	Récompenses et nominations multiples	0.9628769159317017	12	1.0
2001—2010	Palmarès	0.948576033115387	42	2.0
2001—2010	Statistiques	0.9474372267723083	16	3.0
2008	Histoire	0.30609333515167236	7	1.0
2010-е	Palmarès	0.9591278433799744	15	1.0
2010-е	Notes et références	0.16736525297164917	17	2.0
2011—2018	Nominations multiples	0.9605402946472168	6	1.0
2011—2018	Statistiques	0.9593085050582886	16	2.0
2011—2018	Palmarès	0.9574313759803772	43	3.0
2011—2018	Récompenses et nominations multiples	0.9569944143295288	12	4.0
2011—2018	Récompenses multiples	0.20737656950950623	6	5.0
2012	Histoire	0.09944052994251251	6	1.0
3 тур	Buteurs	0.9079154133796692	13	1.0
3 тур	Homme du match	0.8845287561416626	17	2.0
3 тур	Matchs	0.8566967248916626	14	3.0
3 тур	Classement	0.06747886538505554	22	4.0
3 тур	Résumé	0.03452415391802788	8	5.0
A	A	0.9943617582321167	20	1.0
A	B	0.7593435645103455	20	2.0
A	X	0.25600889325141907	14	3.0
A	C	0.18269747495651245	20	4.0
A	Y	0.1709284633398056	14	5.0
B	B	0.9969606995582581	18	1.0
B	E	0.574614942073822	18	2.0
B	F	0.5416879057884216	18	3.0
B	R	0.5147086977958679	18	4.0
B	C	0.4824300706386566	18	5.0
C	C	0.9916396737098694	19	1.0
C	B	0.57675701379776	19	2.0
C	F	0.5693548917770386	19	3.0
C	E	0.28079429268836975	19	4.0
C	A	0.2069476842880249	19	5.0
D	D	0.9760948419570923	18	1.0
D	E	0.6475948095321655	18	2.0
D	F	0.6062636375427246	18	3.0
D	B	0.4942972660064697	18	4.0
D	G	0.42898738384246826	18	5.0
DVD	DVD	0.9983742237091064	10	1.0
DVD	Autour du film	0.4230116903781891	6	2.0
DVD	Discographie	0.38590681552886963	17	3.0
DVD	Épisodes	0.27372074127197266	10	4.0
DVD	Références	0.20688390731811523	8	5.0
DVD-релизы	Distribution	0.3388991355895996	10	1.0
DVD-релизы	Synopsis	0.13221386075019836	6	2.0
E	E	0.9953796863555908	20	1.0
E	F	0.858171820640564	20	2.0
E	G	0.7708969712257385	20	3.0
E	B	0.6239109635353088	19	4.0
E	I	0.5738354921340942	19	5.0
F	F	0.9951541423797607	20	1.0
F	E	0.730542778968811	20	2.0
F	H	0.41000640392303467	19	3.0
F	G	0.38941532373428345	20	4.0
F	K	0.36399543285369873	18	5.0
G	G	0.9942588806152344	20	1.0
G	F	0.810623288154602	20	2.0
G	K	0.7331126928329468	18	3.0
G	E	0.7235279679298401	20	4.0
G	H	0.6582735776901245	19	5.0
H	H	0.9936344623565674	19	1.0
H	F	0.745672345161438	19	2.0
H	G	0.7350638508796692	19	3.0
H	I	0.619678258895874	19	4.0
H	K	0.6158990859985352	18	5.0
History	Histoire	0.48169252276420593	6	1.0
I	I	0.9974225759506226	20	1.0
I	V	0.5020278692245483	19	2.0
I	J	0.44662922620773315	18	3.0
I	H	0.4311405122280121	19	4.0
I	F	0.34542369842529297	19	5.0
J	J	0.9932647943496704	17	1.0
J	H	0.699987530708313	17	2.0
J	K	0.6475028395652771	17	3.0
J	W	0.611111581325531	15	4.0
J	N	0.49138474464416504	17	5.0
K	K	0.9962134957313538	18	1.0
K	I	0.8598783016204834	18	2.0
K	H	0.8581377267837524	17	3.0
K	J	0.7805086970329285	16	4.0
K	G	0.760222315788269	17	5.0
L	L	0.9399316310882568	18	1.0
L	O	0.42324620485305786	17	2.0
L	K	0.3492874801158905	17	3.0
L	H	0.31287023425102234	17	4.0
L	W	0.29113414883613586	14	5.0
M	M	0.9925206899642944	18	1.0
M	P	0.38769328594207764	18	2.0
M	R	0.35223597288131714	18	3.0
M	F	0.3374645411968231	18	4.0
M	K	0.32116392254829407	17	5.0
N	N	0.9903579354286194	20	1.0
N	X	0.908000111579895	14	2.0
N	K	0.7414801120758057	18	3.0
N	Q	0.625272274017334	17	4.0
N	Y	0.5833730697631836	14	5.0
O	O	0.9956875443458557	19	1.0
O	H	0.6944366097450256	18	2.0
O	R	0.6913379430770874	19	3.0
O	K	0.6844851970672607	17	4.0
O	Q	0.6168384552001953	17	5.0
OVA	Personnages	0.7763482928276062	8	1.0
OVA	Anime	0.6650281548500061	7	2.0
OVA	Synopsis	0.03877858445048332	7	3.0
P	P	0.9929744005203247	19	1.0
P	T	0.6161415576934814	18	2.0
P	R	0.5600992441177368	19	3.0
P	C	0.4384344816207886	18	4.0
P	J	0.42530569434165955	16	5.0
Q	Q	0.9956573247909546	15	1.0
Q	X	0.9537700414657593	11	2.0
Q	N	0.8910595178604126	15	3.0
Q	W	0.6523798704147339	12	4.0
Q	O	0.6244364380836487	15	5.0
R	R	0.9966195821762085	19	1.0
R	T	0.7246382236480713	18	2.0
R	E	0.6985018849372864	18	3.0
