secFrom	langTo	prob	isTranslation
Примечания	Notes et références	0.9958788156509399	False
Примечания	Références	0.9948232173919678	False
Примечания	Liens externes	0.9729852676391602	False
Примечания	Bibliographie	0.972184956073761	False
Примечания	Sources	0.9662708640098572	False
Примечания	Voir aussi	0.9641866683959961	False
Примечания	Notes	0.9617525935173035	True
Примечания	Article connexe	0.9246254563331604	False
Примечания	Sources et références	0.8984018564224243	False
Примечания	Lien externe	0.8861964344978333	False
Ссылки	Références	0.9969087243080139	True
Ссылки	Liens externes	0.9924405813217163	False
Ссылки	Notes et références	0.991025984287262	False
Ссылки	Sources	0.9893016219139099	False
Ссылки	Voir aussi	0.9892409443855286	False
Ссылки	Bibliographie	0.9770587086677551	False
Ссылки	Lien externe	0.9682649374008179	False
Ссылки	Notes	0.9633753299713135	False
Ссылки	Annexes	0.9586636424064636	False
Ссылки	Articles connexes	0.9543401598930359	False
Литература	Bibliographie	0.9902637004852295	False
Литература	Notes et références	0.9856275320053101	False
Литература	Références	0.9803060293197632	False
Литература	Notes	0.9713698029518127	False
Литература	Sources	0.9704326391220093	False
Литература	Liens externes	0.9322200417518616	False
Литература	Source de la traduction	0.90499347448349	False
Литература	Sources et bibliographie	0.8850587606430054	False
Литература	Références taxinomiques	0.8438231348991394	False
Литература	Note	0.8296396136283875	False
Биография	Biographie	0.9962877035140991	True
Биография	Carrière	0.9660308361053467	False
Биография	Biographie fictive	0.8985201120376587	False
Биография	Règne	0.8650539517402649	False
Биография	Filmographie	0.8549526333808899	False
Биография	Éléments biographiques	0.8484081029891968	False
Биография	Biographie du personnage	0.8442936539649963	False
Биография	Vie	0.8362976908683777	False
Биография	Histoire	0.8311057686805725	False
Биография	Biographie et carrière	0.8123670816421509	False
См. также	Voir aussi	0.9556840062141418	True
См. также	Notes et références	0.8228641748428345	False
См. также	Voir également	0.8133847713470459	False
См. также	Pour approfondir	0.7937984466552734	False
См. также	Bibliographie	0.7513154745101929	False
См. также	Suite	0.6267037987709045	False
См. также	Sources	0.6181524395942688	False
См. также	Références	0.6035545468330383	False
См. также	Lien interne	0.5757470726966858	False
См. также	Article connexe	0.5750814080238342	False
История	Histoire	0.9943905472755432	True
История	Historique	0.9892531037330627	False
История	Biographie	0.9576054215431213	False
История	Géographie	0.8988684415817261	False
История	L'histoire	0.8884691596031189	False
История	Composition	0.8343433141708374	False
История	Origines	0.6201468706130981	False
История	Présentation	0.5429695844650269	False
История	Histoire du club	0.5401474237442017	False
История	Découverte	0.5180111527442932	False
Население	Démographie	0.9937949180603027	False
Население	Population	0.9835349321365356	True
Население	Population et société	0.9335383772850037	False
Население	Économie	0.7997704744338989	False
Население	Villages	0.6915601491928101	False
Население	Divisions administratives	0.669407308101654	False
Население	Description	0.6332679390907288	False
Население	Municipalité	0.5978683829307556	False
Население	Climat	0.5676141977310181	False
Население	Subdivisions territoriales	0.5505818128585815	False
География	Géographie	0.9966806769371033	True
География	Histoire	0.9442029595375061	False
География	Situation	0.9409100413322449	False
География	Situation - climat	0.8879460096359253	False
География	Localisation	0.8592947721481323	False
География	Toponymie	0.8234856724739075	False
География	Situation géographique	0.7540827393531799	False
География	Comtés adjacents	0.7149022817611694	False
География	Climat	0.6951954364776611	False
География	Description	0.6901457905769348	False
Награды	Distinctions	0.9963712692260742	False
Награды	Récompenses	0.9937599301338196	True
Награды	Récompenses et distinctions	0.9931203126907349	False
Награды	Prix	0.9927793145179749	False
Награды	Décorations	0.9914622902870178	False
Награды	Prix et distinctions	0.9912534356117249	False
Награды	Récompenses et nominations	0.9887188673019409	False
Награды	Prix et récompenses	0.9792182445526123	False
Награды	Distinctions et récompenses	0.9728292226791382	False
Награды	Trophées et honneurs personnels	0.9716867804527283	False
Источники	Notes et références	0.995269238948822	False
Источники	Références	0.9927768707275391	False
Источники	Sources	0.9925064444541931	True
Источники	Bibliographie	0.9900802969932556	False
Источники	Liens externes	0.9898425936698914	False
Источники	Source	0.9864827990531921	False
Источники	Notes	0.9679530262947083	False
Источники	Lien externe	0.9672989249229431	False
Источники	Sources et références	0.9657319784164429	False
Источники	Article connexe	0.9631786346435547	False
