secFrom	langTo	prob	count	rank
1 тур	試合結果	0.9715824723243713	8	1.0
1 тур	順位表	0.2298964262008667	8	2.0
1 тур	出場チーム	0.1574946939945221	8	3.0
1/16 финала	2回戦	0.9670544862747192	8	1.0
1/16 финала	準々決勝	0.9627822637557983	13	2.0
1/16 финала	準決勝	0.8700246214866638	14	3.0
1/16 финала	1回戦	0.8324012160301208	8	4.0
1/16 финала	決勝	0.4123064875602722	16	5.0
1/2 финала	準決勝	0.9891619682312012	22	1.0
1/2 финала	準々決勝	0.9795412421226501	23	2.0
1/2 финала	決勝	0.9375576972961426	25	3.0
1/2 финала	決勝トーナメント	0.9120250940322876	7	4.0
1/2 финала	ラウンド16	0.7825717926025391	10	5.0
1/4 финала	準決勝	0.9911144971847534	24	1.0
1/4 финала	準々決勝	0.9887127876281738	27	2.0
1/4 финала	決勝	0.9389418363571167	26	3.0
1/4 финала	決勝トーナメント	0.9372363090515137	7	4.0
1/4 финала	ラウンド16	0.9166050553321838	12	5.0
1/8 финала	準々決勝	0.9823595881462097	28	1.0
1/8 финала	ラウンド16	0.9712768197059631	14	2.0
1/8 финала	準決勝	0.9639342427253723	28	3.0
1/8 финала	2回戦	0.9478707909584045	10	4.0
1/8 финала	予選	0.8274324536323547	7	5.0
1951—1960	受賞者一覧	0.8519078493118286	7	1.0
1961—1970	受賞者一覧	0.9088796377182007	7	1.0
1971—1980	受賞者一覧	0.9687319993972778	8	1.0
1981—1990	受賞者一覧	0.9730291366577148	7	1.0
1990-е годы	脚注	0.05546887591481209	6	1.0
1991—2000	受賞者一覧	0.9795111417770386	8	1.0
2000-е	脚注	0.15160609781742096	6	1.0
2000-е годы	脚注	0.04817407950758934	8	1.0
2001—2010	受賞者一覧	0.9758289456367493	7	1.0
2007	関連項目	0.7196121215820312	6	1.0
2008	脚注	0.13177330791950226	6	1.0
2008	概要	0.09200220555067062	7	2.0
2009	概要	0.05638209357857704	6	1.0
2010	概要	0.08424749225378036	8	1.0
2011	概要	0.08717340230941772	7	1.0
2011—2018	受賞者一覧	0.9824647307395935	8	1.0
2012	関連項目	0.6486556529998779	7	1.0
2012	概要	0.064038947224617	9	2.0
2013	概要	0.05840195342898369	6	1.0
2014	概要	0.0651288852095604	7	1.0
2015	概要	0.08959436416625977	6	1.0
250cc	250ccクラス決勝結果	0.996154248714447	10	1.0
250cc	125ccクラス決勝結果	0.9833108186721802	10	2.0
250cc	MotoGPクラス決勝結果	0.8855817914009094	10	3.0
DVD	スタッフ	0.6218987107276917	8	1.0
DVD	その他	0.4635767638683319	6	2.0
DVD	キャスト	0.34768715500831604	10	3.0
DVD	関連項目	0.20070146024227142	16	4.0
DVD	ストーリー	0.1744331568479538	10	5.0
External links	脚注	0.9881876111030579	7	1.0
History	歴史	0.940671443939209	6	1.0
History	概要	0.4420759975910187	6	2.0
History	参考文献	0.4205023944377899	6	3.0
History	関連項目	0.06909681111574173	8	4.0
MotoGP	MotoGPクラス決勝結果	0.960157036781311	11	1.0
MotoGP	250ccクラス決勝結果	0.7220485210418701	10	2.0
MotoGP	125ccクラス決勝結果	0.19393375515937805	10	3.0
OVA	主題歌	0.5743659138679504	6	1.0
OVA	アニメ	0.5585433840751648	10	2.0
OVA	スタッフ	0.5510044097900391	7	3.0
OVA	関連項目	0.47207778692245483	9	4.0
OVA	脚注	0.454670250415802	15	5.0
R&B	受賞・候補作	0.39537686109542847	6	1.0
See also	関連項目	0.5022918581962585	15	1.0
US Open Series	シニア	0.963301956653595	6	1.0
WWE	来歴	0.9260320067405701	7	1.0
WWE	入場曲	0.0817721039056778	6	2.0
World Wrestling Entertainment	来歴	0.9781709313392639	6	1.0
World Wrestling Entertainment	得意技	0.1233658567070961	6	2.0
XIX век	19世紀	0.9639036059379578	6	1.0
XIX век	歴史	0.19797025620937347	9	2.0
XIX век	18世紀	0.16575336456298828	6	3.0
XIX век	関連項目	0.09202985465526581	11	4.0
XIX век	脚注	0.06908740848302841	16	5.0
XVIII век	歴史	0.23858937621116638	6	1.0
XVIII век	関連項目	0.0706823542714119	8	2.0
XVIII век	参考文献	0.046674735844135284	7	3.0
XX век	歴史	0.1635289043188095	11	1.0
XX век	脚注	0.1222996860742569	25	2.0
XX век	関連項目	0.09280604124069214	17	3.0
XX век	参考文献	0.08432198315858841	24	4.0
XX век	概要	0.04152192547917366	7	5.0
XXI век	関連項目	0.15440672636032104	8	1.0
XXI век	参考文献	0.12534749507904053	16	2.0
XXI век	歴史	0.07443584501743317	8	3.0
XXI век	概要	0.058055318892002106	6	4.0
«Барселона»	個人成績	0.9068028330802917	6	1.0
«Барселона»	脚注	0.26854339241981506	6	2.0
Аварии	関連項目	0.1268732100725174	7	1.0
Аварии	概要	0.06752173602581024	6	2.0
Аварии и инциденты	概要	0.057335853576660156	7	1.0
Аварии и катастрофы	登場作品	0.20729638636112213	21	1.0
Аварии и катастрофы	派生型	0.16632069647312164	19	2.0
Аварии и катастрофы	運用国	0.1382533609867096	8	3.0
Аварии и катастрофы	脚注	0.13152290880680084	35	4.0
Аварии и катастрофы	運用	0.09594517946243286	9	5.0
Аварии и происшествия	脚注	0.26557716727256775	11	1.0
Аварии и происшествия	関連項目	0.13581816852092743	7	2.0
Аварии и происшествия	概要	0.13294129073619843	7	3.0
Авария	関連項目	0.08831989020109177	10	1.0
Август	関連書籍	0.16816580295562744	7	1.0
Авиакатастрофы и инциденты	歴史	0.07936913520097733	6	1.0
Авиакомпании	就航路線	0.9451371431350708	14	1.0
Авиакомпании	就航会社と就航地	0.8845427632331848	7	2.0
Авиакомпании	就航航空会社と就航都市	0.7859768271446228	6	3.0
Авиакомпании	歴史	0.1427001804113388	10	4.0
Авиакомпании	関連項目	0.08156387507915497	10	5.0
Авиакомпании и назначения	就航路線	0.9670073390007019	9	1.0
Авиакомпании и назначения	ターミナル	0.9500962495803833	7	2.0
Авиакомпании и назначения	就航航空会社	0.9414618611335754	10	3.0
Авиакомпании и назначения	就航航空会社と就航都市	0.9266197681427002	9	4.0
Авиакомпании и назначения	概要	0.422658234834671	14	5.0
Авиакомпании и направления	就航路線	0.9769002199172974	31	1.0
Авиакомпании и направления	就航航空会社と就航都市	0.9411373734474182	27	2.0
Авиакомпании и направления	就航航空会社	0.9252882599830627	8	3.0
Авиакомпании и направления	歴史	0.7464386820793152	30	4.0
Авиакомпании и направления	概要	0.3923822343349457	29	5.0
Авиакомпании и пункты назначения	就航路線	0.9580731987953186	38	1.0
Авиакомпании и пункты назначения	就航航空会社と就航都市	0.9466670751571655	48	2.0
Авиакомпании и пункты назначения	就航都市	0.9033886790275574	8	3.0
Авиакомпании и пункты назначения	就航航空会社	0.8992807865142822	12	4.0
Авиакомпании и пункты назначения	概要	0.750333845615387	50	5.0
Авиалинии и направления	就航航空会社	0.9773676991462708	7	1.0
Авиалинии и направления	就航航空会社と就航都市	0.9529781341552734	7	2.0
Авиалинии и направления	歴史	0.25983089208602905	8	3.0
Авиалинии и направления	概要	0.18560126423835754	11	4.0
Авиалинии и направления	関連項目	0.07847735285758972	10	5.0
Авиапарк	概要	0.3817138671875	7	1.0
Авиапроисшествия и инциденты	保有機材	0.9107146263122559	6	1.0
Авиапроисшествия и инциденты	歴史	0.2237805873155594	8	2.0
Авиапроисшествия и инциденты	関連項目	0.21802347898483276	8	3.0
Авиапроисшествия и инциденты	就航都市	0.09262260049581528	6	4.0
Авиапроисшествия и несчастные случаи	事故	0.9568250775337219	6	1.0
Авиапроисшествия и несчастные случаи	機材	0.8991183638572693	15	2.0
Авиапроисшествия и несчастные случаи	保有機材	0.8093663454055786	19	3.0
Авиапроисшествия и несчастные случаи	脚注	0.6907002329826355	46	4.0
Авиапроисшествия и несчастные случаи	関連項目	0.6227138638496399	33	5.0
Авиационные происшествия	保有機材	0.19495293498039246	8	1.0
Авиационные происшествия	就航都市	0.15803003311157227	7	2.0
Авиационные происшествия	関連項目	0.15432024002075195	8	3.0
Авиационные происшествия	概要	0.050485603511333466	11	4.0
Авиационные происшествия	歴史	0.045832064002752304	7	5.0
Авиация	関連項目	0.280562162399292	25	1.0
Авиация	脚注	0.13886646926403046	117	2.0
Авиация	参考文献	0.12001705169677734	55	3.0
Авиация	死去	0.04328056052327156	123	4.0
Австралия	関連項目	0.08082115650177002	8	1.0
Автобиография	生涯	0.17171724140644073	6	1.0
Автобусы	関連項目	0.11175034195184708	21	1.0
Автобусы	歴史	0.06507991999387741	18	2.0
Автомобили	歴史	0.2640797793865204	6	1.0
Автомобили	参考文献	0.20098154246807098	8	2.0
Автомобили	脚注	0.16741374135017395	26	3.0
Автомобили	関連項目	0.12175528705120087	18	4.0
Автомобили	概要	0.10993878543376923	11	5.0
Авторские права	脚注	0.2846561670303345	7	1.0
Авторские права	関連項目	0.1733468919992447	8	2.0
Авторство	概要	0.2407601922750473	9	1.0
Авторство	内容	0.13306285440921783	9	2.0
Авторство	関連項目	0.08076826483011246	19	3.0
Авторство	脚注	0.07890268415212631	22	4.0
Авторство	参考文献	0.06562303751707077	13	5.0
Авторы	関連項目	0.06831410527229309	9	1.0
Авторы	参考文献	0.06746868044137955	7	2.0
Авторы	概要	0.060007743537425995	7	3.0
Автоспорт	モータースポーツ	0.9180328845977783	12	1.0
Автоспорт	車名の由来	0.47785723209381104	6	2.0
Автоспорт	脚注	0.32504379749298096	27	3.0
Автоспорт	参考文献	0.28696703910827637	8	4.0
Автоспорт	関連項目	0.18473123013973236	27	5.0
Агротехника	関連項目	0.12841011583805084	11	1.0
Агротехника	特徴	0.09514079988002777	10	2.0
Агротехника	脚注	0.0947890356183052	13	3.0
Агротехника	利用	0.08635975420475006	6	4.0
Агротехника	参考文献	0.07046151906251907	10	5.0
Адаптации	ゲーム	0.9012510776519775	8	1.0
Адаптации	映像化	0.6767600178718567	10	2.0
Адаптации	映画	0.6187943816184998	10	3.0
Адаптации	漫画	0.48044124245643616	9	4.0
Адаптации	関連商品	0.4191851019859314	13	5.0
Административная принадлежность	歴史	0.2046322375535965	8	1.0
Административно-политическое устройство	姉妹都市	0.24876168370246887	9	1.0
Административно-политическое устройство	経済	0.09788289666175842	7	2.0
Административно-политическое устройство	歴史	0.07083120197057724	16	3.0
